"","x"
"1",0
"2",1
"3",-2
"4",3
"5",-9
"6",-5
"7",-2
"8",0
"9",0
"10",-2
"11",14
"12",0
"13",5
"14",11
"15",0
"16",1
"17",-1
"18",16
"19",3
"20",1
"21",2
"22",-1
"23",6
"24",-6
"25",7
"26",-5
"27",-5
"28",-14
"29",7
"30",7
"31",1
"32",-3
"33",-2
"34",5
"35",-4
"36",6
"37",5
"38",0
"39",-10
"40",5
"41",7
"42",-10
"43",-16
"44",4
"45",6
"46",4
"47",-7
"48",-2
"49",-6
"50",-7
"51",4
"52",-4
"53",-1
"54",5
"55",4
"56",0
"57",11
"58",-7
"59",8
"60",11
"61",0
"62",15
"63",10
"64",-3
"65",-11
"66",5
"67",-1
"68",-2
"69",-1
"70",-2
"71",-8
"72",-2
"73",-4
"74",-7
"75",6
"76",5
"77",-6
"78",-15
"79",3
"80",9
"81",-8
"82",-3
"83",-10
"84",-5
"85",10
"86",5
"87",2
"88",5
"89",14
"90",8
"91",-3
"92",13
"93",3
"94",5
"95",4
"96",13
"97",-3
"98",7
"99",1
"100",4
"101",5
"102",-2
"103",20
"104",3
"105",3
"106",15
"107",1
"108",-3
"109",8
"110",2
"111",12
"112",-5
"113",7
"114",3
"115",-4
"116",2
"117",7
"118",10
"119",-5
"120",0
"121",-2
"122",5
"123",0
"124",-14
"125",5
"126",7
"127",5
"128",5
"129",-1
"130",7
"131",2
"132",-1
"133",4
"134",7
"135",-1
"136",8
"137",2
"138",-2
"139",-7
"140",13
"141",3
"142",-3
"143",5
"144",-3
"145",8
"146",3
"147",4
"148",4
"149",14
"150",-2
"151",2
"152",11
"153",2
"154",9
"155",10
"156",-1
"157",2
"158",-2
"159",-2
"160",-2
"161",3
"162",8
"163",0
"164",0
"165",3
"166",-6
"167",8
"168",-8
"169",12
"170",4
"171",7
"172",4
"173",4
"174",4
"175",-8
"176",-8
"177",3
"178",-5
"179",5
"180",-2
"181",-6
"182",-1
"183",12
"184",5
"185",9
"186",-4
"187",3
"188",4
"189",7
"190",-12
"191",1
"192",10
"193",-11
"194",-6
"195",2
"196",-3
"197",7
"198",-4
"199",0
"200",-5
"201",6
"202",5
"203",-3
"204",-7
"205",-5
"206",-2
"207",-1
"208",-2
"209",-1
"210",-1
"211",0
"212",-14
"213",1
"214",-1
"215",8
"216",-2
"217",-7
"218",-3
"219",-6
"220",3
"221",-2
"222",-3
"223",-4
"224",3
"225",0
"226",-7
"227",6
"228",3
"229",-6
"230",-6
"231",1
"232",-1
"233",-4
"234",-10
"235",-1
"236",0
"237",-3
"238",3
"239",2
"240",1
"241",4
"242",-1
"243",9
"244",-1
"245",-5
"246",-5
"247",4
"248",-17
"249",-8
"250",1
"251",5
"252",2
"253",-2
"254",2
"255",-13
"256",-1
"257",-10
"258",-1
"259",-5
"260",5
"261",1
"262",-4
"263",-2
"264",-1
"265",7
"266",-8
"267",6
"268",-2
"269",4
"270",-6
"271",0
"272",-8
"273",-4
"274",-10
"275",3
"276",-2
"277",5
"278",4
"279",7
"280",-8
"281",-8
"282",-11
"283",-2
"284",-11
"285",1
"286",3
"287",-4
"288",3
"289",1
"290",-8
"291",-8
"292",-4
"293",4
"294",-6
"295",-7
"296",0
"297",-2
"298",2
"299",-1
"300",-1
"301",-10
"302",-4
"303",3
"304",1
"305",1
"306",0
"307",15
