"","x"
"1",4
"2",-4
"3",-3
"4",5
"5",4
"6",-6
"7",-2
"8",-5
"9",0
"10",-9
"11",-1
"12",6
"13",-3
"14",-4
"15",-1
"16",-4
"17",6
"18",-5
"19",13
"20",17
"21",7
"22",1
"23",2
"24",7
"25",0
"26",11
"27",2
"28",5
"29",3
"30",-8
"31",9
"32",7
"33",-1
"34",5
"35",2
"36",5
"37",-13
"38",3
"39",10
"40",2
"41",-3
"42",4
"43",13
"44",13
"45",12
"46",0
"47",7
"48",-4
"49",-3
"50",-5
"51",3
"52",10
"53",0
"54",1
"55",9
"56",6
"57",-1
"58",5
"59",4
"60",-4
"61",-9
"62",4
"63",-5
"64",-2
"65",13
"66",-11
"67",7
"68",23
"69",9
"70",16
"71",10
"72",-3
"73",6
"74",-2
"75",5
"76",-2
"77",-7
"78",11
"79",1
"80",-5
"81",4
"82",7
"83",16
"84",9
"85",2
"86",1
"87",-8
"88",-5
"89",-1
"90",-8
"91",-1
"92",-17
"93",-14
"94",3
"95",-5
"96",-15
"97",-7
"98",-12
"99",-5
"100",-3
"101",-6
"102",0
"103",-10
"104",-8
"105",9
"106",-4
"107",-13
"108",-4
"109",3
"110",1
"111",-18
"112",-1
"113",-19
"114",5
"115",-3
"116",10
"117",-4
"118",-7
"119",2
"120",5
"121",3
"122",8
"123",8
"124",8
"125",9
"126",-16
"127",-12
"128",6
"129",-2
"130",-1
"131",-5
"132",-5
"133",3
"134",4
"135",13
"136",-1
"137",-1
"138",0
"139",17
"140",3
"141",-1
"142",5
"143",4
"144",-6
"145",2
"146",-13
"147",1
"148",19
"149",-9
"150",12
"151",-3
"152",-9
"153",-3
"154",8
"155",-1
"156",5
"157",2
"158",-2
"159",15
"160",14
"161",8
"162",-8
"163",-5
"164",-2
"165",-6
"166",10
"167",-15
"168",5
"169",-9
"170",-5
"171",11
"172",-3
"173",-1
"174",-11
"175",-3
"176",6
"177",4
"178",0
"179",-1
"180",9
"181",3
"182",-6
"183",-9
"184",3
"185",-3
"186",-1
"187",3
"188",-8
"189",-7
"190",0
"191",-16
"192",4
"193",-2
"194",-6
"195",-14
"196",1
"197",-6
"198",10
"199",9
"200",0
"201",-4
"202",1
"203",-2
"204",1
"205",-6
"206",6
"207",-9
"208",4
"209",3
"210",-5
"211",-2
"212",0
"213",7
"214",-18
"215",9
"216",-10
"217",-1
"218",5
"219",3
"220",2
"221",3
"222",-11
"223",-2
"224",-3
"225",3
"226",-6
"227",-11
"228",15
"229",7
"230",-8
"231",-5
"232",4
"233",5
"234",2
"235",-11
"236",2
"237",-6
"238",3
"239",-10
"240",-2
"241",9
"242",10
"243",9
"244",9
"245",-4
"246",-4
"247",11
"248",6
"249",4
"250",-2
"251",-1
"252",9
"253",0
"254",1
"255",-6
"256",8
"257",8
"258",0
"259",-2
"260",16
"261",-7
"262",-3
"263",2
"264",-2
"265",-1
"266",-2
"267",8
"268",12
"269",-7
"270",17
"271",8
"272",16
"273",3
