"","Date_of_game","Team1","Team2","Pointspread","Score1","Score2","scorediff","Location"
"1","2016-10-27","ATLANTA HAWKS","WASHINGTON WIZARDS",-4,114,99,15,"H"
"2","2016-10-29","ATLANTA HAWKS","PHILADELPHIA 76ERS",-7.5,104,72,32,"V"
"3","2016-10-31","ATLANTA HAWKS","SACRAMENTO KINGS",-7,106,95,11,"H"
"4","2016-11-02","ATLANTA HAWKS","LOS ANGELES LAKERS",-12,116,123,-7,"H"
"5","2016-11-04","ATLANTA HAWKS","WASHINGTON WIZARDS",1.5,92,95,-3,"V"
"6","2016-11-05","ATLANTA HAWKS","HOUSTON ROCKETS",-3,112,97,15,"H"
"7","2016-11-08","ATLANTA HAWKS","CLEVELAND CAVALIERS",7.5,110,106,4,"V"
"8","2016-11-09","ATLANTA HAWKS","CHICAGO BULLS",-3.5,115,107,8,"H"
"9","2016-11-12","ATLANTA HAWKS","PHILADELPHIA 76ERS",-14.5,117,96,21,"H"
"10","2016-11-15","ATLANTA HAWKS","MIAMI HEAT",-6.5,93,90,3,"V"
"11","2016-11-16","ATLANTA HAWKS","MILWAUKEE BUCKS",-5.5,107,100,7,"H"
"12","2016-11-18","ATLANTA HAWKS","CHARLOTTE HORNETS",2,96,100,-4,"V"
"13","2016-11-20","ATLANTA HAWKS","NEW YORK KNICKS",-4.5,94,104,-10,"V"
"14","2016-11-22","ATLANTA HAWKS","NEW ORLEANS PELICANS",-8.5,94,112,-18,"H"
"15","2016-11-23","ATLANTA HAWKS","INDIANA PACERS",-1.5,96,85,11,"V"
"16","2016-11-25","ATLANTA HAWKS","UTAH JAZZ",3.5,68,95,-27,"V"
"17","2016-11-27","ATLANTA HAWKS","LOS ANGELES LAKERS",-5,94,109,-15,"V"
"18","2016-11-28","ATLANTA HAWKS","GOLDEN STATE WARRIORS",14,100,105,-5,"V"
"19","2016-11-30","ATLANTA HAWKS","PHOENIX SUNS",-4.5,107,109,-2,"V"
"20","2016-12-02","ATLANTA HAWKS","DETROIT PISTONS",-2.5,85,121,-36,"H"
"21","2016-12-03","ATLANTA HAWKS","TORONTO RAPTORS",8.5,84,128,-44,"V"
"22","2016-12-05","ATLANTA HAWKS","OKLAHOMA CITY THUNDER",-4,99,102,-3,"H"
"23","2016-12-07","ATLANTA HAWKS","MIAMI HEAT",-9,103,95,8,"H"
"24","2016-12-09","ATLANTA HAWKS","MILWAUKEE BUCKS",3.5,114,110,4,"V"
"25","2016-12-13","ATLANTA HAWKS","ORLANDO MAGIC",-8.5,120,131,-11,"H"
"26","2016-12-16","ATLANTA HAWKS","TORONTO RAPTORS",6.5,125,121,4,"V"
"27","2016-12-17","ATLANTA HAWKS","CHARLOTTE HORNETS",-2.5,99,107,-8,"H"
"28","2016-12-19","ATLANTA HAWKS","OKLAHOMA CITY THUNDER",2.5,110,108,2,"V"
"29","2016-12-21","ATLANTA HAWKS","MINNESOTA TIMBERWOLVES",-4.5,84,92,-8,"H"
"30","2016-12-23","ATLANTA HAWKS","DENVER NUGGETS",5,109,108,1,"V"
"31","2016-12-26","ATLANTA HAWKS","MINNESOTA TIMBERWOLVES",-1.5,90,104,-14,"V"
"32","2016-12-28","ATLANTA HAWKS","NEW YORK KNICKS",-5,102,98,4,"H"
