"","x"
"1",0
"2",15
"3",14
"4",5
"5",7
"6",8
"7",-7
"8",5
"9",4
"10",12
"11",10
"12",17
"13",-1
"14",-2
"15",5
"16",11
"17",10
"18",4
"19",-8
"20",6
"21",1
"22",-6
"23",-1
"24",-22
"25",1
"26",-28
"27",9
"28",4
"29",1
"30",19
"31",19
"32",0
"33",-4
"34",-6
"35",5
"36",-5
"37",-15
"38",5
"39",-10
"40",-13
"41",14
"42",-4
"43",-9
"44",-8
"45",3
"46",1
"47",14
"48",-17
"49",6
"50",0
"51",3
"52",-2
"53",0
"54",-17
"55",1
"56",-7
"57",-9
"58",17
"59",-1
"60",15
"61",1
"62",8
"63",13
"64",8
"65",7
"66",-1
"67",3
"68",-14
"69",-19
"70",5
"71",-2
"72",-1
"73",-8
"74",-10
"75",16
"76",-1
"77",-15
"78",-14
"79",12
"80",1
"81",-11
"82",-10
"83",6
"84",-2
"85",8
"86",3
"87",1
"88",2
"89",3
"90",6
"91",10
"92",2
"93",4
"94",-7
"95",2
"96",1
"97",-19
"98",-10
"99",-20
"100",11
"101",-17
"102",-6
"103",-15
"104",-2
"105",-4
"106",-2
"107",-3
"108",-17
"109",6
"110",-13
"111",-4
"112",-6
"113",-8
"114",-8
"115",1
"116",21
"117",4
"118",-8
"119",-16
"120",-4
"121",-19
"122",-7
"123",7
"124",-7
"125",-1
"126",-4
"127",18
"128",7
"129",-6
"130",-2
"131",-1
"132",-10
"133",-5
"134",12
"135",-11
"136",10
"137",-1
"138",-4
"139",-9
"140",-5
"141",-3
"142",7
"143",3
"144",-12
"145",-5
"146",-2
"147",5
"148",-4
"149",-10
"150",-24
"151",9
"152",-9
"153",-5
"154",12
"155",9
"156",-3
"157",-1
"158",1
"159",-8
"160",-2
"161",4
"162",1
"163",10
"164",2
"165",-6
"166",-1
"167",-9
"168",-3
"169",-4
"170",-17
"171",-2
"172",-5
"173",-3
"174",-2
"175",-23
"176",1
"177",-11
"178",14
"179",0
"180",-3
"181",-12
"182",-14
"183",3
"184",-9
"185",-12
"186",-3
"187",-5
"188",-6
"189",-6
"190",-13
"191",-17
"192",-8
"193",-14
"194",-7
"195",6
"196",-10
"197",-12
"198",8
"199",-16
"200",-9
"201",7
"202",-5
"203",-7
"204",-5
"205",0
"206",2
"207",-14
"208",3
"209",-9
"210",1
"211",-5
"212",-6
"213",-2
"214",-8
"215",12
"216",-9
"217",4
"218",-7
"219",19
"220",2
"221",1
"222",-8
"223",0
"224",3
"225",2
"226",-9
"227",0
"228",5
"229",-10
"230",-9
"231",12
"232",17
"233",-16
"234",-12
"235",-4
"236",2
"237",-9
"238",-4
"239",-6
"240",-3
"241",0
"242",0
"243",11
"244",-14
"245",-6
"246",-3
"247",5
"248",-2
"249",-12
"250",4
"251",-14
"252",-3
"253",-3
"254",-2
"255",-3
"256",15
"257",-12
"258",1
"259",-8
"260",-4
"261",-11
"262",-6
"263",-8
"264",-1
"265",4
"266",4
"267",-2
"268",18
"269",-2
"270",-6
"271",-4
"272",-6
"273",-7
"274",-7
"275",2
"276",-2
"277",-1
"278",5
"279",-9
"280",4
"281",9
"282",-12
"283",-10
"284",-4
"285",4
"286",6
"287",-1
"288",5
"289",-3
"290",8
"291",-7
"292",-4
"293",5
"294",-11
"295",-7
"296",-6
"297",-1
"298",-1
"299",3
"300",-9
"301",5
"302",-1
"303",-8
"304",-5
"305",19
"306",13
"307",12
"308",0
"309",7
"310",3
"311",-18
"312",-8
"313",2
"314",1
"315",-9
"316",-4
"317",9
"318",10
"319",5
"320",12
"321",18
"322",-2
"323",-6
"324",-9
"325",-13
"326",-8
"327",-4
"328",-3
"329",1
"330",16
"331",-1
"332",7
"333",7
"334",1
"335",7
"336",-7
"337",-10
"338",1
"339",14
"340",-11
"341",-8
"342",-1
"343",8
"344",5
"345",-5
"346",14
"347",4
"348",8
"349",5
"350",3
"351",8
"352",19
"353",-14
"354",-3
"355",-7
"356",2
"357",4
"358",3
"359",-1
"360",-3
"361",-5
"362",15
"363",-6
"364",-11
"365",21
"366",9
"367",2
"368",-5
"369",-17
"370",-4
"371",5
"372",17
"373",-4
"374",-4
"375",17
"376",3
"377",6
"378",-7
"379",7
"380",-2
"381",3
"382",18
"383",12
"384",8
"385",-5
