"","x"
"1",0
"2",-4
"3",5
"4",-5
"5",-7
"6",3
"7",0
"8",5
"9",0
"10",8
"11",3
"12",8
"13",-5
"14",7
"15",1
"16",13
"17",-2
"18",-2
"19",-2
"20",-4
"21",2
"22",-7
"23",0
"24",-8
"25",-3
"26",0
"27",4
"28",5
"29",-7
"30",11
"31",3
"32",-1
"33",8
"34",-3
"35",4
"36",3
"37",3
"38",5
"39",6
"40",-4
"41",-2
"42",3
"43",-2
"44",2
"45",2
"46",3
"47",9
"48",-7
"49",5
"50",6
"51",-1
"52",-2
"53",-4
"54",-8
"55",2
"56",-1
"57",3
"58",6
"59",-5
"60",2
"61",4
"62",-8
"63",-3
"64",-9
"65",3
"66",5
"67",4
"68",-5
"69",-7
"70",-6
"71",-2
"72",-1
"73",-5
"74",6
"75",5
"76",10
"77",-2
"78",0
"79",2
"80",-1
"81",1
"82",-3
"83",7
"84",7
"85",-4
"86",-2
"87",5
"88",6
"89",3
"90",-6
"91",2
"92",1
"93",5
"94",1
"95",1
"96",2
"97",-1
"98",-7
"99",0
"100",4
"101",-1
"102",6
"103",-5
"104",1
"105",-10
"106",-4
"107",0
"108",-7
"109",2
"110",2
"111",6
"112",8
"113",-6
"114",-2
"115",7
"116",10
"117",0
"118",-6
"119",0
"120",3
"121",-6
"122",2
"123",-3
"124",2
"125",-5
"126",-5
"127",1
"128",0
"129",-9
"130",3
"131",-2
"132",-2
"133",4
"134",4
"135",-2
"136",6
"137",-4
"138",-12
"139",1
"140",1
"141",-2
"142",2
"143",-9
"144",-4
"145",2
"146",-6
"147",-1
"148",-10
"149",-12
"150",-11
"151",6
"152",1
"153",-1
"154",-2
"155",-1
"156",2
"157",-5
"158",2
"159",0
"160",2
"161",1
"162",2
"163",7
"164",-7
"165",-1
"166",3
"167",-6
"168",-4
"169",2
"170",-3
"171",-6
"172",2
"173",3
"174",7
"175",0
"176",7
"177",-2
"178",-5
"179",-1
"180",-1
"181",7
"182",-1
"183",-1
"184",-2
"185",-7
"186",-1
"187",4
"188",-1
"189",8
"190",-4
"191",-4
"192",-4
"193",6
"194",8
"195",7
"196",-4
"197",-3
"198",5
"199",-2
"200",6
"201",6
"202",4
"203",-4
"204",14
"205",5
"206",5
"207",3
"208",3
"209",5
"210",7
"211",5
"212",10
"213",-1
"214",3
"215",5
"216",0
"217",1
"218",5
"219",5
"220",8
"221",4
"222",-1
"223",3
"224",7
"225",4
"226",3
"227",0
"228",7
"229",4
"230",7
"231",3
"232",6
"233",0
"234",5
"235",10
"236",-3
"237",1
"238",-1
