"","X.3","X.2","Rk","G","Date","X","Opp","W.L","Tm","Opp.1","TeamFG","TeamFGA","TeamFG.","Team3P","Team3PA","Team3P.","TeamFT","TeamFTA","TeamFT.","TeamORB","TeamTRB","TeamAST","TeamSTL","TeamBLK","TeamTOV","TeamPF","X.1","OppoFG","OppoFGA","OppoFG.","Oppo3P","Oppo3PA","Oppo3P.","OppoFT","OppoFTA","OppoFT.","OppoORB","OppoTRB","OppoAST","OppoSTL","OppoBLK","OppoTOV","OppoPF","Tm1","TPdiff","TRBdiff","FTdiff","ASTdiff","BLKdiff","TOVdiff"
"1",39,39,39,39,"2017-01-13","","BOSTON CELTICS","L",101,103,36,84,0.429,11,30,0.367,18,21,0.857,12,43,22,5,5,12,17,NA,36,83,0.434,17,44,0.386,14,19,0.737,9,43,22,7,3,12,16,"ATLANTA HAWKS",-6,0,4,0,2,0
"2",59,59,59,59,"2017-02-27","@","BOSTON CELTICS","W",114,98,46,95,0.484,6,25,0.24,16,20,0.8,13,55,22,10,10,14,19,NA,34,87,0.391,10,34,0.294,20,25,0.8,9,40,21,9,7,18,20,"ATLANTA HAWKS",-4,15,-4,1,3,-4
"3",78,78,78,78,"2017-04-06","","BOSTON CELTICS","W",123,116,44,89,0.494,11,23,0.478,24,34,0.706,13,52,26,7,4,17,30,NA,37,90,0.411,15,43,0.349,27,34,0.794,10,38,28,9,4,12,29,"ATLANTA HAWKS",-4,14,-3,-2,0,5
"4",38,38,38,38,"2017-01-10","@","BROOKLYN NETS","W",117,97,44,92,0.478,7,23,0.304,22,38,0.579,15,53,25,11,12,12,17,NA,35,87,0.402,10,29,0.345,17,23,0.739,14,48,22,5,4,17,24,"ATLANTA HAWKS",-3,5,5,3,8,-5
"5",64,64,64,64,"2017-03-08","","BROOKLYN NETS","W",110,105,41,95,0.432,4,20,0.2,24,32,0.75,11,47,19,12,7,15,22,NA,37,80,0.463,11,33,0.333,20,25,0.8,5,40,28,7,11,22,25,"ATLANTA HAWKS",-7,7,4,-9,-4,-7
"6",73,73,73,73,"2017-03-26","","BROOKLYN NETS","L",92,107,34,98,0.347,5,27,0.185,19,32,0.594,26,58,16,10,3,20,19,NA,38,86,0.442,6,22,0.273,25,30,0.833,12,50,21,13,7,17,25,"ATLANTA HAWKS",-1,8,-6,-5,-4,3
"7",77,77,77,77,"2017-04-02","@","BROOKLYN NETS","L",82,91,30,80,0.375,7,24,0.292,15,23,0.652,8,44,19,9,4,19,19,NA,32,82,0.39,10,33,0.303,17,20,0.85,8,51,21,11,6,19,22,"ATLANTA HAWKS",-3,-7,-2,-2,-2,0
"8",12,12,12,12,"2016-11-18","@","CHARLOTTE HORNETS","L",96,100,39,84,0.464,7,28,0.25,11,17,0.647,8,49,25,9,6,16,18,NA,37,90,0.411,10,29,0.345,16,24,0.667,8,44,25,11,4,11,16,"ATLANTA HAWKS",-3,5,-5,0,2,5
"9",27,27,27,27,"2016-12-17","","CHARLOTTE HORNETS","L",99,107,40,86,0.465,10,26,0.385,9,16,0.563,9,47,26,4,2,12,18,NA,43,88,0.489,12,27,0.444,9,13,0.692,7,43,26,8,3,12,17,"ATLANTA HAWKS",-2,4,0,0,-1,0
"10",70,70,70,70,"2017-03-20","@","CHARLOTTE HORNETS","L",90,105,37,84,0.44,12,37,0.324,4,10,0.4,12,45,26,3,5,15,17,NA,40,80,0.5,12,30,0.4,13,20,0.65,5,33,28,12,4,7,13,"ATLANTA HAWKS",0,12,-9,-2,1,8
"11",81,81,81,81,"2017-04-11","","CHARLOTTE HORNETS","W",103,76,41,79,0.519,7,27,0.259,14,18,0.778,11,50,30,6,4,16,17,NA,29,88,0.33,3,23,0.13,15,19,0.789,15,40,16,11,1,13,17,"ATLANTA HAWKS",4,10,-1,14,3,3
"12",8,8,8,8,"2016-11-09","","CHICAGO BULLS","W",115,107,42,83,0.506,9,20,0.45,22,27,0.815,13,48,24,8,7,21,20,NA,41,91,0.451,9,27,0.333,16,21,0.762,8,31,24,14,3,13,21,"ATLANTA HAWKS",0,17,6,0,4,8
