,Rk,G,Date,X,Opp,W.L,Tm,Opp.1,TeamFG,TeamFGA,TeamFG.,Team3P,Team3PA,Team3P.,TeamFT,TeamFTA,TeamFT.,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,X.1,OppoFG,OppoFGA,OppoFG.,Oppo3P,Oppo3PA,Oppo3P.,OppoFT,OppoFTA,OppoFT.,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF,Tm1
1,1,1,2016/10/27,,WAS,W,114,99,44,88,0.5,12,26,0.462,14,18,0.778,14,52,28,13,7,21,19,NA,40,94,0.426,6,20,0.3,13,18,0.722,12,40,25,14,4,19,20,ATL
2,2,2,2016/10/29,@,PHI,W,104,72,42,85,0.494,5,20,0.25,15,23,0.652,6,47,31,11,7,12,14,NA,28,80,0.35,5,18,0.278,11,15,0.733,4,39,16,9,5,20,20,ATL
3,3,3,2016/10/31,,SAC,W,106,95,33,79,0.418,11,30,0.367,29,47,0.617,17,43,24,11,6,13,20,NA,36,75,0.48,10,23,0.435,13,19,0.684,6,38,26,10,6,19,34,ATL
4,4,4,2016/11/2,,LAL,L,116,123,41,85,0.482,11,32,0.344,23,29,0.793,10,37,30,10,1,18,19,NA,48,90,0.533,9,22,0.409,18,20,0.9,11,42,24,11,9,15,25,ATL
5,5,5,2016/11/4,@,WAS,L,92,95,32,83,0.386,5,25,0.2,23,36,0.639,10,47,22,12,3,18,24,NA,31,80,0.388,5,20,0.25,28,35,0.8,11,46,13,7,3,19,23,ATL
6,6,6,2016/11/5,,HOU,W,112,97,45,85,0.529,8,20,0.4,14,24,0.583,13,44,29,17,6,19,13,NA,37,85,0.435,12,36,0.333,11,13,0.846,12,43,22,9,7,26,26,ATL
7,7,7,2016/11/8,@,CLE,W,110,106,41,81,0.506,11,29,0.379,17,24,0.708,11,50,22,1,4,19,21,NA,37,99,0.374,11,42,0.262,21,25,0.84,13,39,21,12,1,6,20,ATL
8,8,8,2016/11/9,,CHI,W,115,107,42,83,0.506,9,20,0.45,22,27,0.815,13,48,24,8,7,21,20,NA,41,91,0.451,9,27,0.333,16,21,0.762,8,31,24,14,3,13,21,ATL
9,9,9,2016/11/12,,PHI,W,117,96,48,95,0.505,13,32,0.406,8,14,0.571,15,52,31,10,6,16,14,NA,36,83,0.434,11,29,0.379,13,20,0.65,10,39,21,14,4,19,20,ATL
10,10,10,2016/11/15,@,MIA,W,93,90,37,80,0.463,6,17,0.353,13,19,0.684,6,35,18,14,4,19,13,NA,36,89,0.404,7,23,0.304,11,14,0.786,17,48,13,11,7,23,23,ATL
11,11,11,2016/11/16,,MIL,W,107,100,35,72,0.486,10,32,0.313,27,31,0.871,3,39,29,6,8,16,17,NA,39,98,0.398,8,32,0.25,14,18,0.778,15,47,25,9,2,14,25,ATL
12,12,12,2016/11/18,@,CHO,L,96,100,39,84,0.464,7,28,0.25,11,17,0.647,8,49,25,9,6,16,18,NA,37,90,0.411,10,29,0.345,16,24,0.667,8,44,25,11,4,11,16,ATL
13,13,13,2016/11/20,@,NYK,L,94,104,34,85,0.4,6,21,0.286,20,29,0.69,14,48,17,7,6,13,15,NA,42,88,0.477,10,27,0.37,10,14,0.714,11,50,21,8,1,15,23,ATL
14,14,14,2016/11/22,,NOP,L,94,112,39,85,0.459,10,29,0.345,6,10,0.6,6,40,22,5,6,15,15,NA,45,86,0.523,11,25,0.44,11,12,0.917,5,40,29,11,9,9,16,ATL
15,15,15,2016/11/23,@,IND,W,96,85,36,85,0.424,5,20,0.25,19,22,0.864,17,56,17,11,7,21,18,NA,34,84,0.405,7,27,0.259,10,14,0.714,7,37,16,15,5,18,20,ATL
16,16,16,2016/11/25,@,UTA,L,68,95,26,83,0.313,8,25,0.32,8,12,0.667,6,40,11,8,4,14,16,NA,35,80,0.438,10,34,0.294,15,18,0.833,9,55,17,9,9,16,16,ATL
17,17,17,2016/11/27,@,LAL,L,94,109,39,88,0.443,12,35,0.343,4,10,0.4,7,38,25,5,6,12,19,NA,42,95,0.442,8,20,0.4,17,20,0.85,15,53,20,7,2,9,15,ATL
18,18,18,2016/11/28,@,GSW,L,100,105,36,85,0.424,7,29,0.241,21,30,0.7,13,50,20,11,4,18,22,NA,37,85,0.435,12,35,0.343,19,24,0.792,7,41,25,6,10,14,20,ATL
19,19,19,2016/11/30,@,PHO,L,107,109,45,89,0.506,9,25,0.36,8,10,0.8,7,40,20,9,6,20,22,NA,40,89,0.449,10,21,0.476,19,25,0.76,13,41,15,11,4,15,17,ATL
20,20,20,2016/12/2,,DET,L,85,121,32,88,0.364,6,24,0.25,15,20,0.75,6,32,22,6,2,7,12,NA,48,89,0.539,17,29,0.586,8,12,0.667,11,54,28,4,3,15,15,ATL
