"","Date","Team","Acquired","Relinquished","Notes"
"15827",2016-08-02,"Raptors","","Delon Wright","arthroscopic surgery on right shoulder to repair torn labrum (out indefinitely)"
"15828",2016-08-31,"Blazers","","Noah Vonleh","surgery on right thigh to remove bone fragment (out indefinitely)"
"15829",2016-09-08,"Heat","","Josh Richardson","partially torn MCL in right knee (out indefinitely)"
"15830",2016-09-15,"Suns","","P.J. Tucker","surgery on lower back (out indefinitely)"
"15831",2016-09-21,"Bucks","","Khris Middleton","torn left hamstring (out indefinitely)"
"15832",2016-09-22,"Hawks","","Paul Millsap","procedure on right knee to reduce swelling (out indefinitely)"
"15833",2016-09-26,"Timberwolves","","Nikola Pekovic","sore right ankle (out for season)"
"15834",2016-09-29,"Bucks","","Khris Middleton","surgery to repair torn left hamstring (out indefinitely)"
"15835",2016-10-01,"76ers","","Ben Simmons","fractured right foot (out for season)"
"15836",2016-10-01,"Hornets","Frank Kaminsky","","returned to lineup"
"15837",2016-10-04,"76ers","","Ben Simmons","surgery on right foot to repair fracture (out for season)"
"15838",2016-10-04,"Bulls","","Denzel Valentine","sprained ankle (DTD)"
"15839",2016-10-04,"Timberwolves","","Nikola Pekovic","sore right foot (out for season)"
"15840",2016-10-05,"Nuggets","","Gary Harris","partially torn right groin muscle (out indefinitely)"
"15841",2016-10-05,"Pistons","","Reggie Jackson ","left knee tendinitis (out indefinitely)"
"15842",2016-10-06,"Hornets","","Cody Zeller","bone bruise in right knee (out indefinitely)"
"15843",2016-10-07,"Jazz","","Gordon Hayward","fractured left ring finger (out indefinitely)"
"15844",2016-10-08,"Clippers","","Brice Johnson","herniated disc in lower back (out indefinitely)"
"15845",2016-10-10,"Pistons","","Reggie Jackson ","sprained right thumb (out indefinitely)"
"15846",2016-10-11,"Hawks","","Tiago Splitter","strained right hamstring (out indefinitely)"
"15847",2016-10-12,"Pelicans","","Anthony Davis","sprained ankle (DTD)"
"15848",2016-10-12,"Rockets","","Clint Capela","tightness in hamstring (DTD)"
"15849",2016-10-12,"Rockets","","Pablo Prigioni","strained left shoulder (DTD)"
"15850",2016-10-12,"Suns","","Brandon Knight","left knee tendinitis (DTD)"
"15851",2016-10-12,"Suns","","John Jenkins","strained abdominal (DTD)"
"15852",2016-10-12,"Thunder","","Ronnie Price","concussion (DTD)"
"15853",2016-10-15,"76ers","","Hollis Thompson","illness (DTD)"
