"","Team","Player","GoneDate","BackDate"
"1","HORNETS","Frank Kaminsky",2016-06-29,2016-10-01
"2","GRIZZLIES","Marc Gasol",2016-10-15,2016-10-26
"3","HEAT","Luke Babbitt",2016-10-15,2016-10-26
"4","MAVERICKS","Jose Barea ",2016-10-24,2016-10-26
"5","PACERS","C.J. Miles",2016-10-24,2016-10-26
"6","PELICANS","Anthony Davis",2016-10-12,2016-10-26
"7","PISTONS","Aron Baynes",2016-10-19,2016-10-26
"8","SUNS","Brandon Knight",2016-10-12,2016-10-26
"9","CLIPPERS","Chris Paul",2016-10-16,2016-10-27
"10","WIZARDS","Jason Smith",2016-10-24,2016-10-27
"11","HORNETS","Brian Roberts",2016-10-26,2016-10-28
"12","JAZZ","Derrick Favors",2016-10-24,2016-10-28
"13","MAGIC","C.J. Watson",2016-07-08,2016-10-28
"14","MAGIC","Stephen Zimmerman Jr.",2016-10-26,2016-10-28
"15","MAVERICKS","A.J. Hammons",2016-10-26,2016-10-28
"16","PACERS","Georges Niang",2016-10-26,2016-10-28
"17","WARRIORS","Damian Jones",2016-10-25,2016-10-28
"18","BUCKS","Tony Snell",2016-10-26,2016-10-29
"19","CAVALIERS","Kay Felder",2016-10-25,2016-10-29
"20","GRIZZLIES","Jarell Martin",2016-10-24,2016-10-29
"21","HORNETS","Frank Kaminsky",2016-10-26,2016-10-29
"22","KNICKS","Maurice N'dour",2016-10-25,2016-10-29
"24","PACERS","Rakeem Christmas",2016-10-26,2016-10-29
"25","SPURS","Dejounte Murray",2016-10-25,2016-10-29
"26","GRIZZLIES","Tony Allen",2016-10-26,2016-10-30
"27","LAKERS","Jose Calderon",2016-10-26,2016-10-30
"28","SPURS"," Tony Parker",2016-10-29,2016-10-30
"29","SPURS","Manu Ginobili",2016-10-29,2016-10-30
"30","WARRIORS","James McAdoo ",2016-10-25,2016-10-30
"31","MAVERICKS","Dirk Nowitzki",2016-10-28,2016-10-30
"32","KINGS","Skal Labissiere",2016-10-26,2016-10-31
"33","SUNS","John Jenkins",2016-10-26,2016-10-31
"34","MAGIC","Stephen Zimmerman Jr.",2016-10-29,2016-11-01
"35","PACERS","Aaron Brooks",2016-10-28,2016-11-01
"36","SPURS","LaMarcus Aldridge",2016-10-30,2016-11-01
"37","TIMBERWOLVES","John Lucas III",2016-10-26,2016-11-01
"38","BULLS","Jerian Grant",2016-10-27,2016-11-02
"39","BULLS","R.J. Hunter",2016-10-29,2016-11-02
"40","CELTICS","Marcus Smart",2016-10-26,2016-11-02
"41","GRIZZLIES","Marc Gasol",2016-11-01,2016-11-02
"42","GRIZZLIES","Mike Conley Jr.",2016-11-01,2016-11-02
"43","HORNETS","Aaron Harrison",2016-10-28,2016-11-02
"44","KNICKS","Ron Baker",2016-10-29,2016-11-02
"45","LAKERS","Ivica Zubac",2016-10-26,2016-11-02
"46","LAKERS","Thomas Robinson",2016-10-30,2016-11-02
"47","MAVERICKS","Dirk Nowitzki",2016-10-30,2016-11-02
"48","RAPTORS","Lucas Nogueira",2016-10-26,2016-11-02
"49","SUNS","Devin Booker",2016-10-31,2016-11-02
"50","KINGS","Omri Casspi",2016-10-31,2016-11-03
"51","NUGGETS","Darrell Arthur",2016-10-26,2016-11-03
"52","ROCKETS","Chinanu Onuaku",2016-11-01,2016-11-03
"53","BULLS","Doug McDermott",2016-11-02,2016-11-04
"54","CLIPPERS","Paul Pierce",2016-10-27,2016-11-04
