"","Team","Player","GoneDate","BackDate"
"15836","Hornets","Frank Kaminsky",2016-06-29,2016-10-01
"15922","Grizzlies","Marc Gasol",2016-10-15,2016-10-26
"15926","Heat","Luke Babbitt",2016-10-15,2016-10-26
"15937","Mavericks","Jose Barea ",2016-10-24,2016-10-26
"15945","Pacers","C.J. Miles",2016-10-24,2016-10-26
"15948","Pelicans","Anthony Davis",2016-10-12,2016-10-26
"15951","Pistons","Aron Baynes",2016-10-19,2016-10-26
"15959","Suns","Brandon Knight",2016-10-12,2016-10-26
"15968","Clippers","Chris Paul",2016-10-16,2016-10-27
"15973","Wizards","Jason Smith",2016-10-24,2016-10-27
"15975","Hornets","Brian Roberts",2016-10-26,2016-10-28
"15976","Jazz","Derrick Favors",2016-10-24,2016-10-28
"15978","Magic","C.J. Watson",2016-07-08,2016-10-28
"15979","Magic","Stephen Zimmerman Jr.",2016-10-26,2016-10-28
"15981","Mavericks","A.J. Hammons",2016-10-26,2016-10-28
"15984","Pacers","Georges Niang",2016-10-26,2016-10-28
"15986","Warriors","Damian Jones",2016-10-25,2016-10-28
"15987","Bucks","Tony Snell",2016-10-26,2016-10-29
"15989","Cavaliers","Kay Felder",2016-10-25,2016-10-29
"15990","Grizzlies","Jarell Martin",2016-10-24,2016-10-29
"15993","Hornets","Frank Kaminsky",2016-10-26,2016-10-29
"15995","Knicks","Maurice N'dour",2016-10-25,2016-10-29
"15997","Magic","Arinze Onuaku",NA,2016-10-29
"16001","Pacers","Rakeem Christmas",2016-10-26,2016-10-29
"16004","Spurs","Dejounte Murray",2016-10-25,2016-10-29
"16006","Grizzlies","Tony Allen",2016-10-26,2016-10-30
"16008","Lakers","Jose Calderon",2016-10-26,2016-10-30
"16011","Spurs"," Tony Parker",2016-10-29,2016-10-30
"16012","Spurs","Manu Ginobili",2016-10-29,2016-10-30
"16014","Warriors","James McAdoo ",2016-10-25,2016-10-30
"16016","Mavericks","Dirk Nowitzki",2016-10-28,2016-10-30
"16019","Kings","Skal Labissiere",2016-10-26,2016-10-31
"16021","Suns","John Jenkins",2016-10-26,2016-10-31
"16031","Magic","Stephen Zimmerman Jr.",2016-10-29,2016-11-01
"16034","Pacers","Aaron Brooks",2016-10-28,2016-11-01
"16037","Spurs","LaMarcus Aldridge",2016-10-30,2016-11-01
"16039","Timberwolves","John Lucas III",2016-10-26,2016-11-01
"16043","Bulls","Jerian Grant",2016-10-27,2016-11-02
"16044","Bulls","R.J. Hunter",2016-10-29,2016-11-02
"16047","Celtics","Marcus Smart",2016-10-26,2016-11-02
"16049","Grizzlies","Marc Gasol",2016-11-01,2016-11-02
"16050","Grizzlies","Mike Conley Jr.",2016-11-01,2016-11-02
"16053","Hornets","Aaron Harrison",2016-10-28,2016-11-02
"16056","Knicks","Ron Baker",2016-10-29,2016-11-02
"16059","Lakers","Ivica Zubac",2016-10-26,2016-11-02
"16060","Lakers","Thomas Robinson",2016-10-30,2016-11-02
"16062","Mavericks","Dirk Nowitzki",2016-10-30,2016-11-02
"16065","Raptors","Lucas Nogueira",2016-10-26,2016-11-02
"16067","Suns","Devin Booker",2016-10-31,2016-11-02
"16070","Kings","Omri Casspi",2016-10-31,2016-11-03
"16073","Nuggets","Darrell Arthur",2016-10-26,2016-11-03
"16074","Rockets","Chinanu Onuaku",2016-11-01,2016-11-03
"16077","Bulls","Doug McDermott",2016-11-02,2016-11-04
"16079","Clippers","Paul Pierce",2016-10-27,2016-11-04
"16080","Heat","Josh Richardson",2016-09-08,2016-11-04
"16082","Knicks","Willy Hernangomez",2016-11-02,2016-11-04
"16084","Lakers","Timofey Mozgov",2016-11-02,2016-11-04
"16086","Mavericks","A.J. Hammons",2016-10-30,2016-11-04
"16089","Nets","Randy Foye",2016-10-26,2016-11-04
"16091","Spurs","Davis Bertans",2016-11-01,2016-11-04
"16093","Bucks","Steve Novak",2016-11-01,2016-11-05
"16095","Cavaliers","Kay Felder",2016-11-01,2016-11-05
"16098","Kings","Giorgios Papagiannis ",2016-10-26,2016-11-05
"16099","Kings","Omri Casspi",2016-10-31,2016-11-05
"16100","Magic","Stephen Zimmerman Jr.",2016-11-03,2016-11-05
"16102","Nuggets","Gary Harris",2016-10-26,2016-11-05
"16106","Wizards","Danuel House",2016-10-30,2016-11-05
"16108","Bucks","Jason Terry",2016-11-05,2016-11-06
"16109","Grizzlies","Chandler Parsons",2016-10-26,2016-11-06
"16111","Jazz","Gordon Hayward",2016-10-25,2016-11-06
"16113","Kings","Rudy Gay",2016-11-05,2016-11-06
"16115","Knicks","Lance Thomas",2016-11-04,2016-11-06
"16117","Lakers","Marcelo Huertas",2016-11-04,2016-11-06
"16121","Hornets","Christian Wood",2016-11-02,2016-11-07
"16128","Warriors","Patrick McCaw",2016-10-30,2016-11-07
"16130","Wizards","John Wall ",2016-11-05,2016-11-07
"16131","Pistons","Reggie Bullock",2016-10-26,2016-11-07
"16134","Grizzlies","Chandler Parsons",2016-10-26,2016-11-08
"16136","Kings","Anthony Tolliver",2016-11-05,2016-11-08
"16138","Lakers","Ron Artest",2016-11-02,2016-11-08
"16141","Nuggets","Jarnell Stokes",2016-11-05,2016-11-08
"16142","Suns","John Jenkins",2016-11-02,2016-11-08
"16145","Blazers","Tim Quarterman",2016-10-25,2016-11-09
"16146","Celtics","Kelly Olynyk",2016-10-26,2016-11-09
"16148","Knicks","Maurice N'dour",2016-11-06,2016-11-09
"16149","Magic","Stephen Zimmerman Jr.",2016-11-03,2016-11-09
"16157","Spurs","Danny Green",2016-10-25,2016-11-09
"16159","Nets","Greivis Vasquez",2016-11-04,2016-11-09
"16160","Kings","Anthony Tolliver",2016-11-05,2016-11-10
"16163","Lakers","Larry Nance Jr.",2016-11-08,2016-11-10
"16165","Warriors","Anderson Varejao",2016-11-07,2016-11-10
"16168","Hornets","Roy Hibbert",2016-10-29,2016-11-11
"16170","Knicks","Ron Baker",2016-11-09,2016-11-11
"16172","Raptors","Jonas Valanciunas",2016-11-06,2016-11-11
"16173","Raptors","Terrence Ross",2016-11-09,2016-11-11
"16174","Rockets","Chinanu Onuaku",2016-11-09,2016-11-11
"16177","Spurs"," Tony Parker",2016-11-04,2016-11-11
"16178","Spurs","Bryn Forbes",2016-11-09,2016-11-11
