"","Date_of_game","Team1","Team2","Pointspread","Score1","Score2","scorediff","Location","ATLANTA HAWKS","BOSTON CELTICS","BROOKLYN NETS","CHARLOTTE HORNETS","CHICAGO BULLS","CLEVELAND CAVALIERS","DALLAS MAVERICKS","DENVER NUGGETS","DETROIT PISTONS","GOLDEN STATE WARRIORS","HOUSTON ROCKETS","INDIANA PACERS","LOS ANGELES CLIPPERS","LOS ANGELES LAKERS","MEMPHIS GRIZZLIES","MIAMI HEAT","MILWAUKEE BUCKS","MINNESOTA TIMBERWOLVES","NEW ORLEANS PELICANS","NEW YORK KNICKS","OKLAHOMA CITY THUNDER","ORLANDO MAGIC","PHILADELPHIA 76ERS","PHOENIX SUNS","PORTLAND TRAIL BLAZERS","SACRAMENTO KINGS","SAN ANTONIO SPURS","TORONTO RAPTORS","UTAH JAZZ","WASHINGTON WIZARDS"
"1",2017-01-13,"ATLANTA HAWKS","BOSTON CELTICS",-3.5,101,103,-2,"H",1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2017-02-27,"ATLANTA HAWKS","BOSTON CELTICS",4.5,114,98,16,"V",1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2017-04-06,"ATLANTA HAWKS","BOSTON CELTICS",1.5,123,116,7,"H",1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2017-01-10,"ATLANTA HAWKS","BROOKLYN NETS",-8.5,117,97,20,"V",1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2017-03-08,"ATLANTA HAWKS","BROOKLYN NETS",-9.5,110,105,5,"H",1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2017-03-26,"ATLANTA HAWKS","BROOKLYN NETS",-6.5,92,107,-15,"H",1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2017-04-02,"ATLANTA HAWKS","BROOKLYN NETS",-3,82,91,-9,"V",1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2016-11-18,"ATLANTA HAWKS","CHARLOTTE HORNETS",2,96,100,-4,"V",1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2016-12-17,"ATLANTA HAWKS","CHARLOTTE HORNETS",-2.5,99,107,-8,"H",1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2017-03-20,"ATLANTA HAWKS","CHARLOTTE HORNETS",6,90,105,-15,"V",1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2017-04-11,"ATLANTA HAWKS","CHARLOTTE HORNETS",-8,103,76,27,"H",1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2016-11-09,"ATLANTA HAWKS","CHICAGO BULLS",-3.5,115,107,8,"H",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2017-01-20,"ATLANTA HAWKS","CHICAGO BULLS",-4,102,93,9,"H",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2017-01-25,"ATLANTA HAWKS","CHICAGO BULLS",-1.5,119,114,5,"V",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",2017-04-01,"ATLANTA HAWKS","CHICAGO BULLS",5,104,106,-2,"V",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2016-11-08,"ATLANTA HAWKS","CLEVELAND CAVALIERS",7.5,110,106,4,"V",1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",2017-03-03,"ATLANTA HAWKS","CLEVELAND CAVALIERS",2.5,130,135,-5,"H",1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2017-04-07,"ATLANTA HAWKS","CLEVELAND CAVALIERS",14,114,100,14,"V",1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
