Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2012-10-30,@,MIA,L,107,120,39,75,.520,6,13,.462,23,28,.821,7,41,24,4,2,15,23,,43,79,.544,8,16,.500,26,32,.813,5,36,25,8,5,8,20
2,2,2012-11-02,,MIL,L,88,99,33,74,.446,5,14,.357,17,21,.810,6,36,22,9,4,18,18,,40,86,.465,8,18,.444,11,12,.917,11,46,26,12,5,18,17
3,3,2012-11-03,@,WAS,W,89,86,36,84,.429,8,21,.381,9,13,.692,6,35,24,8,4,9,12,,34,78,.436,6,20,.300,12,17,.706,7,46,20,7,4,15,14
4,4,2012-11-07,,WAS,W,100,94,34,81,.420,4,13,.308,28,34,.824,6,44,26,9,5,16,17,,39,95,.411,10,29,.345,6,7,.857,10,44,25,8,6,19,27
5,5,2012-11-09,,PHI,L,100,106,37,76,.487,4,10,.400,22,31,.710,7,31,31,7,3,14,19,,40,82,.488,7,13,.538,19,23,.826,8,38,27,12,7,16,22
6,6,2012-11-10,@,MIL,W,96,92,32,72,.444,5,15,.333,27,34,.794,7,40,20,4,4,14,22,,35,88,.398,3,19,.158,19,26,.731,16,44,20,7,3,11,25
7,7,2012-11-12,@,CHI,W,101,95,41,81,.506,3,16,.188,16,16,1.000,6,34,28,9,5,8,24,,34,74,.459,3,9,.333,24,31,.774,8,40,24,6,1,13,15
8,8,2012-11-14,,UTA,W,98,93,36,72,.500,4,10,.400,22,29,.759,4,33,24,8,4,9,17,,33,82,.402,7,15,.467,20,28,.714,18,48,18,3,6,12,19
9,9,2012-11-15,@,BRK,L,97,102,35,75,.467,7,13,.538,20,25,.800,12,44,17,8,3,13,24,,36,85,.424,8,22,.364,22,28,.786,18,47,19,7,7,11,18
10,10,2012-11-17,,TOR,W,107,89,43,76,.566,6,15,.400,15,19,.789,7,37,37,7,2,13,23,,30,70,.429,8,22,.364,21,31,.677,9,35,22,7,4,15,23
11,11,2012-11-18,@,DET,L,83,103,32,71,.451,4,17,.235,15,19,.789,7,30,12,7,0,17,21,,39,72,.542,4,11,.364,21,26,.808,7,39,23,8,1,16,22
12,12,2012-11-21,,SAS,L,100,112,41,77,.532,3,8,.375,15,17,.882,1,25,21,9,5,12,18,,45,77,.584,8,16,.500,14,19,.737,6,41,26,8,2,17,17
13,13,2012-11-23,,OKC,W,108,100,39,80,.488,9,17,.529,21,24,.875,8,36,28,10,1,15,23,,37,79,.468,6,24,.250,20,24,.833,8,40,22,6,7,16,23
14,14,2012-11-25,@,ORL,W,116,110,47,105,.448,7,18,.389,15,19,.789,17,51,26,9,2,15,22,,41,90,.456,11,26,.423,17,19,.895,10,42,20,9,8,18,19
15,15,2012-11-28,,BRK,L,83,95,32,75,.427,1,7,.143,18,24,.750,8,40,14,7,6,17,24,,33,82,.402,10,24,.417,19,29,.655,17,50,21,12,3,14,24
16,16,2012-11-30,,POR,W,96,78,36,73,.493,6,16,.375,18,20,.900,5,36,20,16,4,19,27,,24,69,.348,3,15,.200,27,37,.730,10,37,12,12,4,21,19
17,17,2012-12-01,@,MIL,L,88,91,34,82,.415,6,19,.316,14,17,.824,11,43,26,8,9,16,19,,36,79,.456,4,13,.308,15,20,.750,9,42,24,6,6,14,13
18,18,2012-12-05,,MIN,W,104,94,41,78,.526,4,17,.235,18,26,.692,6,45,24,6,6,16,24,,37,84,.440,6,19,.316,14,30,.467,13,41,19,11,3,13,19
19,19,2012-12-07,@,PHI,L,94,95,35,81,.432,6,22,.273,18,25,.720,7,53,24,6,7,18,23,,37,99,.374,2,11,.182,19,26,.731,17,54,19,12,4,9,26
20,20,2012-12-08,,PHI,W,92,79,40,75,.533,4,14,.286,8,12,.667,7,32,25,6,2,11,19,,31,79,.392,4,17,.235,13,16,.813,12,36,16,4,3,8,19
21,21,2012-12-12,,DAL,W,117,115,43,100,.430,6,22,.273,25,30,.833,9,42,24,16,5,13,22,,47,92,.511,8,23,.348,13,17,.765,7,50,27,8,7,27,27
22,22,2012-12-14,@,HOU,L,89,101,34,85,.400,8,20,.400,13,17,.765,9,41,22,15,5,12,16,,37,76,.487,10,27,.370,17,23,.739,7,45,23,7,8,17,16
23,23,2012-12-15,@,SAS,L,88,103,38,81,.469,6,16,.375,6,8,.750,11,38,22,6,3,17,20,,38,81,.469,12,25,.480,15,20,.750,11,38,28,9,4,12,12
24,24,2012-12-18,@,CHI,L,89,100,35,81,.432,5,10,.500,14,19,.737,11,35,18,7,2,9,18,,37,74,.500,5,9,.556,21,24,.875,12,43,28,4,10,12,15
25,25,2012-12-19,,CLE,W,103,91,37,62,.597,9,17,.529,20,27,.741,2,35,23,9,7,14,24,,36,88,.409,5,18,.278,14,21,.667,13,35,16,7,2,9,22
26,26,2012-12-21,,MIL,L,94,99,36,94,.383,5,24,.208,17,20,.850,12,44,23,16,5,14,22,,36,83,.434,5,16,.313,22,36,.611,15,57,22,8,3,21,15
27,27,2012-12-25,@,BRK,W,93,76,38,77,.494,6,10,.600,11,13,.846,9,41,25,10,4,11,25,,26,64,.406,7,20,.350,17,29,.586,11,36,14,6,5,20,22
28,28,2012-12-27,@,LAC,L,77,106,29,72,.403,6,16,.375,13,15,.867,7,40,20,5,3,18,23,,41,85,.482,12,30,.400,12,24,.500,10,44,31,12,7,8,18
29,29,2012-12-29,@,GSW,L,83,101,31,86,.360,5,22,.227,16,21,.762,13,38,18,10,3,13,15,,38,73,.521,12,19,.632,13,16,.813,5,46,21,8,10,18,22
30,30,2012-12-30,@,SAC,L,96,118,36,86,.419,7,22,.318,17,19,.895,10,35,25,7,3,12,23,,44,82,.537,10,20,.500,20,25,.800,10,45,28,8,8,13,21
31,31,2013-01-02,,MEM,L,83,93,32,71,.451,8,22,.364,11,16,.688,3,27,22,8,1,10,22,,34,71,.479,8,18,.444,17,22,.773,8,39,23,8,3,13,17
32,32,2013-01-04,,IND,W,94,75,40,89,.449,4,9,.444,10,18,.556,12,49,22,9,8,14,28,,27,85,.318,4,17,.235,17,28,.607,16,47,14,8,7,18,15
33,33,2013-01-05,@,ATL,W,89,81,39,85,.459,3,16,.188,8,12,.667,16,44,27,11,4,12,15,,28,68,.412,10,29,.345,15,19,.789,8,36,18,8,4,18,19
34,34,2013-01-07,@,NYK,W,102,96,39,74,.527,6,18,.333,18,20,.900,9,36,26,8,1,10,21,,31,76,.408,14,32,.438,20,26,.769,14,42,19,7,3,13,21
35,35,2013-01-09,,PHO,W,87,79,37,81,.457,3,14,.214,10,12,.833,12,42,23,12,5,13,15,,33,84,.393,2,12,.167,11,18,.611,19,47,21,5,5,16,18
36,36,2013-01-11,,HOU,W,103,91,41,79,.519,9,23,.391,12,16,.750,8,43,22,8,6,16,29,,35,80,.438,9,33,.273,12,29,.414,12,38,23,9,1,14,21
37,37,2013-01-14,,CHA,W,100,89,39,80,.488,8,21,.381,14,20,.700,14,42,27,6,8,14,21,,33,79,.418,6,15,.400,17,24,.708,10,34,15,8,4,13,20
38,38,2013-01-16,,NOH,L,78,90,34,74,.459,4,18,.222,6,16,.375,6,33,22,11,4,15,21,,31,71,.437,2,17,.118,26,31,.839,11,48,12,5,3,17,21
