Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2012-11-03,,TOR,W,107,100,37,81,.457,6,15,.400,27,37,.730,9,41,20,6,5,17,19,,37,82,.451,7,18,.389,19,25,.760,10,37,23,8,5,14,31
2,2,2012-11-05,,MIN,L,96,107,35,73,.479,13,23,.565,13,18,.722,8,29,24,7,4,13,17,,44,88,.500,7,20,.350,12,15,.800,16,45,30,9,7,11,18
3,3,2012-11-07,@,MIA,L,73,103,30,80,.375,3,21,.143,10,17,.588,13,40,12,7,1,19,15,,40,77,.519,10,24,.417,13,16,.813,8,40,25,8,5,12,18
4,4,2012-11-09,@,ORL,W,107,68,41,82,.500,9,23,.391,16,25,.640,15,48,21,9,6,11,13,,30,70,.429,4,11,.364,4,8,.500,7,35,19,3,6,18,22
5,5,2012-11-11,,ORL,W,82,74,29,78,.372,7,24,.292,17,25,.680,12,55,20,5,8,15,17,,30,84,.357,1,13,.077,13,18,.722,11,42,22,6,4,11,22
6,6,2012-11-13,,CLE,W,114,101,42,77,.545,5,22,.227,25,31,.806,12,39,27,5,10,13,23,,38,87,.437,3,14,.214,22,26,.846,16,35,16,10,0,12,26
7,7,2012-11-15,,BOS,W,102,97,36,85,.424,8,22,.364,22,28,.786,18,47,19,7,7,11,18,,35,75,.467,7,13,.538,20,25,.800,12,44,17,8,3,13,24
8,8,2012-11-18,@,SAC,W,99,90,36,75,.480,5,17,.294,22,25,.880,7,33,22,8,6,10,18,,37,80,.463,6,18,.333,10,19,.526,15,42,13,6,4,17,24
9,9,2012-11-20,@,LAL,L,90,95,34,82,.415,7,23,.304,15,21,.714,14,46,24,7,3,13,26,,35,73,.479,6,21,.286,19,37,.514,8,43,23,5,5,11,18
10,10,2012-11-21,@,GSW,L,93,102,38,83,.458,6,23,.261,11,15,.733,14,35,26,7,6,8,16,,40,75,.533,7,15,.467,15,19,.789,12,43,24,3,1,15,17
11,11,2012-11-23,,LAC,W,86,76,34,73,.466,5,13,.385,13,19,.684,11,35,19,6,3,15,22,,29,72,.403,4,17,.235,14,22,.636,17,45,15,8,7,18,22
12,12,2012-11-25,,POR,W,98,85,39,92,.424,5,17,.294,15,21,.714,17,48,26,10,9,12,11,,34,78,.436,7,17,.412,10,13,.769,9,34,22,8,6,16,19
13,13,2012-11-26,,NYK,W,96,89,37,91,.407,9,28,.321,13,19,.684,18,50,23,5,7,12,21,,33,85,.388,6,21,.286,17,24,.708,17,50,14,9,2,14,24
14,14,2012-11-28,@,BOS,W,95,83,33,82,.402,10,24,.417,19,29,.655,17,50,21,12,3,14,24,,32,75,.427,1,7,.143,18,24,.750,8,40,14,7,6,17,24
15,15,2012-11-30,@,ORL,W,98,86,38,83,.458,11,20,.550,11,13,.846,11,41,22,4,6,7,17,,35,78,.449,1,11,.091,15,19,.789,8,36,20,5,2,9,19
16,16,2012-12-01,@,MIA,L,89,102,33,75,.440,6,28,.214,17,27,.630,9,38,20,6,4,18,21,,40,78,.513,7,20,.350,15,19,.789,8,35,20,12,3,10,25
17,17,2012-12-04,,OKC,L,111,117,39,91,.429,14,34,.412,19,23,.826,16,40,22,7,1,12,25,,40,66,.606,7,14,.500,30,34,.882,2,33,22,5,7,12,19
18,18,2012-12-07,,GSW,L,102,109,37,87,.425,11,33,.333,17,23,.739,15,44,23,5,4,13,13,,46,90,.511,9,19,.474,8,10,.800,15,47,24,9,1,11,21
19,19,2012-12-09,,MIL,L,88,97,32,79,.405,7,25,.280,17,23,.739,12,44,22,9,5,20,20,,33,71,.465,7,16,.438,24,30,.800,6,33,21,14,7,18,19
20,20,2012-12-11,,NYK,L,97,100,36,68,.529,4,18,.222,21,28,.750,7,37,21,5,3,11,21,,36,78,.462,14,28,.500,14,18,.778,10,35,20,5,2,10,21
