Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2012-10-30,,WAS,W,94,84,36,79,.456,7,20,.350,15,22,.682,18,54,22,7,5,20,21,,32,90,.356,8,32,.250,12,20,.600,18,39,26,11,10,12,19
2,2,2012-11-02,,CHI,L,86,115,32,79,.405,8,20,.400,14,27,.519,11,33,23,7,1,17,25,,44,69,.638,4,10,.400,23,30,.767,5,41,34,7,4,17,21
3,3,2012-11-03,@,MIL,L,102,105,39,83,.470,6,16,.375,18,29,.621,9,42,19,9,0,15,21,,41,79,.519,9,24,.375,14,21,.667,3,37,32,8,9,15,18
4,4,2012-11-05,@,LAC,W,108,101,40,92,.435,14,29,.483,14,22,.636,18,43,24,12,2,17,18,,39,74,.527,9,25,.360,14,16,.875,9,38,23,7,13,25,24
5,5,2012-11-07,@,GSW,L,96,106,36,86,.419,11,32,.344,13,21,.619,11,39,20,7,1,16,26,,42,78,.538,5,18,.278,17,23,.739,7,44,28,11,4,16,22
6,6,2012-11-09,@,PHO,L,105,107,37,77,.481,9,21,.429,22,27,.815,9,39,19,11,4,20,25,,38,81,.469,6,17,.353,25,33,.758,12,42,21,12,6,17,19
7,7,2012-11-11,@,OKC,L,91,106,34,83,.410,7,23,.304,16,23,.696,10,36,19,11,0,12,19,,40,73,.548,7,15,.467,19,22,.864,4,41,20,7,10,21,22
8,8,2012-11-13,@,BRK,L,101,114,38,87,.437,3,14,.214,22,26,.846,16,35,16,10,0,12,26,,42,77,.545,5,22,.227,25,31,.806,12,39,27,5,10,13,23
9,9,2012-11-17,,DAL,L,95,103,36,96,.375,8,25,.320,15,20,.750,13,38,21,12,4,11,15,,38,74,.514,10,23,.435,17,20,.850,8,42,26,6,14,20,19
10,10,2012-11-18,@,PHI,L,79,86,30,84,.357,5,20,.250,14,15,.933,18,48,14,6,4,15,16,,34,80,.425,9,20,.450,9,12,.750,9,41,27,8,9,11,15
11,11,2012-11-21,,PHI,W,92,83,35,86,.407,13,23,.565,9,14,.643,15,55,17,3,6,16,14,,31,86,.360,4,17,.235,17,22,.773,11,39,18,12,11,7,16
12,12,2012-11-23,@,ORL,L,104,108,37,87,.425,8,26,.308,22,30,.733,17,38,19,8,1,13,24,,40,80,.500,11,21,.524,17,20,.850,12,36,21,5,3,18,30
13,13,2012-11-24,@,MIA,L,108,110,35,79,.443,14,31,.452,24,33,.727,10,32,21,9,0,10,29,,36,69,.522,9,19,.474,29,37,.784,9,39,21,5,5,18,25
14,14,2012-11-26,@,MEM,L,78,84,31,76,.408,4,16,.250,12,15,.800,14,41,12,10,5,16,23,,33,71,.465,4,11,.364,14,18,.778,10,33,16,8,5,14,15
15,15,2012-11-27,,PHO,L,78,91,30,84,.357,2,15,.133,16,22,.727,14,45,21,9,4,18,21,,37,79,.468,6,17,.353,11,18,.611,7,39,22,10,8,15,19
16,16,2012-11-30,@,ATL,W,113,111,41,85,.482,10,23,.435,21,22,.955,18,49,21,8,3,18,25,,38,78,.487,12,20,.600,23,32,.719,10,28,25,12,5,12,18
17,17,2012-12-01,,POR,L,117,118,43,99,.434,13,35,.371,18,22,.818,15,48,32,6,4,16,21,,46,94,.489,9,25,.360,17,21,.810,12,41,25,7,9,14,21
18,18,2012-12-03,@,DET,L,79,89,32,95,.337,3,20,.150,12,17,.706,20,53,19,7,5,11,20,,36,84,.429,4,18,.222,13,19,.684,15,49,21,6,13,11,16
19,19,2012-12-05,,CHI,L,85,95,31,85,.365,5,16,.313,18,25,.720,14,41,15,8,2,10,18,,34,72,.472,4,15,.267,23,27,.852,10,45,22,5,6,15,24
20,20,2012-12-07,@,MIN,L,73,91,30,87,.345,7,24,.292,6,9,.667,11,41,15,15,2,18,24,,30,70,.429,4,19,.211,27,35,.771,13,53,18,13,8,21,17
