Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2012-10-31,,HOU,L,96,105,35,79,.443,6,16,.375,20,26,.769,10,36,21,12,4,16,15,,39,79,.494,10,27,.370,17,23,.739,12,45,28,12,3,20,24
2,2,2012-11-02,@,PHO,L,89,92,37,90,.411,4,13,.308,11,19,.579,10,39,20,2,5,9,19,,40,92,.435,2,11,.182,10,14,.714,15,52,15,6,5,12,20
3,3,2012-11-04,@,LAL,L,79,108,28,79,.354,4,13,.308,19,23,.826,13,33,19,5,5,16,20,,40,77,.519,10,22,.455,18,26,.692,16,46,27,11,8,15,20
4,4,2012-11-06,@,DEN,L,97,109,35,78,.449,6,12,.500,21,25,.840,8,35,26,6,9,13,19,,41,92,.446,10,30,.333,17,22,.773,21,52,23,9,11,15,21
5,5,2012-11-07,@,SAC,L,103,105,36,73,.493,8,22,.364,23,31,.742,10,33,23,4,6,17,20,,40,82,.488,7,16,.438,18,24,.750,14,42,15,8,3,13,21
6,6,2012-11-09,@,OKC,L,94,105,36,87,.414,6,19,.316,16,22,.727,16,41,24,8,4,15,19,,38,71,.535,8,20,.400,21,26,.808,8,38,21,8,4,16,25
7,7,2012-11-10,@,HOU,L,82,96,32,80,.400,7,20,.350,11,16,.688,11,45,17,8,9,16,16,,33,82,.402,9,26,.346,21,26,.808,8,42,23,10,3,14,17
8,8,2012-11-12,,OKC,L,90,92,33,83,.398,6,17,.353,18,27,.667,13,39,22,8,7,11,28,,27,73,.370,1,10,.100,37,42,.881,9,44,10,7,12,14,20
9,9,2012-11-14,@,PHI,W,94,76,35,73,.479,3,7,.429,21,31,.677,12,57,27,3,7,17,25,,25,84,.298,5,16,.313,21,32,.656,11,38,15,10,4,4,21
10,10,2012-11-16,,ORL,L,106,110,44,82,.537,2,8,.250,16,20,.800,6,30,21,8,4,14,18,,44,89,.494,7,17,.412,15,17,.882,14,44,27,7,3,14,17
11,11,2012-11-18,,BOS,W,103,83,39,72,.542,4,11,.364,21,26,.808,7,39,23,8,1,16,22,,32,71,.451,4,17,.235,15,19,.789,7,30,12,7,0,17,21
12,12,2012-11-21,@,ORL,L,74,90,28,85,.329,3,17,.176,15,22,.682,13,48,15,5,2,14,16,,36,83,.434,5,20,.250,13,18,.722,9,53,24,3,5,14,23
13,13,2012-11-23,,TOR,W,91,90,36,78,.462,4,13,.308,15,26,.577,15,46,17,4,2,14,22,,32,78,.410,6,18,.333,20,25,.800,9,37,20,6,6,11,23
14,14,2012-11-25,@,NYK,L,100,121,37,78,.474,9,20,.450,17,22,.773,10,38,20,6,4,19,22,,38,79,.481,17,33,.515,28,31,.903,10,37,24,13,4,11,19
15,15,2012-11-26,,POR,W,108,101,42,80,.525,9,15,.600,15,22,.682,12,47,26,6,5,16,25,,36,85,.424,6,19,.316,23,31,.742,17,42,23,10,9,11,24
16,16,2012-11-28,,PHO,W,117,77,40,76,.526,12,16,.750,25,35,.714,8,43,28,9,5,12,19,,28,82,.341,6,21,.286,15,20,.750,13,39,11,7,5,19,23
17,17,2012-11-30,@,MEM,L,78,90,29,72,.403,4,16,.250,16,20,.800,11,46,15,7,5,22,20,,34,85,.400,4,12,.333,18,21,.857,11,39,20,11,5,12,22
18,18,2012-12-01,@,DAL,L,77,92,29,85,.341,5,21,.238,14,18,.778,15,52,16,7,7,15,15,,38,93,.409,11,25,.440,5,8,.625,13,49,28,8,9,13,18
19,19,2012-12-03,,CLE,W,89,79,36,84,.429,4,18,.222,13,19,.684,15,49,21,6,13,11,16,,32,95,.337,3,20,.150,12,17,.706,20,53,19,7,5,11,20
20,20,2012-12-05,,GSW,L,97,104,35,79,.443,6,21,.286,21,31,.677,15,44,22,4,5,17,26,,34,75,.453,9,24,.375,27,34,.794,9,35,24,9,7,10,22
21,21,2012-12-07,,CHI,L,104,108,36,70,.514,8,14,.571,24,31,.774,5,28,14,6,1,8,19,,43,82,.524,5,14,.357,17,21,.810,13,41,23,6,4,8,20
22,22,2012-12-08,@,CLE,W,104,97,35,75,.467,9,15,.600,25,33,.758,10,35,17,5,5,9,22,,39,91,.429,6,27,.222,13,17,.765,20,46,19,3,8,14,27
23,23,2012-12-10,@,PHI,L,97,104,32,81,.395,5,18,.278,28,33,.848,14,40,18,7,5,13,20,,44,82,.537,4,11,.364,12,23,.522,13,45,23,8,7,11,25
24,24,2012-12-11,,DEN,L,94,101,34,81,.420,5,13,.385,21,31,.677,14,51,18,8,10,16,28,,37,80,.463,6,17,.353,21,34,.618,7,37,22,10,12,9,19
25,25,2012-12-14,@,BRK,L,105,107,40,99,.404,5,16,.313,20,26,.769,18,54,21,5,4,11,21,,42,93,.452,10,26,.385,13,16,.813,10,43,20,8,8,11,24
26,26,2012-12-15,,IND,L,77,88,32,83,.386,3,13,.231,10,15,.667,11,41,18,5,4,10,16,,35,72,.486,7,24,.292,11,16,.688,5,42,25,8,9,13,21
27,27,2012-12-17,,LAC,L,76,88,29,71,.408,7,20,.350,11,19,.579,8,34,15,4,7,15,17,,35,78,.449,5,22,.227,13,17,.765,12,42,19,9,5,11,15
28,28,2012-12-19,@,TOR,L,91,97,35,84,.417,3,12,.250,18,30,.600,22,44,15,4,2,10,19,,35,72,.486,10,29,.345,17,22,.773,9,33,26,5,6,6,24
29,29,2012-12-21,,WAS,W,100,68,38,90,.422,10,24,.417,14,21,.667,16,58,24,4,13,12,18,,28,85,.329,2,12,.167,10,13,.769,12,46,15,4,4,12,20
30,30,2012-12-22,@,WAS,W,96,87,36,88,.409,8,19,.421,16,20,.800,19,58,22,7,3,17,25,,29,77,.377,4,21,.190,25,32,.781,10,43,20,7,3,11,18
31,31,2012-12-26,@,ATL,L,119,126,48,109,.440,14,27,.519,9,15,.600,21,62,21,5,5,17,23,,46,98,.469,11,33,.333,23,31,.742,8,47,35,11,6,10,18
32,32,2012-12-28,,MIA,W,109,99,43,74,.581,12,19,.632,11,17,.647,7,38,24,6,2,14,20,,39,77,.506,9,29,.310,12,16,.750,10,35,18,6,5,14,16
33,33,2012-12-30,,MIL,W,96,94,39,82,.476,6,18,.333,12,15,.800,16,47,16,5,5,16,13,,36,77,.468,10,23,.435,12,17,.706,10,33,19,7,5,12,18
34,34,2013-01-01,,SAC,W,103,97,39,75,.520,8,20,.400,17,22,.773,13,44,19,7,8,17,15,,36,86,.419,9,26,.346,16,21,.762,16,37,19,10,3,13,20
35,35,2013-01-04,,ATL,W,85,84,35,85,.412,3,15,.200,12,21,.571,17,56,18,8,9,13,17,,31,75,.413,10,29,.345,12,20,.600,6,38,26,7,4,17,20
36,36,2013-01-06,,CHA,L,101,108,40,80,.500,8,26,.308,13,19,.684,14,44,22,5,11,22,27,,40,92,.435,3,13,.231,25,29,.862,19,45,14,13,5,11,20
37,37,2013-01-11,@,MIL,W,103,87,39,90,.433,8,22,.364,17,25,.680,14,51,24,8,8,12,13,,36,91,.396,1,16,.063,14,19,.737,13,48,16,6,12,12,19
38,38,2013-01-12,,UTA,L,87,90,34,65,.523,6,16,.375,13,21,.619,7,32,21,9,6,17,22,,36,71,.507,5,10,.500,13,18,.722,9,32,21,12,3,16,22
39,39,2013-01-17,,NYK,L,87,102,35,79,.443,6,17,.353,11,22,.500,11,36,22,7,4,15,21,,33,72,.458,11,31,.355,25,31,.806,10,44,17,9,5,16,22
40,40,2013-01-20,,BOS,W,103,88,36,78,.462,9,19,.474,22,31,.710,12,50,24,9,7,20,23,,33,83,.398,4,15,.267,18,25,.720,11,42,22,13,4,18,33
41,41,2013-01-22,,ORL,W,105,90,42,91,.462,7,23,.304,14,21,.667,16,54,23,8,5,8,13,,38,84,.452,8,20,.400,6,8,.750,6,41,27,4,2,13,20
42,42,2013-01-23,@,CHI,L,82,85,34,82,.415,4,13,.308,10,14,.714,13,37,20,6,4,12,22,,31,71,.437,3,14,.214,20,26,.769,14,43,21,5,5,14,18
43,43,2013-01-25,@,MIA,L,88,110,34,72,.472,4,12,.333,16,23,.696,12,35,11,9,2,18,18,,43,77,.558,5,17,.294,19,23,.826,9,36,24,12,4,12,17
44,44,2013-01-27,@,ORL,W,104,102,40,79,.506,11,23,.478,13,18,.722,7,37,25,8,7,12,14,,40,90,.444,10,23,.435,12,16,.750,18,51,26,9,2,15,21
45,45,2013-01-29,,MIL,L,90,117,34,84,.405,2,11,.182,20,28,.714,21,51,18,7,4,20,20,,46,98,.469,11,23,.478,14,22,.636,21,48,28,13,8,10,21
46,46,2013-01-30,@,IND,L,79,98,32,88,.364,3,18,.167,12,27,.444,16,44,11,8,10,13,17,,36,81,.444,7,14,.500,19,21,.905,15,56,23,8,4,17,18
47,47,2013-02-01,,CLE,W,117,99,45,83,.542,4,14,.286,23,43,.535,13,49,27,8,11,11,21,,35,88,.398,6,20,.300,23,26,.885,13,42,19,5,6,15,33
48,48,2013-02-03,,LAL,L,97,98,41,92,.446,5,14,.357,10,15,.667,10,47,26,10,8,14,18,,39,83,.470,6,20,.300,14,22,.636,7,41,24,9,3,14,15
49,49,2013-02-04,@,NYK,L,85,99,38,90,.422,3,13,.231,6,12,.500,17,43,15,10,5,12,13,,36,79,.456,14,34,.412,13,16,.813,14,46,22,6,2,15,16
50,50,2013-02-06,,BRK,L,90,93,36,83,.434,3,17,.176,15,21,.714,14,41,28,7,7,14,29,,34,82,.415,6,16,.375,19,25,.760,15,46,22,6,5,13,19
51,51,2013-02-08,,SAS,W,119,109,46,89,.517,10,22,.455,17,20,.850,15,49,26,5,4,12,20,,37,81,.457,10,24,.417,25,30,.833,9,33,20,8,9,7,16
52,52,2013-02-09,@,MIL,W,105,100,41,83,.494,8,17,.471,15,19,.789,11,46,25,11,2,20,20,,34,86,.395,7,17,.412,25,28,.893,12,42,19,12,7,13,14
53,53,2013-02-11,,NOH,L,86,105,29,81,.358,5,19,.263,23,33,.697,14,41,21,13,3,13,16,,41,83,.494,10,21,.476,13,14,.929,10,49,26,7,10,14,25
54,54,2013-02-13,,WAS,W,96,85,35,79,.443,9,18,.500,17,25,.680,14,48,19,10,4,17,20,,34,70,.486,3,11,.273,14,22,.636,5,32,22,7,3,17,18
55,55,2013-02-19,,MEM,L,91,105,38,82,.463,9,20,.450,6,10,.600,6,29,28,7,4,16,18,,45,80,.563,3,9,.333,12,20,.600,12,44,29,14,7,16,20
56,56,2013-02-20,@,CHA,W,105,99,40,81,.494,8,17,.471,17,23,.739,8,42,26,4,8,9,23,,36,89,.404,11,25,.440,16,21,.762,16,46,25,3,9,8,18
57,57,2013-02-22,@,IND,L,82,114,29,82,.354,3,19,.158,21,37,.568,15,41,15,8,5,16,26,,41,73,.562,10,14,.714,22,33,.667,4,47,29,10,6,14,25
58,58,2013-02-23,,IND,L,72,90,26,77,.338,2,14,.143,18,24,.750,10,39,14,9,2,14,22,,34,75,.453,8,22,.364,14,19,.737,10,48,21,8,6,20,25
59,59,2013-02-25,,ATL,L,103,114,41,84,.488,3,14,.214,18,22,.818,10,41,25,8,1,17,18,,40,79,.506,14,33,.424,20,24,.833,8,37,31,10,4,13,16
60,60,2013-02-27,@,WAS,W,96,95,39,72,.542,9,15,.600,9,16,.563,5,36,35,10,4,16,15,,40,84,.476,8,19,.421,7,10,.700,9,39,27,8,4,15,15
61,61,2013-03-01,@,NOH,L,95,100,39,78,.500,7,19,.368,10,16,.625,11,40,26,6,3,14,21,,35,81,.432,7,20,.350,23,31,.742,18,47,17,5,7,11,16
62,62,2013-03-03,@,SAS,L,75,114,28,86,.326,6,19,.316,13,18,.722,13,46,17,4,1,19,23,,45,89,.506,9,20,.450,15,20,.750,8,49,35,12,9,11,18
63,63,2013-03-06,,NYK,L,77,87,32,74,.432,7,20,.350,6,10,.600,8,36,23,8,6,20,14,,31,75,.413,13,35,.371,12,15,.800,14,48,23,11,5,20,15
64,64,2013-03-08,,DAL,L,99,102,39,96,.406,9,30,.300,12,19,.632,18,52,19,7,3,10,20,,41,78,.526,11,22,.500,9,15,.600,4,41,29,6,5,12,15
65,65,2013-03-10,@,LAC,L,97,129,30,64,.469,11,23,.478,26,42,.619,9,28,25,5,4,14,21,,50,80,.625,14,28,.500,15,25,.600,6,35,37,13,4,9,28
66,66,2013-03-11,@,UTA,L,90,103,34,80,.425,7,20,.350,15,18,.833,6,30,14,5,5,7,15,,42,81,.519,6,16,.375,13,15,.867,11,47,26,5,9,11,14
67,67,2013-03-13,@,GSW,L,97,105,40,89,.449,5,17,.294,12,14,.857,14,38,26,6,0,9,22,,41,72,.569,8,18,.444,15,25,.600,11,42,27,5,9,13,15
68,68,2013-03-16,@,POR,L,101,112,40,76,.526,5,17,.294,16,24,.667,7,33,19,7,3,13,22,,41,86,.477,7,19,.368,23,24,.958,12,45,25,6,4,9,20
69,69,2013-03-18,,BRK,L,82,119,34,78,.436,1,18,.056,13,15,.867,10,33,20,6,4,15,21,,45,83,.542,9,21,.429,20,23,.870,13,41,21,9,8,9,17
70,70,2013-03-22,@,MIA,L,89,103,34,83,.410,7,22,.318,14,18,.778,18,47,21,9,5,22,24,,38,68,.559,8,15,.533,19,26,.731,4,33,21,15,6,18,14
71,71,2013-03-23,@,CHA,W,92,91,36,79,.456,10,26,.385,10,14,.714,8,40,31,8,3,15,18,,32,75,.427,4,17,.235,23,25,.920,7,41,14,10,9,14,13
72,72,2013-03-26,,MIN,L,82,105,32,79,.405,7,20,.350,11,13,.846,11,37,18,8,4,15,12,,42,79,.532,14,26,.538,7,8,.875,8,41,26,10,3,13,14
73,73,2013-03-29,,TOR,L,82,99,31,76,.408,5,18,.278,15,23,.652,11,34,25,4,4,13,13,,44,82,.537,4,13,.308,7,9,.778,10,42,25,7,6,10,16
74,74,2013-03-31,@,CHI,L,94,95,36,72,.500,7,16,.438,15,22,.682,8,45,22,5,5,16,23,,30,76,.395,8,23,.348,27,40,.675,10,37,19,10,4,9,18
75,75,2013-04-01,@,TOR,W,108,98,43,77,.558,7,15,.467,15,21,.714,7,29,24,4,1,8,17,,41,81,.506,8,21,.381,8,10,.800,6,29,24,6,8,10,17
76,76,2013-04-03,@,BOS,L,93,98,34,93,.366,4,24,.167,21,30,.700,25,52,20,10,1,15,20,,36,71,.507,7,20,.350,19,22,.864,4,34,20,7,9,15,26
77,77,2013-04-06,@,MIN,L,101,107,40,75,.533,6,15,.400,15,21,.714,11,41,22,10,6,24,25,,36,83,.434,6,14,.429,29,38,.763,15,38,23,16,6,14,20
78,78,2013-04-07,,CHI,W,99,85,39,73,.534,9,18,.500,12,17,.706,8,40,25,6,2,13,23,,33,73,.452,3,15,.200,16,25,.640,8,33,20,7,5,11,18
79,79,2013-04-10,@,CLE,W,111,104,40,80,.500,4,16,.250,27,42,.643,5,33,20,6,1,5,20,,40,82,.488,3,15,.200,21,26,.808,13,49,21,3,8,12,28
80,80,2013-04-12,,CHA,W,113,93,43,83,.518,12,18,.667,15,20,.750,15,45,31,10,3,22,20,,35,78,.449,9,24,.375,14,17,.824,9,33,18,10,5,22,17
81,81,2013-04-15,,PHI,W,109,101,41,83,.494,9,25,.360,18,22,.818,12,43,23,7,3,14,21,,39,87,.448,6,22,.273,17,21,.810,13,39,25,10,5,12,15
82,82,2013-04-17,@,BRK,L,99,103,37,78,.474,1,13,.077,24,32,.750,10,39,17,17,5,23,24,,39,81,.481,8,24,.333,17,23,.739,11,38,28,13,3,23,24
