Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2012-10-31,@,TOR,W,90,88,37,78,.474,5,11,.455,11,16,.688,9,46,22,3,10,18,16,,33,91,.363,6,17,.353,16,19,.842,15,42,18,12,8,10,18
2,2,2012-11-02,@,CHA,L,89,90,33,83,.398,7,26,.269,16,27,.593,14,52,19,5,5,17,16,,31,85,.365,7,19,.368,21,24,.875,10,41,18,10,9,10,22
3,3,2012-11-03,,SAC,W,106,98,39,99,.394,4,22,.182,24,27,.889,21,67,16,10,14,21,19,,37,102,.363,8,22,.364,16,20,.800,16,47,19,15,13,16,26
4,4,2012-11-05,@,SAS,L,79,101,27,79,.342,6,20,.300,19,22,.864,17,48,11,3,7,19,17,,41,87,.471,8,18,.444,11,13,.846,11,45,25,11,2,8,17
5,5,2012-11-07,@,ATL,L,86,89,35,85,.412,8,26,.308,8,9,.889,11,41,18,10,7,15,14,,38,87,.437,7,22,.318,6,12,.500,17,51,24,8,3,17,15
6,6,2012-11-09,@,MIN,L,94,96,37,84,.440,5,18,.278,15,17,.882,11,37,18,7,4,13,21,,35,70,.500,2,9,.222,24,28,.857,5,34,23,7,5,12,16
7,7,2012-11-10,,WAS,W,89,85,34,80,.425,7,16,.438,14,24,.583,14,48,16,4,4,12,12,,35,79,.443,10,24,.417,5,7,.714,5,40,26,5,5,12,21
8,8,2012-11-13,,TOR,L,72,74,24,75,.320,5,15,.333,19,25,.760,14,49,14,8,7,12,16,,26,72,.361,6,12,.500,16,19,.842,8,45,13,4,1,12,23
9,9,2012-11-14,@,MIL,L,85,99,30,80,.375,5,20,.250,20,31,.645,16,53,19,3,4,19,18,,38,91,.418,3,16,.188,20,25,.800,14,46,24,11,8,6,22
10,10,2012-11-16,,DAL,W,103,83,39,83,.470,6,16,.375,19,31,.613,10,46,23,11,5,8,15,,30,81,.370,2,13,.154,21,25,.840,8,44,16,3,5,11,23
11,11,2012-11-18,@,NYK,L,76,88,28,71,.394,8,20,.400,12,18,.667,9,47,21,4,7,19,18,,33,90,.367,7,25,.280,15,19,.789,15,48,19,9,4,8,15
12,12,2012-11-19,@,WAS,W,96,89,34,70,.486,3,19,.158,25,29,.862,8,46,20,5,10,20,27,,31,87,.356,4,17,.235,23,31,.742,14,36,13,10,2,10,27
13,13,2012-11-21,,NOH,W,115,107,40,92,.435,15,27,.556,20,28,.714,17,49,26,6,16,8,24,,39,92,.424,6,10,.600,23,27,.852,16,48,17,3,7,9,26
14,14,2012-11-23,,SAS,L,97,104,38,92,.413,7,16,.438,14,21,.667,19,49,27,1,5,13,23,,41,83,.494,2,17,.118,20,22,.909,6,37,19,8,2,10,21
15,15,2012-11-27,@,LAL,W,79,77,29,79,.367,4,19,.211,17,27,.630,10,50,17,9,6,17,32,,24,76,.316,6,28,.214,23,43,.535,15,56,13,10,5,19,25
16,16,2012-11-30,@,SAC,W,97,92,37,85,.435,9,26,.346,14,19,.737,10,41,27,7,6,9,19,,32,75,.427,6,17,.353,22,25,.880,8,42,15,6,4,12,19
17,17,2012-12-01,@,GSW,L,92,103,34,74,.459,8,22,.364,16,20,.800,8,36,20,6,7,16,19,,38,80,.475,9,20,.450,18,19,.947,11,41,22,5,3,17,22
18,18,2012-12-04,@,CHI,W,80,76,29,80,.363,2,10,.200,20,27,.741,16,46,17,10,4,12,21,,28,73,.384,4,12,.333,16,20,.800,13,46,18,3,7,19,21
19,19,2012-12-05,,POR,W,99,92,36,80,.450,9,26,.346,18,19,.947,13,46,20,6,7,13,12,,34,79,.430,6,22,.273,18,22,.818,9,37,18,5,3,10,15
20,20,2012-12-07,,DEN,L,89,92,34,76,.447,10,23,.435,11,18,.611,9,42,27,5,9,18,22,,38,86,.442,3,17,.176,13,20,.650,10,37,24,10,4,8,17
21,21,2012-12-09,@,OKC,L,93,104,38,82,.463,6,17,.353,11,13,.846,9,34,13,4,4,7,20,,37,76,.487,5,19,.263,25,30,.833,9,40,16,4,5,9,16
22,22,2012-12-12,,CLE,W,96,81,34,83,.410,5,18,.278,23,28,.821,13,48,23,7,8,13,21,,27,81,.333,9,22,.409,18,25,.720,13,40,19,7,6,12,28
23,23,2012-12-14,,PHI,W,95,85,35,77,.455,8,14,.571,17,27,.630,14,48,19,4,10,16,21,,35,81,.432,3,12,.250,12,16,.750,9,36,20,5,4,12,20
24,24,2012-12-15,@,DET,W,88,77,35,72,.486,7,24,.292,11,16,.688,5,42,25,8,9,13,21,,32,83,.386,3,13,.231,10,15,.667,11,41,18,5,4,10,16
25,25,2012-12-18,@,MIL,L,93,98,32,80,.400,2,8,.250,27,34,.794,18,51,15,7,3,20,22,,37,86,.430,6,14,.429,18,26,.692,12,37,18,10,12,15,29
26,26,2012-12-19,,UTA,W,104,84,41,80,.513,9,16,.563,13,18,.722,6,37,21,7,8,15,26,,32,86,.372,2,15,.133,18,25,.720,16,48,19,4,6,15,23
27,27,2012-12-21,@,CLE,W,99,89,39,80,.488,5,16,.313,16,25,.640,11,44,24,9,5,17,21,,32,80,.400,5,16,.313,20,26,.769,6,36,19,4,6,16,22
28,28,2012-12-22,@,NOH,W,81,75,33,77,.429,4,17,.235,11,18,.611,13,44,20,5,10,14,21,,33,82,.402,4,11,.364,5,7,.714,15,42,18,10,10,12,24
29,29,2012-12-28,,PHO,W,97,91,34,77,.442,8,16,.500,21,29,.724,16,48,19,6,2,15,22,,38,82,.463,2,14,.143,13,16,.813,10,37,20,5,2,11,26
30,30,2012-12-29,@,ATL,L,100,109,38,80,.475,5,15,.333,19,22,.864,11,36,20,6,6,10,15,,44,80,.550,10,20,.500,11,14,.786,10,36,26,8,2,16,23
31,31,2012-12-31,,MEM,W,88,83,28,70,.400,12,25,.480,20,24,.833,11,38,21,9,9,18,19,,31,82,.378,3,11,.273,18,24,.750,18,44,17,10,5,16,22
32,32,2013-01-02,,WAS,W,89,81,29,77,.377,5,16,.313,26,31,.839,11,48,17,9,3,16,14,,35,83,.422,3,13,.231,8,10,.800,8,41,24,9,6,19,25
33,33,2013-01-04,@,BOS,L,75,94,27,85,.318,4,17,.235,17,28,.607,16,47,14,8,7,18,15,,40,89,.449,4,9,.444,10,18,.556,12,49,22,9,8,14,28
