Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2012-10-30,,DAL,L,91,99,38,77,.494,3,13,.231,12,31,.387,15,46,24,6,5,14,21,,40,85,.471,5,15,.333,14,18,.778,9,40,22,9,5,11,25
2,2,2012-10-31,@,POR,L,106,116,36,72,.500,8,18,.444,26,32,.813,15,45,21,6,2,24,29,,42,83,.506,9,20,.450,23,28,.821,10,30,19,10,5,12,20
3,3,2012-11-02,,LAC,L,95,105,34,68,.500,7,16,.438,20,28,.714,7,38,15,7,7,20,23,,38,84,.452,8,22,.364,21,27,.778,9,37,24,12,4,11,26
4,4,2012-11-04,,DET,W,108,79,40,77,.519,10,22,.455,18,26,.692,16,46,27,11,8,15,20,,28,79,.354,4,13,.308,19,23,.826,13,33,19,5,5,16,20
5,5,2012-11-07,@,UTA,L,86,95,25,74,.338,4,23,.174,32,46,.696,15,48,11,10,3,18,14,,37,83,.446,5,17,.294,16,18,.889,9,37,21,12,7,12,30
6,6,2012-11-09,,GSW,W,101,77,36,90,.400,8,28,.286,21,28,.750,16,58,22,9,6,16,14,,29,86,.337,7,25,.280,12,20,.600,13,47,12,5,3,18,25
7,7,2012-11-11,,SAC,W,103,90,36,81,.444,8,25,.320,23,30,.767,18,50,23,6,7,17,13,,36,90,.400,7,23,.304,11,14,.786,14,39,20,10,5,11,24
8,8,2012-11-13,,SAS,L,82,84,31,74,.419,6,20,.300,14,22,.636,13,48,18,5,9,17,14,,35,90,.389,7,20,.350,7,11,.636,11,38,22,13,5,8,17
9,9,2012-11-16,,PHO,W,114,102,42,89,.472,8,21,.381,22,28,.786,17,48,25,7,9,11,15,,45,92,.489,5,14,.357,7,15,.467,12,38,27,8,8,15,25
10,10,2012-11-18,,HOU,W,119,108,46,85,.541,9,20,.450,18,28,.643,9,41,27,10,3,13,15,,44,90,.489,9,23,.391,11,18,.611,11,42,30,8,1,15,22
