Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2012-10-30,,BOS,W,120,107,43,79,.544,8,16,.500,26,32,.813,5,36,25,8,5,8,20,,39,75,.520,6,13,.462,23,28,.821,7,41,24,4,2,15,23
2,2,2012-11-02,@,NYK,L,84,104,33,71,.465,7,20,.350,11,13,.846,7,41,18,4,5,21,18,,36,84,.429,19,36,.528,13,15,.867,13,41,27,10,0,12,22
3,3,2012-11-03,,DEN,W,119,116,43,83,.518,10,25,.400,23,27,.852,7,32,26,9,8,8,16,,49,95,.516,5,21,.238,13,20,.650,18,47,13,5,3,13,21
4,4,2012-11-05,,PHO,W,124,99,47,86,.547,15,26,.577,15,19,.789,7,49,33,7,4,15,22,,35,88,.398,7,21,.333,22,29,.759,10,38,22,11,7,11,19
5,5,2012-11-07,,BRK,W,103,73,40,77,.519,10,24,.417,13,16,.813,8,40,25,8,5,12,18,,30,80,.375,3,21,.143,10,17,.588,13,40,12,7,1,19,15
6,6,2012-11-09,@,ATL,W,95,89,37,76,.487,7,22,.318,14,16,.875,8,36,22,8,2,14,22,,34,81,.420,9,25,.360,12,16,.750,7,36,20,4,5,13,16
7,7,2012-11-11,@,MEM,L,86,104,30,79,.380,4,15,.267,22,36,.611,15,43,18,8,6,13,16,,38,86,.442,14,24,.583,14,16,.875,11,43,26,8,4,14,22
8,8,2012-11-12,@,HOU,W,113,110,45,89,.506,10,21,.476,13,20,.650,13,44,26,4,4,11,24,,36,80,.450,12,34,.353,26,33,.788,11,40,25,5,6,11,20
9,9,2012-11-14,@,LAC,L,100,107,35,77,.455,9,21,.429,21,29,.724,11,36,22,11,6,19,25,,35,72,.486,10,21,.476,27,32,.844,9,38,22,11,8,18,25
10,10,2012-11-15,@,DEN,W,98,93,36,77,.468,13,27,.481,13,16,.813,5,29,24,5,9,11,14,,37,88,.420,6,20,.300,13,19,.684,21,48,19,6,7,13,20
11,11,2012-11-17,@,PHO,W,97,88,38,71,.535,8,19,.421,13,19,.684,4,36,20,10,3,19,21,,34,79,.430,5,18,.278,15,21,.714,9,38,16,13,3,16,18
12,12,2012-11-21,,MIL,W,113,106,41,86,.477,8,18,.444,23,33,.697,12,54,25,7,4,15,13,,46,109,.422,5,29,.172,9,12,.750,16,47,18,9,3,11,21
13,13,2012-11-24,,CLE,W,110,108,36,69,.522,9,19,.474,29,37,.784,9,39,21,5,5,18,25,,35,79,.443,14,31,.452,24,33,.727,10,32,21,9,0,10,29
14,14,2012-11-29,,SAS,W,105,100,42,86,.488,5,13,.385,16,19,.842,7,37,22,11,2,10,18,,36,80,.450,10,30,.333,18,24,.750,11,45,22,5,2,19,20
15,15,2012-12-01,,BRK,W,102,89,40,78,.513,7,20,.350,15,19,.789,8,35,20,12,3,10,25,,33,75,.440,6,28,.214,17,27,.630,9,38,20,6,4,18,21
16,16,2012-12-04,@,WAS,L,101,105,41,89,.461,8,28,.286,11,16,.688,12,43,27,6,2,12,20,,38,79,.481,7,19,.368,22,29,.759,8,44,31,7,3,10,14
17,17,2012-12-06,,NYK,L,92,112,32,76,.421,6,16,.375,22,28,.786,7,43,17,7,4,14,21,,41,91,.451,18,44,.409,12,19,.632,11,46,20,9,4,7,19
18,18,2012-12-08,,NOH,W,106,90,40,69,.580,7,11,.636,19,24,.792,2,33,23,12,7,16,18,,35,78,.449,8,18,.444,12,13,.923,9,34,16,5,3,17,23
19,19,2012-12-10,,ATL,W,101,92,39,67,.582,9,21,.429,14,22,.636,2,32,23,10,3,14,18,,32,75,.427,9,28,.321,19,20,.950,8,32,16,8,1,14,16
20,20,2012-12-12,,GSW,L,95,97,38,80,.475,7,22,.318,12,15,.800,6,38,18,6,3,17,13,,38,82,.463,9,24,.375,12,14,.857,8,41,20,9,2,13,14
21,21,2012-12-15,,WAS,W,102,72,40,79,.506,8,27,.296,14,21,.667,11,43,25,9,2,12,15,,27,72,.375,7,20,.350,11,15,.733,10,40,16,8,0,21,18
22,22,2012-12-18,,MIN,W,103,92,36,77,.468,13,25,.520,18,23,.783,6,24,25,12,14,8,18,,37,86,.430,4,17,.235,14,19,.737,18,53,18,5,1,19,21
23,23,2012-12-20,@,DAL,W,110,95,42,78,.538,10,28,.357,16,18,.889,8,47,25,8,4,18,14,,37,96,.385,3,22,.136,18,21,.857,13,36,23,10,6,9,17
24,24,2012-12-22,,UTA,W,105,89,38,73,.521,11,24,.458,18,22,.818,6,39,23,12,5,16,19,,30,73,.411,7,16,.438,22,26,.846,11,38,18,10,2,19,18
25,25,2012-12-25,,OKC,W,103,97,38,80,.475,8,28,.286,19,19,1.000,9,34,20,6,5,13,26,,30,71,.423,5,16,.313,32,38,.842,11,39,14,8,1,16,25
26,26,2012-12-26,@,CHA,W,105,92,37,81,.457,12,23,.522,19,25,.760,9,44,21,9,5,13,25,,34,78,.436,5,14,.357,19,28,.679,10,42,18,6,6,16,22
27,27,2012-12-28,@,DET,L,99,109,39,77,.506,9,29,.310,12,16,.750,10,35,18,6,5,14,16,,43,74,.581,12,19,.632,11,17,.647,7,38,24,6,2,14,20
28,28,2012-12-29,@,MIL,L,85,104,33,76,.434,4,13,.308,15,24,.625,13,51,18,3,5,20,17,,40,98,.408,8,21,.381,16,17,.941,14,45,29,17,8,5,19
29,29,2012-12-31,@,ORL,W,112,110,40,85,.471,6,21,.286,26,35,.743,9,33,24,9,3,7,17,,42,88,.477,8,23,.348,18,22,.818,18,50,24,5,4,16,24
30,30,2013-01-02,,DAL,W,119,109,42,89,.472,10,26,.385,25,31,.806,7,46,21,12,8,9,16,,41,94,.436,10,28,.357,17,20,.850,8,47,19,7,5,13,24
31,31,2013-01-04,,CHI,L,89,96,30,65,.462,5,20,.250,24,31,.774,4,28,17,8,2,12,22,,36,80,.450,5,14,.357,19,24,.792,19,48,22,7,2,15,20
32,32,2013-01-06,,WAS,W,99,71,38,82,.463,8,21,.381,15,16,.938,10,50,20,6,8,9,12,,29,81,.358,6,21,.286,7,14,.500,10,39,20,7,2,8,15
33,33,2013-01-08,@,IND,L,77,87,28,68,.412,8,19,.421,13,18,.722,7,36,13,5,10,14,21,,33,91,.363,9,22,.409,12,19,.632,22,55,20,9,2,9,21
34,34,2013-01-10,@,POR,L,90,92,35,77,.455,6,19,.316,14,20,.700,8,45,20,9,6,17,21,,30,80,.375,9,27,.333,23,30,.767,11,45,18,10,2,14,15
35,35,2013-01-12,@,SAC,W,128,99,45,80,.563,17,37,.459,21,24,.875,10,36,35,11,11,10,19,,38,87,.437,9,18,.500,14,19,.737,16,40,23,4,2,17,19
36,36,2013-01-14,@,UTA,L,97,104,39,72,.542,9,23,.391,10,16,.625,5,23,25,8,4,14,24,,36,76,.474,8,18,.444,24,28,.857,13,40,25,9,2,14,20
37,37,2013-01-16,@,GSW,W,92,75,36,90,.400,8,29,.276,12,18,.667,13,51,24,11,5,11,22,,29,80,.363,3,12,.250,14,18,.778,11,52,17,5,2,21,21
38,38,2013-01-17,@,LAL,W,99,90,40,83,.482,2,13,.154,17,23,.739,4,35,22,14,2,6,27,,31,72,.431,10,22,.455,18,28,.643,8,42,22,3,1,20,23
39,39,2013-01-23,,TOR,W,123,116,45,82,.549,9,22,.409,24,38,.632,16,53,26,5,3,13,21,,44,88,.500,14,31,.452,14,18,.778,7,28,26,8,1,8,30
40,40,2013-01-25,,DET,W,110,88,43,77,.558,5,17,.294,19,23,.826,9,36,24,12,4,12,17,,34,72,.472,4,12,.333,16,23,.696,12,35,11,9,2,18,18
41,41,2013-01-27,@,BOS,L,98,100,39,96,.406,5,23,.217,15,20,.750,17,53,19,6,6,20,27,,36,88,.409,5,20,.250,23,27,.852,8,46,24,11,8,14,20
42,42,2013-01-30,@,BRK,W,105,85,43,83,.518,11,19,.579,8,14,.571,13,38,21,10,3,13,20,,31,69,.449,5,17,.294,18,24,.750,10,34,20,7,6,19,13
43,43,2013-02-01,@,IND,L,89,102,33,70,.471,5,14,.357,18,24,.750,6,25,21,7,6,11,22,,39,70,.557,7,17,.412,17,24,.708,8,34,21,5,3,12,22
44,44,2013-02-03,@,TOR,W,100,85,40,75,.533,3,12,.250,17,23,.739,7,34,19,10,4,12,23,,28,75,.373,4,18,.222,25,32,.781,14,38,15,10,3,15,24
45,45,2013-02-04,,CHA,W,99,94,41,81,.506,1,12,.083,16,24,.667,12,39,23,6,5,11,18,,34,80,.425,8,25,.320,18,20,.900,12,40,13,8,5,13,24
46,46,2013-02-06,,HOU,W,114,108,40,82,.488,10,23,.435,24,28,.857,8,38,23,9,6,10,16,,39,80,.488,9,25,.360,21,25,.840,8,39,19,6,2,16,26
47,47,2013-02-08,,LAC,W,111,89,36,68,.529,15,27,.556,24,32,.750,8,36,22,11,4,13,21,,34,77,.442,7,16,.438,14,19,.737,11,35,23,9,5,18,24
48,48,2013-02-10,,LAL,W,107,97,44,80,.550,6,16,.375,13,14,.929,10,38,19,10,6,11,27,,35,70,.500,7,12,.583,20,26,.769,5,29,16,9,3,14,17
49,49,2013-02-12,,POR,W,117,104,43,74,.581,8,19,.421,23,27,.852,10,32,22,9,7,9,21,,39,73,.534,8,24,.333,18,20,.900,4,25,15,3,2,14,18
50,50,2013-02-14,@,OKC,W,110,100,41,88,.466,11,29,.379,17,22,.773,13,46,23,10,4,14,29,,32,73,.438,3,13,.231,33,34,.971,5,35,16,5,5,16,23
51,51,2013-02-20,@,ATL,W,103,90,37,78,.474,10,23,.435,19,25,.760,5,33,23,11,1,11,15,,36,72,.500,7,26,.269,11,16,.688,5,42,28,6,2,19,20
52,52,2013-02-21,@,CHI,W,86,67,37,73,.507,3,13,.231,9,14,.643,8,36,20,14,6,17,15,,28,75,.373,2,10,.200,9,11,.818,13,39,20,10,4,26,15
53,53,2013-02-23,@,PHI,W,114,90,45,77,.584,9,21,.429,15,18,.833,5,37,27,9,2,6,10,,35,78,.449,11,28,.393,9,10,.900,7,32,25,1,3,12,15
54,54,2013-02-24,,CLE,W,109,105,39,75,.520,12,19,.632,19,24,.792,6,34,23,8,9,11,17,,39,78,.500,8,20,.400,19,24,.792,9,35,18,7,4,11,19
55,55,2013-02-26,,SAC,W,141,129,56,101,.554,10,23,.435,19,24,.792,8,41,35,13,9,12,22,,48,93,.516,14,27,.519,19,26,.731,14,40,33,12,5,19,25
56,56,2013-03-01,,MEM,W,98,91,34,73,.466,10,19,.526,20,27,.741,5,35,26,7,3,7,19,,33,77,.429,4,13,.308,21,27,.778,10,38,23,4,3,12,24
57,57,2013-03-03,@,NYK,W,99,93,39,84,.464,8,20,.400,13,19,.684,10,41,20,10,4,14,20,,32,74,.432,8,29,.276,21,26,.808,9,40,18,9,4,17,19
58,58,2013-03-04,@,MIN,W,97,81,38,74,.514,5,21,.238,16,19,.842,9,48,22,11,5,23,15,,33,88,.375,5,20,.250,10,15,.667,15,39,23,14,3,18,18
59,59,2013-03-06,,ORL,W,97,96,32,74,.432,6,28,.214,27,31,.871,7,33,20,11,7,14,17,,40,89,.449,6,28,.214,10,12,.833,15,45,26,10,3,17,30
60,60,2013-03-08,,PHI,W,102,93,42,79,.532,8,21,.381,10,13,.769,10,39,23,10,7,15,9,,37,77,.481,10,21,.476,9,11,.818,6,33,22,10,3,15,20
61,61,2013-03-10,,IND,W,105,91,38,68,.559,7,14,.500,22,31,.710,4,28,20,10,5,12,29,,26,63,.413,10,27,.370,29,34,.853,6,33,14,8,1,16,23
62,62,2013-03-12,,ATL,W,98,81,35,82,.427,6,20,.300,22,30,.733,14,45,27,14,4,14,14,,33,78,.423,5,22,.227,10,14,.714,10,43,19,11,1,22,25
63,63,2013-03-13,@,PHI,W,98,94,35,75,.467,5,20,.250,23,27,.852,10,39,25,7,6,13,10,,40,85,.471,7,18,.389,7,12,.583,13,40,29,10,3,12,22
64,64,2013-03-15,@,MIL,W,107,94,41,79,.519,7,15,.467,18,22,.818,8,41,24,7,5,11,13,,33,89,.371,9,25,.360,19,21,.905,19,48,18,6,4,10,16
65,65,2013-03-17,@,TOR,W,108,91,39,67,.582,10,22,.455,20,29,.690,2,26,31,8,2,12,14,,39,94,.415,2,20,.100,11,12,.917,24,51,15,5,2,16,21
66,66,2013-03-18,@,BOS,W,105,103,42,85,.494,7,20,.350,14,21,.667,10,39,25,11,7,14,18,,39,72,.542,10,21,.476,15,24,.625,4,33,24,9,7,20,26
67,67,2013-03-20,@,CLE,W,98,95,32,72,.444,12,29,.414,22,30,.733,11,34,21,9,6,13,20,,37,81,.457,7,21,.333,14,17,.824,15,42,20,8,2,16,25
68,68,2013-03-22,,DET,W,103,89,38,68,.559,8,15,.533,19,26,.731,4,33,21,15,6,18,14,,34,83,.410,7,22,.318,14,18,.778,18,47,21,9,5,22,24
69,69,2013-03-24,,CHA,W,109,77,38,76,.500,13,30,.433,20,23,.870,4,48,28,9,10,10,16,,30,89,.337,5,25,.200,12,18,.667,14,45,9,8,2,13,20
70,70,2013-03-25,@,ORL,W,108,94,37,78,.474,15,28,.536,19,29,.655,11,44,31,7,6,12,14,,37,86,.430,9,24,.375,11,18,.611,10,43,25,9,6,12,18
