Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2012-11-02,,DEN,W,102,89,42,86,.488,5,15,.333,13,18,.722,11,46,24,8,8,11,24,,32,84,.381,7,26,.269,18,27,.667,15,45,22,5,5,14,17
2,2,2012-11-04,,PHO,W,115,94,45,92,.489,9,11,.818,16,19,.842,13,46,26,7,1,10,17,,39,91,.429,5,19,.263,11,18,.611,17,45,19,3,10,16,17
3,3,2012-11-06,@,CHI,L,93,99,36,86,.419,8,19,.421,13,17,.765,11,43,23,4,5,11,22,,40,84,.476,2,6,.333,17,24,.708,9,43,27,7,7,9,12
4,4,2012-11-07,@,MIN,L,75,90,28,80,.350,3,12,.250,16,20,.800,12,41,17,6,7,19,22,,34,76,.447,7,20,.350,15,22,.682,13,46,22,11,9,19,18
5,5,2012-11-09,,BRK,L,68,107,30,70,.429,4,11,.364,4,8,.500,7,35,19,3,6,18,22,,41,82,.500,9,23,.391,16,25,.640,15,48,21,9,6,11,13
6,6,2012-11-11,@,BRK,L,74,82,30,84,.357,1,13,.077,13,18,.722,11,42,22,6,4,11,22,,29,78,.372,7,24,.292,17,25,.680,12,55,20,5,8,15,17
7,7,2012-11-13,,NYK,L,89,99,37,75,.493,5,14,.357,10,17,.588,9,42,28,7,5,20,9,,41,84,.488,9,24,.375,8,11,.727,6,31,15,11,1,9,14
8,8,2012-11-16,@,DET,W,110,106,44,89,.494,7,17,.412,15,17,.882,14,44,27,7,3,14,17,,44,82,.537,2,8,.250,16,20,.800,6,30,21,8,4,14,18
9,9,2012-11-18,@,TOR,L,86,97,32,80,.400,4,13,.308,18,21,.857,8,40,18,2,1,15,22,,38,80,.475,7,18,.389,14,23,.609,10,40,22,8,6,10,21
10,10,2012-11-19,@,ATL,L,72,81,31,82,.378,2,10,.200,8,14,.571,11,55,17,6,5,19,19,,34,89,.382,5,25,.200,8,13,.615,11,48,18,12,4,13,18
