Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2012-10-31,@,NOH,W,99,95,38,80,.475,6,20,.300,17,26,.654,10,43,22,9,8,15,21,,35,80,.438,4,17,.235,21,23,.913,9,43,26,7,6,13,20
2,2,2012-11-01,,OKC,W,86,84,35,79,.443,5,19,.263,11,16,.688,6,39,27,9,4,13,21,,29,77,.377,7,17,.412,19,23,.826,12,48,18,6,5,18,20
3,3,2012-11-03,,UTA,W,110,100,42,74,.568,7,13,.538,19,23,.826,7,33,29,8,6,18,18,,38,77,.494,5,13,.385,19,22,.864,9,32,17,11,7,16,22
4,4,2012-11-05,,IND,W,101,79,41,87,.471,8,18,.444,11,13,.846,11,45,25,11,2,8,17,,27,79,.342,6,20,.300,19,22,.864,17,48,11,3,7,19,17
5,5,2012-11-07,@,LAC,L,84,106,30,73,.411,8,23,.348,16,24,.667,6,29,25,7,4,20,11,,46,83,.554,6,17,.353,8,9,.889,9,46,30,13,8,15,19
6,6,2012-11-09,@,SAC,W,97,86,35,72,.486,5,18,.278,22,26,.846,7,48,27,8,9,20,19,,32,91,.352,3,16,.188,19,26,.731,15,43,18,11,3,11,18
7,7,2012-11-10,@,POR,W,112,109,40,70,.571,7,18,.389,25,31,.806,6,36,20,9,5,21,20,,42,89,.472,10,22,.455,15,19,.789,12,37,23,14,5,15,23
8,8,2012-11-13,@,LAL,W,84,82,35,90,.389,7,20,.350,7,11,.636,11,38,22,13,5,8,17,,31,74,.419,6,20,.300,14,22,.636,13,48,18,5,9,17,14
9,9,2012-11-15,,NYK,L,100,104,38,87,.437,8,29,.276,16,21,.762,13,48,21,4,7,10,20,,39,86,.453,11,26,.423,15,23,.652,10,41,17,6,6,7,19
10,10,2012-11-17,,DEN,W,126,100,47,88,.534,16,27,.593,16,20,.800,14,40,33,11,6,14,21,,39,78,.500,4,11,.364,18,26,.692,12,39,19,8,2,21,19
11,11,2012-11-19,,LAC,L,87,92,29,82,.354,6,20,.300,23,28,.821,13,42,16,7,3,13,19,,40,85,.471,1,12,.083,11,19,.579,17,52,13,7,7,17,20
12,12,2012-11-21,@,BOS,W,112,100,45,77,.584,8,16,.500,14,19,.737,6,41,26,8,2,17,17,,41,77,.532,3,8,.375,15,17,.882,1,25,21,9,5,12,18
13,13,2012-11-23,@,IND,W,104,97,41,83,.494,2,17,.118,20,22,.909,6,37,19,8,2,10,21,,38,92,.413,7,16,.438,14,21,.667,19,49,27,1,5,13,23
14,14,2012-11-25,@,TOR,W,111,106,44,103,.427,8,27,.296,15,19,.789,7,52,25,4,5,11,18,,40,110,.364,6,24,.250,20,24,.833,17,61,21,6,8,12,25
15,15,2012-11-26,@,WAS,W,118,92,45,80,.563,13,23,.565,15,20,.750,10,43,32,4,5,15,15,,37,90,.411,4,14,.286,14,17,.824,15,40,14,10,2,10,18
16,16,2012-11-28,@,ORL,W,110,89,44,84,.524,11,25,.440,11,15,.733,8,39,26,12,9,16,8,,41,95,.432,2,15,.133,5,8,.625,18,46,16,8,3,16,14
17,17,2012-11-29,@,MIA,L,100,105,36,80,.450,10,30,.333,18,24,.750,11,45,22,5,2,19,20,,42,86,.488,5,13,.385,16,19,.842,7,37,22,11,2,10,18
18,18,2012-12-01,,MEM,W,99,95,37,89,.416,7,29,.241,18,24,.750,13,48,21,12,5,16,22,,36,99,.364,4,15,.267,19,22,.864,18,52,25,10,4,19,24
19,19,2012-12-05,,MIL,W,110,99,40,85,.471,6,21,.286,24,28,.857,14,53,27,6,4,17,20,,35,84,.417,5,12,.417,24,29,.828,8,36,24,11,4,11,21
