Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2012-10-31,,IND,L,88,90,33,91,.363,6,17,.353,16,19,.842,15,42,18,12,8,10,18,,37,78,.474,5,11,.455,11,16,.688,9,46,22,3,10,18,16
2,2,2012-11-03,@,BRK,L,100,107,37,82,.451,7,18,.389,19,25,.760,10,37,23,8,5,14,31,,37,81,.457,6,15,.400,27,37,.730,9,41,20,6,5,17,19
3,3,2012-11-04,,MIN,W,105,86,40,90,.444,10,21,.476,15,17,.882,16,39,18,9,3,11,24,,29,64,.453,6,16,.375,22,31,.710,8,36,18,8,8,24,17
4,4,2012-11-06,@,OKC,L,88,108,30,84,.357,7,30,.233,21,25,.840,8,37,16,11,2,17,24,,35,74,.473,9,25,.360,29,34,.853,7,46,24,10,9,17,22
5,5,2012-11-07,@,DAL,L,104,109,36,81,.444,5,22,.227,27,31,.871,10,38,21,7,1,8,28,,39,84,.464,8,21,.381,23,35,.657,16,47,21,4,6,11,23
6,6,2012-11-10,,PHI,L,83,93,30,79,.380,12,26,.462,11,16,.688,7,35,20,6,4,12,21,,34,73,.466,6,14,.429,19,25,.760,9,46,21,8,4,15,19
7,7,2012-11-12,,UTA,L,133,140,51,108,.472,8,24,.333,23,30,.767,20,52,31,13,5,17,31,,46,93,.495,14,26,.538,34,43,.791,11,46,30,10,11,18,26
8,8,2012-11-13,@,IND,W,74,72,26,72,.361,6,12,.500,16,19,.842,8,45,13,4,1,12,23,,24,75,.320,5,15,.333,19,25,.760,14,49,14,8,7,12,16
9,9,2012-11-17,@,BOS,L,89,107,30,70,.429,8,22,.364,21,31,.677,9,35,22,7,4,15,23,,43,76,.566,6,15,.400,15,19,.789,7,37,37,7,2,13,23
10,10,2012-11-18,,ORL,W,97,86,38,80,.475,7,18,.389,14,23,.609,10,40,22,8,6,10,21,,32,80,.400,4,13,.308,18,21,.857,8,40,18,2,1,15,22
11,11,2012-11-20,@,PHI,L,98,106,37,82,.451,4,16,.250,20,29,.690,12,48,28,2,5,11,20,,40,85,.471,9,24,.375,17,19,.895,9,41,25,6,10,8,23
12,12,2012-11-21,@,CHA,L,97,98,37,80,.463,9,23,.391,14,20,.700,9,36,23,5,8,14,25,,36,86,.419,3,19,.158,23,28,.821,9,37,21,7,9,12,21
13,13,2012-11-23,@,DET,L,90,91,32,78,.410,6,18,.333,20,25,.800,9,37,20,6,6,11,23,,36,78,.462,4,13,.308,15,26,.577,15,46,17,4,2,14,22
