Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2013-10-29,@,LAL,L,103,116,41,83,.494,8,21,.381,13,23,.565,10,40,27,11,4,16,21,,42,93,.452,14,29,.483,18,28,.643,18,52,23,8,6,19,23
2,2,2013-10-31,,GSW,W,126,115,42,85,.494,9,28,.321,33,50,.660,16,44,27,15,4,18,30,,40,76,.526,12,21,.571,23,33,.697,10,33,26,7,2,24,35
3,3,2013-11-01,@,SAC,W,110,101,35,70,.500,12,24,.500,28,34,.824,10,39,26,4,5,15,29,,36,79,.456,6,17,.353,23,32,.719,10,35,21,7,5,9,27
4,4,2013-11-04,,HOU,W,137,118,49,94,.521,15,38,.395,24,28,.857,9,38,33,7,7,10,29,,41,82,.500,7,25,.280,29,43,.674,13,46,21,7,3,15,22
5,5,2013-11-06,@,ORL,L,90,98,36,95,.379,3,19,.158,15,21,.714,15,51,20,9,5,13,19,,40,82,.488,5,16,.313,13,17,.765,7,51,21,7,4,15,17
6,6,2013-11-07,@,MIA,L,97,102,36,73,.493,8,24,.333,17,21,.810,9,38,22,8,1,17,30,,38,71,.535,5,16,.313,21,33,.636,8,30,27,6,3,16,23
7,7,2013-11-09,@,HOU,W,107,94,42,88,.477,9,24,.375,14,23,.609,15,45,26,10,7,13,28,,35,78,.449,7,26,.269,17,27,.630,10,42,21,10,5,18,23
8,8,2013-11-11,,MIN,W,109,107,44,80,.550,4,16,.250,17,28,.607,6,43,30,9,2,14,17,,40,96,.417,11,29,.379,16,18,.889,16,45,27,7,2,12,25
9,9,2013-11-13,,OKC,W,111,103,39,86,.453,6,28,.214,27,34,.794,18,50,30,15,4,22,23,,35,75,.467,6,16,.375,27,33,.818,8,35,27,12,3,22,29
10,10,2013-11-16,,BRK,W,110,103,40,77,.519,10,23,.435,20,30,.667,13,51,23,6,7,17,21,,36,85,.424,9,23,.391,22,33,.667,16,39,24,7,1,11,26
11,11,2013-11-18,,MEM,L,102,106,34,86,.395,7,23,.304,27,32,.844,16,45,20,7,4,11,25,,39,81,.481,5,12,.417,23,30,.767,11,47,23,7,5,9,23
12,12,2013-11-20,@,MIN,W,102,98,40,81,.494,12,24,.500,10,16,.625,6,43,24,8,5,19,25,,34,90,.378,5,22,.227,25,31,.806,10,45,24,10,2,14,17
13,13,2013-11-21,@,OKC,L,91,105,38,92,.413,8,28,.286,7,15,.467,10,41,26,9,2,10,20,,41,79,.519,4,19,.211,19,29,.655,9,49,25,7,7,17,17
14,14,2013-11-23,,SAC,W,103,102,33,68,.485,11,25,.440,26,45,.578,5,39,22,5,5,17,26,,37,88,.420,5,17,.294,23,30,.767,11,46,26,8,4,10,33
15,15,2013-11-24,,CHI,W,121,82,48,82,.585,8,21,.381,17,19,.895,6,44,32,8,5,9,23,,32,81,.395,4,12,.333,14,23,.609,11,39,24,2,1,14,18
16,16,2013-11-27,,NYK,W,93,80,32,74,.432,6,25,.240,23,31,.742,7,42,17,8,2,13,17,,32,83,.386,3,20,.150,13,15,.867,12,44,20,6,6,14,27
17,17,2013-11-29,@,SAC,W,104,98,37,83,.446,6,20,.300,24,37,.649,13,46,20,4,9,12,16,,42,91,.462,6,23,.261,8,10,.800,12,44,24,4,5,15,33
18,18,2013-12-01,,IND,L,100,105,36,82,.439,4,15,.267,24,31,.774,12,41,19,8,2,11,23,,39,89,.438,8,26,.308,19,26,.731,17,50,25,5,4,16,25
19,19,2013-12-04,@,ATL,L,97,107,39,83,.470,4,19,.211,15,20,.750,7,36,22,4,2,12,16,,42,82,.512,12,23,.522,11,16,.688,8,40,28,4,4,11,22
20,20,2013-12-05,@,MEM,W,101,81,38,80,.475,11,20,.550,14,18,.778,10,40,22,6,5,15,24,,29,77,.377,3,13,.231,20,26,.769,11,38,16,8,1,16,19
21,21,2013-12-07,@,CLE,L,82,88,28,87,.322,7,35,.200,19,26,.731,10,45,24,9,7,13,21,,31,83,.373,4,14,.286,22,30,.733,16,60,18,5,3,15,21
22,22,2013-12-09,@,PHI,W,94,83,35,82,.427,5,27,.185,19,29,.655,9,49,20,10,4,12,22,,33,92,.359,3,21,.143,14,19,.737,14,50,26,7,0,16,26
23,23,2013-12-11,@,BOS,W,96,88,34,76,.447,6,17,.353,22,34,.647,8,37,20,9,6,13,17,,33,80,.413,6,17,.353,16,19,.842,8,40,20,5,5,16,23
24,24,2013-12-12,@,BRK,L,93,102,26,70,.371,6,24,.250,35,52,.673,9,43,15,6,1,14,20,,33,74,.446,8,20,.400,28,30,.933,5,42,18,5,0,13,31
25,25,2013-12-14,@,WAS,W,113,97,39,69,.565,9,21,.429,26,31,.839,5,34,27,9,3,10,20,,40,81,.494,3,14,.214,14,20,.700,9,33,21,6,3,13,26
