Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2013-10-30,,DEN,W,90,88,33,81,.407,8,21,.381,16,23,.696,11,41,13,8,7,14,26,,34,79,.430,5,15,.333,15,17,.882,8,41,19,3,11,18,21
2,2,2013-11-01,,LAC,L,101,110,36,79,.456,6,17,.353,23,32,.719,10,35,21,7,5,9,27,,35,70,.500,12,24,.500,28,34,.824,10,39,26,4,5,15,29
3,3,2013-11-02,@,GSW,L,87,98,30,87,.345,6,26,.231,21,24,.875,16,48,16,9,1,14,18,,39,76,.513,11,27,.407,9,12,.750,5,44,28,8,7,18,22
4,4,2013-11-05,,ATL,L,100,105,35,80,.438,10,31,.323,20,21,.952,10,39,22,10,4,18,26,,39,81,.481,8,22,.364,19,26,.731,9,36,26,11,7,14,15
5,5,2013-11-08,@,POR,L,91,104,36,86,.419,6,22,.273,13,15,.867,8,31,20,11,1,11,24,,39,80,.488,10,23,.435,16,18,.889,11,47,28,4,5,17,18
6,6,2013-11-09,,POR,L,85,96,36,78,.462,3,12,.250,10,14,.714,8,33,17,7,2,10,20,,36,82,.439,9,20,.450,15,22,.682,19,52,25,6,2,12,17
7,7,2013-11-13,,BRK,W,107,86,41,94,.436,8,24,.333,17,23,.739,12,50,26,8,3,6,23,,31,82,.378,3,13,.231,21,27,.778,10,52,14,2,7,15,23
8,8,2013-11-15,,DET,L,90,97,34,80,.425,10,25,.400,12,17,.706,11,43,22,4,5,17,19,,38,85,.447,6,23,.261,15,24,.625,13,46,26,10,6,12,20
9,9,2013-11-17,,MEM,L,86,97,33,87,.379,7,23,.304,13,17,.765,11,35,21,8,2,8,20,,40,72,.556,4,13,.308,13,18,.722,7,49,30,4,4,16,20
10,10,2013-11-19,,PHO,W,107,104,39,83,.470,8,22,.364,21,28,.750,15,48,21,8,3,20,24,,37,79,.468,10,29,.345,20,28,.714,6,31,23,9,3,16,23
