Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2014-10-29,@,NYK,W,104,80,36,71,.507,7,24,.292,25,30,.833,10,47,21,9,4,15,18,,31,85,.365,3,17,.176,15,17,.882,14,38,19,9,5,11,22
2,2,2014-10-31,,CLE,L,108,114,41,90,.456,13,31,.419,13,17,.765,11,42,25,4,14,19,28,,41,104,.394,3,15,.200,29,33,.879,20,52,18,8,4,9,18
3,3,2014-11-01,@,MIN,W,106,105,33,69,.478,9,23,.391,31,40,.775,5,38,15,3,8,14,24,,38,85,.447,4,12,.333,25,31,.806,13,42,26,9,4,10,29
4,4,2014-11-04,,ORL,W,98,90,35,75,.467,7,15,.467,21,27,.778,10,44,23,6,9,12,18,,38,88,.432,6,14,.429,8,14,.571,14,48,21,6,6,11,22
5,5,2014-11-05,@,MIL,W,95,86,34,73,.466,5,16,.313,22,30,.733,7,42,24,8,3,16,18,,33,89,.371,3,15,.200,17,20,.850,18,50,19,10,3,14,28
6,6,2014-11-07,@,PHI,W,118,115,40,78,.513,12,24,.500,26,34,.765,12,40,25,4,6,17,21,,43,91,.473,12,30,.400,17,25,.680,17,42,29,7,2,12,29
7,7,2014-11-08,,BOS,L,101,106,42,92,.457,8,18,.444,9,15,.600,11,38,26,5,2,8,16,,42,81,.519,7,19,.368,15,20,.750,7,45,25,6,3,12,17
8,8,2014-11-10,,DET,W,102,91,39,88,.443,7,20,.350,17,20,.850,9,49,22,6,8,10,19,,34,80,.425,7,14,.500,16,25,.640,9,46,19,5,6,15,21
9,9,2014-11-13,@,TOR,W,100,93,37,77,.481,4,15,.267,22,32,.688,13,48,26,7,7,19,18,,35,89,.393,8,25,.320,15,21,.714,13,38,17,11,7,14,28
10,10,2014-11-15,,IND,L,90,99,35,83,.422,4,17,.235,16,23,.696,10,34,18,6,7,13,19,,37,77,.481,7,18,.389,18,25,.720,10,46,18,5,6,14,22
