Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2014-10-29,,DET,W,89,79,30,85,.353,6,24,.250,23,31,.742,14,51,17,7,4,15,21,,31,84,.369,6,26,.231,11,19,.579,8,45,15,4,5,15,27
2,2,2014-11-01,@,OKC,L,91,102,35,80,.438,7,26,.269,14,20,.700,11,41,19,4,10,17,26,,37,80,.463,6,20,.300,22,31,.710,6,41,24,8,6,13,20
3,3,2014-11-03,,SAC,L,105,110,36,93,.387,5,24,.208,28,33,.848,15,42,22,4,7,15,35,,34,81,.420,2,9,.222,40,47,.851,14,50,21,8,5,15,28
4,4,2014-11-05,@,SAC,L,109,131,37,82,.451,9,28,.321,26,31,.839,7,32,24,4,5,14,37,,42,76,.553,8,20,.400,39,50,.780,9,40,21,8,3,13,30
5,5,2014-11-07,,CLE,L,101,110,40,85,.471,11,29,.379,10,15,.667,8,42,22,5,5,13,22,,40,84,.476,6,23,.261,24,33,.727,6,42,25,5,3,8,14
6,6,2014-11-09,@,POR,L,100,116,36,91,.396,5,13,.385,23,30,.767,18,55,14,5,7,15,22,,45,100,.450,16,31,.516,10,14,.714,16,51,27,7,11,10,21
7,7,2014-11-12,,POR,L,113,130,39,90,.433,8,23,.348,27,33,.818,15,47,21,10,2,12,24,,45,88,.511,16,33,.485,24,29,.828,12,46,30,7,9,14,21
8,8,2014-11-14,@,IND,W,108,87,43,87,.494,8,23,.348,14,25,.560,13,46,20,8,5,8,25,,34,84,.405,8,22,.364,11,22,.500,11,42,17,2,7,13,19
9,9,2014-11-16,@,NYK,L,93,109,32,82,.390,13,34,.382,16,26,.615,10,39,20,9,0,17,21,,41,76,.539,6,14,.429,21,27,.778,8,43,16,9,3,15,22
10,10,2014-11-17,@,CLE,W,106,97,41,85,.482,12,31,.387,12,15,.800,9,39,25,10,4,15,18,,34,79,.430,10,29,.345,19,23,.826,9,42,18,7,8,15,15
11,11,2014-11-19,,OKC,W,107,100,40,82,.488,10,29,.345,17,22,.773,12,42,25,6,5,8,20,,36,79,.456,10,23,.435,18,25,.720,13,39,21,5,0,10,24
12,12,2014-11-21,,NOP,W,117,97,43,82,.524,11,24,.458,20,25,.800,8,41,24,8,10,10,24,,31,78,.397,5,16,.313,30,34,.882,8,40,19,7,3,12,22
13,13,2014-11-23,@,LAL,W,101,94,34,90,.378,10,37,.270,23,38,.605,14,57,20,7,2,16,28,,33,89,.371,3,24,.125,25,34,.735,9,50,15,10,6,13,28
14,14,2014-11-25,,CHI,W,114,109,43,85,.506,8,16,.500,20,27,.741,14,45,22,5,7,14,25,,35,82,.427,7,21,.333,32,37,.865,11,37,20,9,4,12,22
15,15,2014-11-26,@,PHO,L,112,120,39,90,.433,8,25,.320,26,34,.765,20,47,19,10,4,17,22,,45,88,.511,13,25,.520,17,21,.810,13,41,27,9,8,16,22
16,16,2014-11-28,,PHO,W,122,97,41,88,.466,8,21,.381,32,36,.889,16,58,20,10,3,18,27,,33,85,.388,8,23,.348,23,29,.793,9,34,14,4,5,15,27
17,17,2014-12-01,@,UTA,W,103,101,41,87,.471,9,26,.346,12,17,.706,8,39,23,7,6,10,22,,36,84,.429,7,18,.389,22,30,.733,14,48,18,3,6,14,15
18,18,2014-12-02,,POR,L,103,105,41,81,.506,7,20,.350,14,19,.737,7,41,21,8,2,14,19,,43,86,.500,5,22,.227,14,17,.824,4,37,26,7,5,12,19
19,19,2014-12-05,@,WAS,L,89,119,31,82,.378,5,22,.227,22,30,.733,10,36,16,8,7,19,22,,45,85,.529,7,20,.350,22,27,.815,14,52,35,12,11,15,20
20,20,2014-12-07,@,ATL,L,84,96,34,93,.366,6,35,.171,10,13,.769,16,52,25,9,4,14,22,,36,87,.414,10,27,.370,14,19,.737,11,43,26,9,4,12,15
21,21,2014-12-08,@,TOR,L,107,112,43,104,.413,10,30,.333,11,15,.733,19,49,21,7,2,13,28,,41,81,.506,9,33,.273,21,29,.724,8,44,21,4,10,14,16
22,22,2014-12-10,,MIA,W,102,82,38,85,.447,8,23,.348,18,27,.667,17,50,21,7,4,10,18,,30,82,.366,7,22,.318,15,21,.714,16,42,18,1,6,10,20
23,23,2014-12-13,@,HOU,L,96,108,36,96,.375,7,28,.250,17,26,.654,15,51,24,7,7,15,26,,39,88,.443,10,34,.294,20,34,.588,13,52,20,8,7,14,21
24,24,2014-12-14,,SAS,L,91,99,34,83,.410,8,16,.500,15,21,.714,15,45,20,10,4,21,29,,34,74,.459,5,16,.313,26,35,.743,11,43,26,9,11,13,20
25,25,2014-12-17,,HOU,L,111,115,40,99,.404,13,30,.433,18,23,.783,16,51,30,8,1,15,36,,35,85,.412,8,28,.286,37,48,.771,10,55,17,7,5,16,23
26,26,2014-12-19,,LAC,W,109,106,38,80,.475,11,29,.379,22,30,.733,9,40,30,6,1,21,24,,39,85,.459,3,18,.167,25,33,.758,13,39,21,14,4,11,22
27,27,2014-12-20,,IND,W,76,73,30,82,.366,2,16,.125,14,19,.737,9,49,14,7,7,16,20,,27,88,.307,7,23,.304,12,17,.706,11,50,17,5,2,14,24
28,28,2014-12-22,@,CHO,L,82,110,31,82,.378,2,18,.111,18,24,.750,9,37,11,6,4,13,20,,43,80,.538,8,19,.421,16,24,.667,6,44,23,6,6,12,21
29,29,2014-12-23,@,BRK,L,96,102,36,82,.439,7,25,.280,17,22,.773,14,51,15,4,4,18,15,,43,91,.473,6,23,.261,10,14,.714,12,39,21,10,3,9,19
30,30,2014-12-26,,MIN,W,106,102,39,95,.411,3,19,.158,25,32,.781,22,62,18,1,6,18,23,,41,103,.398,3,15,.200,17,24,.708,14,44,29,5,9,7,24
31,31,2014-12-28,,TOR,L,102,116,37,87,.425,4,17,.235,24,34,.706,15,49,18,3,2,10,24,,43,88,.489,10,23,.435,20,32,.625,13,44,23,4,5,6,23
32,32,2014-12-30,,LAL,L,103,111,39,87,.448,8,26,.308,17,27,.630,11,39,25,13,7,11,24,,40,76,.526,14,25,.560,17,26,.654,4,42,31,6,4,18,20
33,33,2015-01-01,@,CHI,L,101,106,37,92,.402,5,14,.357,22,27,.815,17,57,19,4,7,12,27,,38,91,.418,8,15,.533,22,25,.880,13,46,22,7,18,7,19
34,34,2015-01-03,,MEM,W,114,85,41,79,.519,7,15,.467,25,31,.806,8,48,21,6,8,13,14,,37,86,.430,2,14,.143,9,13,.692,8,37,20,6,8,12,20
35,35,2015-01-05,@,MIN,W,110,101,46,84,.548,7,19,.368,11,16,.688,9,41,26,8,6,12,22,,38,89,.427,10,24,.417,15,18,.833,15,42,21,7,4,12,17
36,36,2015-01-07,,ORL,W,93,90,33,74,.446,7,17,.412,20,26,.769,6,47,22,5,4,21,17,,35,88,.398,8,22,.364,12,16,.750,10,42,21,11,2,14,24
37,37,2015-01-09,@,SAC,W,118,108,47,85,.553,5,17,.294,19,28,.679,10,39,27,10,6,11,25,,42,86,.488,6,19,.316,18,24,.750,12,38,19,5,6,14,17
38,38,2015-01-14,,DAL,W,114,107,41,82,.500,4,19,.211,28,35,.800,11,51,25,6,7,16,25,,41,100,.410,9,37,.243,16,20,.800,10,39,24,8,5,8,25
39,39,2015-01-16,@,DAL,L,89,97,34,83,.410,9,25,.360,12,25,.480,13,52,23,6,3,15,27,,33,79,.418,8,25,.320,23,29,.793,10,52,22,7,2,14,23
40,40,2015-01-17,,MIN,L,105,113,38,92,.413,10,31,.323,19,22,.864,13,39,21,10,4,10,20,,43,80,.538,8,19,.421,19,21,.905,8,43,24,6,5,15,18
41,41,2015-01-19,@,GSW,L,79,122,30,87,.345,7,24,.292,12,19,.632,8,39,17,9,3,16,19,,44,81,.543,13,27,.481,21,27,.778,7,53,30,10,6,13,14
42,42,2015-01-20,,SAS,L,99,109,37,79,.468,5,14,.357,20,29,.690,12,42,26,7,0,16,23,,38,84,.452,11,27,.407,22,27,.815,14,44,27,10,6,16,27
43,43,2015-01-23,,BOS,L,99,100,37,89,.416,6,21,.286,19,26,.731,17,48,20,8,2,12,19,,37,75,.493,9,21,.429,17,27,.630,8,41,20,8,6,14,24
44,44,2015-01-25,,WAS,L,115,117,41,101,.406,12,29,.414,21,28,.750,14,45,26,7,3,9,24,,48,90,.533,4,14,.286,17,23,.739,10,50,29,5,2,17,27
45,45,2015-01-26,@,LAC,L,98,102,40,83,.482,8,21,.381,10,15,.667,8,38,26,7,4,10,15,,38,80,.475,7,19,.368,19,22,.864,10,45,25,10,8,13,17
46,46,2015-01-28,@,NOP,W,93,85,39,85,.459,10,17,.588,5,7,.714,8,39,30,4,7,8,22,,32,82,.390,3,15,.200,18,24,.750,17,48,15,2,6,9,15
47,47,2015-01-29,@,MEM,L,69,99,29,87,.333,2,26,.077,9,10,.900,10,47,19,6,5,16,19,,39,88,.443,3,16,.188,18,27,.667,13,57,17,8,4,9,11
48,48,2015-01-31,,CHO,L,86,104,33,92,.359,5,24,.208,15,20,.750,8,44,21,2,8,12,19,,44,93,.473,0,11,.000,16,25,.640,10,57,32,10,11,10,18
49,49,2015-02-03,@,PHI,L,98,105,33,85,.388,12,31,.387,20,28,.714,8,37,26,13,3,14,29,,31,70,.443,11,27,.407,32,42,.762,7,49,26,10,9,20,22
50,50,2015-02-04,@,BOS,L,100,104,33,80,.413,4,24,.167,30,33,.909,14,48,18,9,6,15,19,,40,99,.404,12,28,.429,12,17,.706,19,51,27,10,3,13,21
51,51,2015-02-06,@,DET,L,88,98,33,85,.388,5,22,.227,17,22,.773,11,43,22,7,5,13,24,,37,82,.451,4,24,.167,20,26,.769,11,51,23,4,4,16,16
52,52,2015-02-09,,OKC,L,114,124,42,87,.483,9,28,.321,21,29,.724,12,38,20,7,4,10,25,,43,80,.538,12,24,.500,26,35,.743,9,40,24,4,5,12,23
53,53,2015-02-10,@,LAL,W,106,96,43,79,.544,4,16,.250,16,23,.696,4,35,25,9,8,7,22,,37,85,.435,6,18,.333,16,27,.593,14,43,23,3,2,10,24
54,54,2015-02-20,@,MIL,L,81,89,30,84,.357,7,26,.269,14,21,.667,14,45,18,11,7,15,19,,33,78,.423,5,15,.333,18,22,.818,7,46,22,6,5,16,21
55,55,2015-02-22,@,OKC,L,94,119,35,97,.361,7,27,.259,17,20,.850,16,42,19,13,5,12,19,,48,92,.522,8,20,.400,15,23,.652,15,60,31,8,10,18,19
