Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2014-10-29,,MIN,W,105,101,43,82,.524,4,15,.267,15,20,.750,10,33,21,10,5,17,21,,39,86,.453,6,12,.500,17,23,.739,19,47,20,8,4,23,21
2,2,2014-10-31,@,IND,W,97,89,35,79,.443,7,19,.368,20,27,.741,11,40,20,11,2,9,21,,34,74,.459,8,21,.381,13,16,.813,11,46,19,5,3,18,15
3,3,2014-11-01,@,CHO,W,71,69,29,80,.363,3,11,.273,10,13,.769,9,45,16,8,0,18,22,,26,72,.361,4,14,.286,13,18,.722,5,44,17,10,4,20,16
4,4,2014-11-03,,NOP,W,93,81,31,76,.408,4,14,.286,27,37,.730,9,52,19,5,6,11,24,,29,86,.337,4,24,.167,19,29,.655,14,49,14,5,3,12,30
5,5,2014-11-05,@,PHO,W,102,91,40,80,.500,9,17,.529,13,17,.765,8,37,25,10,1,16,21,,32,69,.464,8,21,.381,19,21,.905,5,35,13,11,4,18,20
6,6,2014-11-07,@,OKC,W,91,89,34,81,.420,9,18,.500,14,17,.824,9,38,21,10,4,8,14,,37,79,.468,12,25,.480,3,11,.273,10,44,16,3,1,17,18
7,7,2014-11-08,@,MIL,L,92,93,29,82,.354,3,14,.214,31,34,.912,15,40,15,9,2,13,18,,40,88,.455,5,18,.278,8,11,.727,16,43,24,7,4,16,24
8,8,2014-11-11,,LAL,W,107,102,41,78,.526,4,11,.364,21,26,.808,12,38,21,8,2,13,18,,41,87,.471,7,22,.318,13,17,.765,15,38,22,8,6,13,22
9,9,2014-11-13,,SAC,W,111,110,39,77,.506,6,9,.667,27,34,.794,8,30,24,9,4,9,25,,37,77,.481,7,13,.538,29,34,.853,13,44,12,6,5,14,26
10,10,2014-11-15,,DET,W,95,88,32,86,.372,4,15,.267,27,33,.818,18,53,18,5,4,8,18,,34,82,.415,10,26,.385,10,17,.588,9,43,15,4,6,9,22
11,11,2014-11-17,,HOU,W,119,93,46,86,.535,7,17,.412,20,22,.909,10,38,27,14,5,10,19,,34,78,.436,8,34,.235,17,21,.810,10,35,24,6,4,21,19
12,12,2014-11-19,@,TOR,L,92,96,35,80,.438,3,10,.300,19,26,.731,15,50,16,8,4,13,16,,38,83,.458,9,26,.346,11,13,.846,7,35,24,9,6,8,20
