Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2014-10-29,@,POR,L,89,106,33,81,.407,2,16,.125,21,26,.808,14,43,19,9,5,13,28,,39,87,.448,11,29,.379,17,22,.773,13,42,23,4,9,10,19
2,2,2014-10-30,@,LAC,L,90,93,28,65,.431,6,21,.286,28,34,.824,8,47,23,5,2,22,27,,34,87,.391,7,30,.233,18,25,.720,14,33,17,10,4,11,27
3,3,2014-11-01,,DEN,W,102,91,37,80,.463,6,20,.300,22,31,.710,6,41,24,8,6,13,20,,35,80,.438,7,26,.269,14,20,.700,11,41,19,4,10,17,26
4,4,2014-11-03,@,BRK,L,85,116,32,82,.390,8,23,.348,13,21,.619,15,44,14,3,3,17,17,,44,84,.524,11,23,.478,17,19,.895,9,42,25,11,3,8,21
5,5,2014-11-04,@,TOR,L,88,100,34,65,.523,6,21,.286,14,25,.560,6,41,23,4,3,19,27,,32,81,.395,8,31,.258,28,33,.848,12,39,23,6,3,10,24
6,6,2014-11-07,,MEM,L,89,91,37,79,.468,12,25,.480,3,11,.273,10,44,16,3,1,17,18,,34,81,.420,9,18,.500,14,17,.824,9,38,21,10,4,8,14
7,7,2014-11-09,,SAC,W,101,93,36,78,.462,6,18,.333,23,27,.852,11,40,16,5,6,14,22,,36,80,.450,6,24,.250,15,22,.682,9,37,23,11,2,10,24
8,8,2014-11-11,@,MIL,L,78,85,29,87,.333,6,20,.300,14,19,.737,13,46,15,6,5,15,22,,33,81,.407,3,15,.200,16,24,.667,14,51,18,5,6,16,22
9,9,2014-11-12,@,BOS,W,109,94,40,82,.488,10,24,.417,19,22,.864,8,41,23,1,3,8,13,,37,83,.446,9,33,.273,11,13,.846,7,35,28,5,3,8,20
10,10,2014-11-14,,DET,L,89,96,38,96,.396,12,36,.333,1,6,.167,10,42,23,9,7,14,23,,38,89,.427,11,31,.355,9,15,.600,14,55,18,8,5,16,17
11,11,2014-11-16,,HOU,L,65,69,20,68,.294,3,19,.158,22,28,.786,11,45,14,6,15,15,30,,23,80,.288,7,35,.200,16,30,.533,22,54,11,5,6,14,23
12,12,2014-11-18,@,UTA,L,81,98,30,84,.357,8,23,.348,13,19,.684,12,44,17,8,6,13,22,,35,81,.432,10,24,.417,18,26,.692,12,55,22,8,4,13,17
13,13,2014-11-19,@,DEN,L,100,107,36,79,.456,10,23,.435,18,25,.720,13,39,21,5,0,10,24,,40,82,.488,10,29,.345,17,22,.773,12,42,25,6,5,8,20
