Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2014-10-29,,HOU,L,93,104,38,81,.469,3,18,.167,14,17,.824,13,34,16,8,6,13,16,,40,77,.519,14,27,.519,10,14,.714,8,35,18,7,6,18,23
2,2,2014-10-30,@,DAL,L,102,120,36,83,.434,14,35,.400,16,18,.889,15,40,22,6,0,16,21,,47,85,.553,8,21,.381,18,23,.783,13,44,25,8,5,9,15
3,3,2014-11-01,,PHO,W,118,91,42,88,.477,7,26,.269,27,33,.818,13,52,19,10,6,13,15,,36,87,.414,7,31,.226,12,15,.800,6,34,17,8,7,11,22
4,4,2014-11-03,@,LAC,L,101,107,36,77,.468,10,27,.370,19,24,.792,9,43,24,4,2,17,20,,41,81,.506,10,23,.435,15,17,.882,5,35,28,6,6,10,17
5,5,2014-11-05,,CLE,W,102,100,39,77,.506,7,21,.333,17,22,.773,13,41,26,3,8,12,26,,30,72,.417,6,16,.375,34,40,.850,7,30,6,8,4,12,22
6,6,2014-11-07,,DAL,L,82,105,29,68,.426,9,28,.321,15,19,.789,9,41,19,4,6,21,17,,42,88,.477,9,24,.375,12,14,.857,13,42,23,12,3,8,22
7,7,2014-11-09,@,DET,W,97,96,33,72,.458,6,15,.400,25,35,.714,9,43,20,7,2,11,18,,36,93,.387,6,23,.261,18,25,.720,18,51,19,6,2,11,22
8,8,2014-11-10,@,IND,L,86,97,32,74,.432,6,21,.286,16,21,.762,5,37,18,5,6,11,18,,39,90,.433,6,15,.400,13,15,.867,13,44,16,3,3,7,19
9,9,2014-11-12,@,ATL,L,97,100,43,86,.500,5,23,.217,6,12,.500,8,30,28,12,8,11,17,,39,76,.513,9,20,.450,13,18,.722,13,46,23,8,4,18,12
10,10,2014-11-14,@,NYK,W,102,100,36,70,.514,10,22,.455,20,25,.800,11,39,25,6,8,18,20,,39,82,.476,5,8,.625,17,20,.850,7,31,15,12,1,8,26
11,11,2014-11-15,@,TOR,L,93,111,33,75,.440,5,16,.313,22,30,.733,10,38,22,5,3,11,21,,43,84,.512,8,21,.381,17,23,.739,13,42,15,6,5,8,19
12,12,2014-11-18,,OKC,W,98,81,35,81,.432,10,24,.417,18,26,.692,12,55,22,8,4,13,17,,30,84,.357,8,23,.348,13,19,.684,12,44,17,8,6,13,22
13,13,2014-11-21,@,GSW,L,88,101,35,82,.427,6,17,.353,12,19,.632,14,45,26,12,5,19,16,,41,82,.500,6,23,.261,13,19,.684,6,40,28,10,5,13,18
14,14,2014-11-22,,NOP,L,94,106,33,71,.465,5,14,.357,23,29,.793,11,42,15,6,8,18,25,,42,93,.452,4,17,.235,18,22,.818,18,44,19,11,7,9,22
15,15,2014-11-24,,CHI,L,95,97,42,86,.488,3,9,.333,8,10,.800,11,41,22,9,6,13,20,,36,72,.500,9,20,.450,16,23,.696,7,35,20,9,3,16,14
16,16,2014-11-26,@,OKC,L,82,97,31,70,.443,3,16,.188,17,28,.607,8,38,11,9,2,19,16,,40,83,.482,12,26,.462,5,10,.500,12,45,21,9,7,16,26
17,17,2014-11-29,,LAC,L,96,112,34,75,.453,7,21,.333,21,33,.636,12,37,19,6,2,13,15,,45,80,.563,11,28,.393,11,15,.733,9,37,21,6,5,11,25
18,18,2014-12-01,,DEN,L,101,103,36,84,.429,7,18,.389,22,30,.733,14,48,18,3,6,14,15,,41,87,.471,9,26,.346,12,17,.706,8,39,23,7,6,10,22
19,19,2014-12-03,,TOR,L,104,123,42,87,.483,8,28,.286,12,15,.800,13,35,21,7,5,8,15,,45,79,.570,12,21,.571,21,24,.875,8,37,15,7,3,9,16
20,20,2014-12-05,,ORL,L,93,98,36,79,.456,8,16,.500,13,21,.619,13,41,23,4,6,11,21,,37,74,.500,7,17,.412,17,20,.850,9,38,15,6,3,8,20
21,21,2014-12-08,@,SAC,L,92,101,32,79,.405,3,17,.176,25,37,.676,11,35,20,7,7,13,26,,35,74,.473,3,8,.375,28,36,.778,10,45,18,8,2,16,24
22,22,2014-12-09,,SAS,W,100,96,40,80,.500,4,14,.286,16,22,.727,8,43,18,5,7,18,23,,39,84,.464,4,20,.200,14,23,.609,11,37,23,12,8,13,21
23,23,2014-12-12,,MIA,L,95,100,34,77,.442,8,28,.286,19,22,.864,12,44,16,4,6,11,18,,36,72,.500,7,20,.350,21,31,.677,7,35,19,6,3,9,16
24,24,2014-12-14,@,WAS,L,84,93,30,78,.385,5,17,.294,19,28,.679,12,45,13,8,7,17,18,,41,84,.488,4,13,.308,7,12,.583,10,41,20,11,9,15,21
25,25,2014-12-16,@,NOP,L,111,119,45,90,.500,5,15,.333,16,19,.842,18,37,19,6,7,15,18,,47,79,.595,8,16,.500,17,18,.944,9,32,24,9,9,16,20
26,26,2014-12-17,@,MIA,W,105,87,35,66,.530,14,25,.560,21,24,.875,6,38,23,4,5,18,26,,27,70,.386,4,17,.235,29,40,.725,8,31,10,10,0,11,24
27,27,2014-12-19,@,ORL,W,101,94,39,73,.534,4,11,.364,19,24,.792,7,42,24,4,5,15,14,,37,83,.446,12,22,.545,8,12,.667,9,34,28,6,2,12,22
28,28,2014-12-20,@,CHO,L,86,104,33,85,.388,8,31,.258,12,15,.800,13,39,18,3,5,9,15,,42,87,.483,9,22,.409,11,16,.688,15,49,21,8,3,5,14
29,29,2014-12-22,@,MEM,W,97,91,34,75,.453,9,19,.474,20,27,.741,10,49,20,0,5,11,15,,38,86,.442,7,23,.304,8,9,.889,5,34,22,4,3,4,18
30,30,2014-12-27,,PHI,W,88,71,30,84,.357,4,23,.174,24,28,.857,14,55,17,11,10,12,23,,24,74,.324,5,26,.192,18,28,.643,10,44,11,8,5,16,20
31,31,2014-12-29,@,LAC,L,97,101,38,92,.413,8,19,.421,13,22,.591,18,52,26,7,3,13,22,,37,81,.457,10,23,.435,17,22,.773,7,41,24,7,12,14,16
32,32,2014-12-30,,MIN,W,100,94,38,79,.481,7,19,.368,17,22,.773,11,43,16,5,3,13,19,,38,82,.463,8,17,.471,10,14,.714,8,34,26,7,4,10,23
33,33,2015-01-02,,ATL,L,92,98,32,86,.372,10,31,.323,18,24,.750,17,47,18,6,9,14,18,,33,81,.407,6,23,.261,26,30,.867,11,47,24,9,3,10,17
34,34,2015-01-03,@,MIN,W,101,89,38,75,.507,11,20,.550,14,21,.667,11,47,23,6,10,12,16,,34,86,.395,6,19,.316,15,18,.833,14,37,17,8,5,8,15
35,35,2015-01-05,,IND,L,101,105,35,81,.432,4,23,.174,27,34,.794,14,41,16,6,6,10,24,,35,74,.473,7,13,.538,28,30,.933,8,35,20,8,3,10,24
36,36,2015-01-07,@,CHI,W,97,77,37,78,.474,5,16,.313,18,24,.750,14,48,21,8,8,15,20,,28,84,.333,6,20,.300,15,20,.750,16,43,17,5,5,15,20
37,37,2015-01-09,@,OKC,L,94,99,36,74,.486,7,21,.333,15,22,.682,9,44,22,12,11,20,14,,42,91,.462,7,21,.333,8,9,.889,9,38,25,12,5,14,18
38,38,2015-01-10,@,HOU,L,82,97,29,70,.414,5,17,.294,19,21,.905,9,41,20,15,6,27,17,,33,77,.429,13,34,.382,18,21,.857,8,33,24,16,3,20,20
39,39,2015-01-13,,GSW,L,105,116,39,81,.481,7,21,.333,20,24,.833,11,44,14,7,7,15,18,,46,91,.505,13,25,.520,11,13,.846,6,31,32,10,5,9,16
40,40,2015-01-16,,LAL,W,94,85,36,85,.424,12,31,.387,10,10,1.000,12,38,24,11,7,12,21,,31,65,.477,3,7,.429,20,27,.741,8,42,7,6,5,19,9
41,41,2015-01-18,@,SAS,L,69,89,28,84,.333,3,10,.300,10,16,.625,12,48,23,7,13,12,17,,31,80,.388,8,17,.471,19,23,.826,11,49,23,8,6,10,14
42,42,2015-01-21,@,CLE,L,92,106,35,84,.417,8,22,.364,14,18,.778,16,42,24,9,1,17,22,,42,81,.519,5,24,.208,17,25,.680,15,45,24,15,4,13,12
43,43,2015-01-22,@,MIL,W,101,99,32,71,.451,14,31,.452,23,28,.821,12,43,25,9,3,22,15,,42,92,.457,5,13,.385,10,12,.833,15,40,26,11,5,12,25
44,44,2015-01-24,,BRK,W,108,73,42,79,.532,13,29,.448,11,14,.786,6,43,23,9,5,15,13,,29,75,.387,5,15,.333,10,16,.625,8,29,17,10,9,17,17
45,45,2015-01-26,,BOS,L,90,99,35,82,.427,9,24,.375,11,19,.579,10,39,18,9,10,14,23,,35,74,.473,8,19,.421,21,23,.913,5,37,18,8,3,14,15
