Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2014-10-29,@,MIA,L,95,107,36,75,.480,6,19,.316,17,24,.708,7,36,20,7,2,14,20,,39,81,.481,9,28,.321,20,23,.870,12,44,20,9,3,14,17
2,2,2014-10-30,@,ORL,W,105,98,39,80,.488,7,13,.538,20,26,.769,6,37,22,10,0,12,25,,37,72,.514,6,15,.400,18,24,.750,3,33,20,4,1,18,23
3,3,2014-11-01,,MIL,W,108,97,40,73,.548,4,13,.308,24,33,.727,6,34,28,18,5,19,21,,34,80,.425,9,22,.409,20,24,.833,16,42,18,11,3,27,28
4,4,2014-11-04,@,NYK,W,98,83,39,80,.488,8,18,.444,12,19,.632,10,41,26,8,4,12,25,,30,81,.370,8,15,.533,15,19,.789,15,43,16,5,4,18,23
5,5,2014-11-05,,IND,W,96,94,34,91,.374,7,17,.412,21,23,.913,7,43,24,7,7,12,22,,35,90,.389,8,27,.296,16,20,.800,14,57,22,3,9,18,27
6,6,2014-11-07,@,TOR,L,84,103,30,83,.361,3,19,.158,21,32,.656,16,50,19,7,5,13,29,,35,80,.438,9,22,.409,24,31,.774,10,49,19,5,3,13,27
7,7,2014-11-08,@,IND,W,97,90,39,81,.481,2,11,.182,17,23,.739,13,49,23,8,4,14,25,,33,77,.429,8,24,.333,16,25,.640,8,38,11,5,3,18,24
8,8,2014-11-12,,DET,W,107,103,40,83,.482,3,11,.273,24,33,.727,11,46,27,10,6,11,22,,38,81,.469,9,22,.409,18,22,.818,7,39,19,5,6,13,25
9,9,2014-11-15,,ORL,W,98,93,42,84,.500,3,10,.300,11,16,.688,9,40,31,5,8,11,16,,37,78,.474,7,17,.412,12,18,.667,9,40,14,5,2,15,21
10,10,2014-11-19,,DAL,L,102,105,37,84,.440,10,22,.455,18,21,.857,9,42,25,8,3,13,27,,34,82,.415,12,28,.429,25,29,.862,10,44,18,5,5,12,19
11,11,2014-11-21,,CLE,W,91,78,41,84,.488,4,10,.400,5,9,.556,10,45,24,10,5,17,21,,27,75,.360,6,27,.222,18,23,.783,9,41,13,12,4,19,21
12,12,2014-11-22,@,MIL,W,111,100,43,93,.462,8,18,.444,17,22,.773,20,53,27,7,6,14,24,,36,84,.429,5,15,.333,23,26,.885,8,36,21,11,7,14,20
13,13,2014-11-25,,ATL,L,102,106,36,84,.429,9,20,.450,21,29,.724,16,47,25,2,3,20,25,,36,85,.424,7,25,.280,27,34,.794,12,43,17,16,6,10,23
14,14,2014-11-26,@,CLE,L,87,113,33,71,.465,5,13,.385,16,22,.727,7,26,24,5,5,18,28,,38,74,.514,6,20,.300,31,38,.816,7,32,23,13,2,9,18
15,15,2014-11-29,,NOP,W,83,80,35,76,.461,5,12,.417,8,12,.667,12,46,21,9,9,14,18,,30,81,.370,6,17,.353,14,21,.667,13,42,12,8,1,12,14
16,16,2014-12-01,,MIA,W,107,86,39,72,.542,10,19,.526,19,24,.792,7,42,29,7,3,12,23,,33,72,.458,2,22,.091,18,30,.600,7,33,12,5,2,11,20
