Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2016-10-27,,WAS,W,114,99,44,88,.500,12,26,.462,14,18,.778,14,52,28,13,7,21,19,,40,94,.426,6,20,.300,13,18,.722,12,40,25,14,4,19,20
2,2,2016-10-29,@,PHI,W,104,72,42,85,.494,5,20,.250,15,23,.652,6,47,31,11,7,12,14,,28,80,.350,5,18,.278,11,15,.733,4,39,16,9,5,20,20
3,3,2016-10-31,,SAC,W,106,95,33,79,.418,11,30,.367,29,47,.617,17,43,24,11,6,13,20,,36,75,.480,10,23,.435,13,19,.684,6,38,26,10,6,19,34
4,4,2016-11-02,,LAL,L,116,123,41,85,.482,11,32,.344,23,29,.793,10,37,30,10,1,18,19,,48,90,.533,9,22,.409,18,20,.900,11,42,24,11,9,15,25
5,5,2016-11-04,@,WAS,L,92,95,32,83,.386,5,25,.200,23,36,.639,10,47,22,12,3,18,24,,31,80,.388,5,20,.250,28,35,.800,11,46,13,7,3,19,23
6,6,2016-11-05,,HOU,W,112,97,45,85,.529,8,20,.400,14,24,.583,13,44,29,17,6,19,13,,37,85,.435,12,36,.333,11,13,.846,12,43,22,9,7,26,26
7,7,2016-11-08,@,CLE,W,110,106,41,81,.506,11,29,.379,17,24,.708,11,50,22,1,4,19,21,,37,99,.374,11,42,.262,21,25,.840,13,39,21,12,1,6,20
8,8,2016-11-09,,CHI,W,115,107,42,83,.506,9,20,.450,22,27,.815,13,48,24,8,7,21,20,,41,91,.451,9,27,.333,16,21,.762,8,31,24,14,3,13,21
9,9,2016-11-12,,PHI,W,117,96,48,95,.505,13,32,.406,8,14,.571,15,52,31,10,6,16,14,,36,83,.434,11,29,.379,13,20,.650,10,39,21,14,4,19,20
10,10,2016-11-15,@,MIA,W,93,90,37,80,.463,6,17,.353,13,19,.684,6,35,18,14,4,19,13,,36,89,.404,7,23,.304,11,14,.786,17,48,13,11,7,23,23
11,11,2016-11-16,,MIL,W,107,100,35,72,.486,10,32,.313,27,31,.871,3,39,29,6,8,16,17,,39,98,.398,8,32,.250,14,18,.778,15,47,25,9,2,14,25
12,12,2016-11-18,@,CHO,L,96,100,39,84,.464,7,28,.250,11,17,.647,8,49,25,9,6,16,18,,37,90,.411,10,29,.345,16,24,.667,8,44,25,11,4,11,16
13,13,2016-11-20,@,NYK,L,94,104,34,85,.400,6,21,.286,20,29,.690,14,48,17,7,6,13,15,,42,88,.477,10,27,.370,10,14,.714,11,50,21,8,1,15,23
14,14,2016-11-22,,NOP,L,94,112,39,85,.459,10,29,.345,6,10,.600,6,40,22,5,6,15,15,,45,86,.523,11,25,.440,11,12,.917,5,40,29,11,9,9,16
15,15,2016-11-23,@,IND,W,96,85,36,85,.424,5,20,.250,19,22,.864,17,56,17,11,7,21,18,,34,84,.405,7,27,.259,10,14,.714,7,37,16,15,5,18,20
16,16,2016-11-25,@,UTA,L,68,95,26,83,.313,8,25,.320,8,12,.667,6,40,11,8,4,14,16,,35,80,.438,10,34,.294,15,18,.833,9,55,17,9,9,16,16
17,17,2016-11-27,@,LAL,L,94,109,39,88,.443,12,35,.343,4,10,.400,7,38,25,5,6,12,19,,42,95,.442,8,20,.400,17,20,.850,15,53,20,7,2,9,15
18,18,2016-11-28,@,GSW,L,100,105,36,85,.424,7,29,.241,21,30,.700,13,50,20,11,4,18,22,,37,85,.435,12,35,.343,19,24,.792,7,41,25,6,10,14,20
19,19,2016-11-30,@,PHO,L,107,109,45,89,.506,9,25,.360,8,10,.800,7,40,20,9,6,20,22,,40,89,.449,10,21,.476,19,25,.760,13,41,15,11,4,15,17
20,20,2016-12-02,,DET,L,85,121,32,88,.364,6,24,.250,15,20,.750,6,32,22,6,2,7,12,,48,89,.539,17,29,.586,8,12,.667,11,54,28,4,3,15,15
21,21,2016-12-03,@,TOR,L,84,128,35,88,.398,7,28,.250,7,14,.500,13,38,21,7,5,18,13,,53,92,.576,13,24,.542,9,11,.818,12,48,28,14,7,12,17
22,22,2016-12-05,,OKC,L,99,102,34,77,.442,7,22,.318,24,32,.750,7,36,26,13,3,18,24,,37,80,.463,10,31,.323,18,28,.643,8,43,26,9,5,19,27
23,23,2016-12-07,,MIA,W,103,95,43,88,.489,4,19,.211,13,15,.867,14,47,27,9,9,14,20,,34,80,.425,11,27,.407,16,20,.800,8,33,20,6,6,16,16
24,24,2016-12-09,@,MIL,W,114,110,40,84,.476,12,34,.353,22,29,.759,9,46,32,7,8,17,11,,44,94,.468,12,28,.429,10,14,.714,9,43,26,11,5,15,25
25,25,2016-12-13,,ORL,L,120,131,45,89,.506,11,28,.393,19,21,.905,13,45,29,6,4,15,16,,51,87,.586,15,34,.441,14,20,.700,5,28,36,8,5,9,17
26,26,2016-12-16,@,TOR,W,125,121,46,86,.535,11,25,.440,22,32,.688,15,44,26,6,6,14,22,,47,86,.547,10,21,.476,17,26,.654,8,28,20,7,5,9,27
27,27,2016-12-17,,CHO,L,99,107,40,86,.465,10,26,.385,9,16,.563,9,47,26,4,2,12,18,,43,88,.489,12,27,.444,9,13,.692,7,43,26,8,3,12,17
28,28,2016-12-19,@,OKC,W,110,108,41,75,.547,9,23,.391,19,24,.792,5,35,24,5,2,15,20,,39,87,.448,10,35,.286,20,26,.769,15,44,13,8,3,12,18
29,29,2016-12-21,,MIN,L,84,92,34,82,.415,7,26,.269,9,13,.692,8,35,19,9,8,10,15,,35,83,.422,9,29,.310,13,14,.929,15,52,21,6,6,17,11
30,30,2016-12-23,@,DEN,W,109,108,37,86,.430,8,25,.320,27,33,.818,9,40,26,10,4,8,25,,37,78,.474,8,25,.320,26,35,.743,7,46,27,3,7,15,29
31,31,2016-12-26,@,MIN,L,90,104,35,83,.422,8,32,.250,12,17,.706,17,46,20,8,7,19,19,,37,82,.451,15,31,.484,15,18,.833,11,40,26,11,3,14,19
32,32,2016-12-28,,NYK,W,102,98,37,101,.366,7,27,.259,21,27,.778,17,55,19,8,3,13,19,,35,93,.376,7,27,.259,21,26,.808,14,55,20,8,7,17,23
33,33,2016-12-30,,DET,W,105,98,39,88,.443,8,26,.308,19,25,.760,12,44,29,10,2,15,21,,35,84,.417,9,31,.290,19,21,.905,14,43,22,9,7,18,24
34,34,2017-01-01,,SAS,W,114,112,42,92,.457,14,28,.500,16,27,.593,11,46,25,6,6,11,21,,42,90,.467,9,27,.333,19,22,.864,9,47,27,5,6,12,21
35,35,2017-01-04,@,ORL,W,111,92,44,81,.543,10,19,.526,13,18,.722,3,39,27,12,3,12,12,,37,86,.430,9,28,.321,9,10,.900,10,40,19,9,6,17,17
36,36,2017-01-05,@,NOP,W,99,94,38,90,.422,9,23,.391,14,17,.824,12,55,23,9,6,14,14,,34,93,.366,15,35,.429,11,14,.786,15,52,19,8,4,15,18
37,37,2017-01-07,@,DAL,W,97,82,30,74,.405,11,22,.500,26,32,.813,6,47,19,8,1,10,15,,32,82,.390,9,36,.250,9,10,.900,6,41,18,7,3,14,25
