Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2016-10-26,@,IND,L,121,130,45,104,.433,18,48,.375,13,18,.722,10,49,26,8,8,15,27,,47,93,.505,10,19,.526,26,34,.765,8,52,30,11,6,16,23
2,2,2016-10-28,,HOU,L,98,106,35,80,.438,8,29,.276,20,24,.833,6,34,13,11,2,9,21,,33,70,.471,15,32,.469,25,31,.806,5,41,21,6,1,18,22
3,3,2016-10-30,@,HOU,L,92,93,32,86,.372,11,31,.355,17,20,.850,13,43,17,8,3,9,17,,34,81,.420,11,31,.355,14,21,.667,9,47,16,5,4,17,21
4,4,2016-11-02,@,UTA,L,81,97,33,77,.429,7,26,.269,8,10,.800,6,36,18,4,4,12,20,,35,77,.455,12,25,.480,15,26,.577,7,41,18,6,3,12,21
5,5,2016-11-04,,POR,L,95,105,34,83,.410,10,28,.357,17,20,.850,7,44,18,5,3,12,21,,36,80,.450,12,31,.387,21,26,.808,7,42,21,9,3,14,20
6,6,2016-11-06,,MIL,W,86,75,33,88,.375,9,38,.237,11,12,.917,10,46,14,12,2,15,20,,30,82,.366,6,29,.207,9,12,.750,9,51,14,11,2,27,26
7,7,2016-11-08,@,LAL,W,109,97,43,82,.524,10,23,.435,13,15,.867,8,37,24,11,4,11,12,,38,78,.487,10,26,.385,11,14,.786,8,37,20,6,1,16,19
8,8,2016-11-09,@,GSW,L,95,116,34,86,.395,6,28,.214,21,28,.750,13,42,20,10,2,7,20,,43,74,.581,17,33,.515,13,22,.591,5,39,33,3,5,15,22
9,9,2016-11-14,@,NYK,L,77,93,32,84,.381,5,27,.185,8,11,.727,11,40,15,8,7,11,16,,34,78,.436,9,25,.360,16,18,.889,14,51,18,5,5,17,16
10,10,2016-11-16,@,BOS,L,83,90,34,83,.410,8,23,.348,7,10,.700,5,32,16,9,3,9,19,,33,76,.434,7,21,.333,17,23,.739,13,53,18,6,3,19,17
11,11,2016-11-18,,MEM,L,64,80,21,73,.288,5,25,.200,17,22,.773,10,45,9,3,7,17,14,,31,77,.403,9,25,.360,9,12,.750,7,48,16,7,3,12,25
12,12,2016-11-19,@,ORL,L,87,95,26,77,.338,13,28,.464,22,27,.815,5,34,13,8,5,13,16,,34,78,.436,8,21,.381,19,22,.864,10,50,17,6,8,19,21
13,13,2016-11-21,@,SAS,L,91,96,35,74,.473,8,27,.296,13,20,.650,10,40,16,10,3,17,23,,35,75,.467,8,20,.400,18,25,.720,8,39,24,9,1,13,18
14,14,2016-11-23,,LAC,L,104,124,38,84,.452,11,24,.458,17,18,.944,10,44,23,7,3,16,24,,43,85,.506,15,32,.469,23,31,.742,6,43,26,11,4,9,17
15,15,2016-11-25,@,CLE,L,90,128,37,91,.407,8,35,.229,8,12,.667,11,39,29,5,4,13,21,,43,85,.506,20,43,.465,22,24,.917,9,47,30,9,3,14,16
16,16,2016-11-27,,NOP,W,91,81,32,77,.416,10,27,.370,17,20,.850,11,46,19,7,3,12,18,,30,77,.390,5,20,.250,16,18,.889,10,42,17,8,3,13,19
17,17,2016-11-30,,SAS,L,87,94,33,77,.429,10,30,.333,11,14,.786,8,37,16,5,3,11,18,,33,71,.465,11,19,.579,17,24,.708,7,42,16,7,6,11,11
18,18,2016-12-01,@,CHO,L,87,97,32,86,.372,9,31,.290,14,18,.778,9,41,18,6,2,11,25,,35,74,.473,5,18,.278,22,31,.710,4,39,24,5,6,10,18
19,19,2016-12-03,,CHI,W,107,82,40,87,.460,13,31,.419,14,18,.778,13,42,31,11,2,10,19,,32,71,.451,3,13,.231,15,21,.714,11,43,9,4,5,20,22
20,20,2016-12-05,,CHO,L,101,109,37,89,.416,13,36,.361,14,18,.778,9,35,23,4,2,7,19,,40,79,.506,3,18,.167,26,28,.929,9,53,21,2,5,12,19
21,21,2016-12-07,,SAC,L,89,120,32,78,.410,10,30,.333,15,20,.750,9,40,17,7,5,20,22,,47,84,.560,10,22,.455,16,21,.762,6,40,28,10,3,14,23
22,22,2016-12-09,,IND,W,111,103,39,80,.488,15,32,.469,18,24,.750,5,33,23,8,1,8,19,,32,69,.464,14,25,.560,25,26,.962,4,38,21,5,4,13,18
23,23,2016-12-10,@,HOU,L,87,109,32,79,.405,11,34,.324,12,14,.857,6,32,18,7,3,9,18,,37,74,.500,19,37,.514,16,22,.727,10,48,31,4,1,15,16
24,24,2016-12-12,,DEN,W,112,92,45,77,.584,12,26,.462,10,12,.833,8,34,22,9,7,9,15,,35,83,.422,7,25,.280,15,18,.833,20,43,19,6,3,16,15
25,25,2016-12-14,,DET,L,85,95,32,78,.410,8,25,.320,13,16,.813,6,30,19,13,3,11,22,,36,71,.507,5,17,.294,18,22,.818,10,50,18,4,2,19,19
26,26,2016-12-16,@,UTA,L,100,103,35,77,.455,12,28,.429,18,21,.857,7,27,18,9,0,6,24,,37,65,.569,8,22,.364,21,27,.778,8,41,18,4,3,16,23
27,27,2016-12-18,,SAC,W,99,79,34,77,.442,13,33,.394,18,22,.818,6,44,20,10,6,11,13,,30,76,.395,8,31,.258,11,17,.647,6,42,16,7,4,15,21
28,28,2016-12-19,@,DEN,L,107,117,43,80,.538,14,25,.560,7,9,.778,4,29,21,4,4,12,17,,45,80,.563,13,25,.520,14,18,.778,7,41,32,7,0,11,13
29,29,2016-12-21,@,POR,W,96,95,35,83,.422,7,31,.226,19,23,.826,10,38,14,12,5,10,20,,32,72,.444,10,27,.370,21,28,.750,9,43,15,6,4,17,20
30,30,2016-12-23,@,LAC,W,90,88,37,87,.425,7,29,.241,9,15,.600,14,42,21,13,4,12,14,,34,74,.459,13,29,.448,7,11,.636,6,41,17,9,4,20,16
31,31,2016-12-26,@,NOP,L,104,111,37,75,.493,13,32,.406,17,22,.773,4,32,27,4,1,10,22,,37,70,.529,12,25,.480,25,30,.833,5,41,24,6,3,10,19
32,32,2016-12-27,,HOU,L,107,123,36,87,.414,15,38,.395,20,25,.800,12,38,22,6,5,9,18,,41,78,.526,17,32,.531,24,28,.857,10,47,23,7,5,16,22
33,33,2016-12-29,@,LAL,W,101,89,38,77,.494,14,31,.452,11,14,.786,10,42,24,8,2,15,17,,32,68,.471,7,19,.368,18,25,.720,7,34,15,8,1,15,18
34,34,2016-12-30,@,GSW,L,99,108,39,93,.419,8,32,.250,13,15,.867,11,40,22,11,7,10,12,,42,84,.500,11,33,.333,13,15,.867,4,43,31,5,4,13,12
35,35,2017-01-03,,WAS,W,113,105,37,78,.474,17,32,.531,22,24,.917,2,42,20,4,3,12,21,,41,92,.446,11,30,.367,12,14,.857,5,38,27,6,7,9,19
