Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2016-10-26,,CHO,L,96,107,39,92,.424,3,16,.188,15,20,.750,10,46,23,4,5,8,22,,40,89,.449,7,23,.304,20,24,.833,11,51,27,5,10,10,22
2,2,2016-10-29,,BRK,W,110,108,41,88,.466,8,22,.364,20,24,.833,8,44,25,14,5,14,23,,37,84,.440,11,34,.324,23,28,.821,11,45,23,12,6,18,22
3,3,2016-10-30,@,DET,L,83,98,34,87,.391,4,17,.235,11,14,.786,10,40,22,10,4,12,16,,39,88,.443,5,20,.250,15,20,.750,16,58,23,8,4,15,14
4,4,2016-11-01,@,NOP,W,117,113,44,91,.484,10,32,.313,19,21,.905,11,49,30,9,5,15,25,,36,82,.439,9,26,.346,32,41,.780,9,42,23,13,5,13,17
5,5,2016-11-03,,IND,W,125,107,47,82,.573,12,27,.444,19,24,.792,12,41,32,10,6,21,23,,38,81,.469,10,23,.435,21,27,.778,10,32,29,14,4,21,23
6,6,2016-11-05,,SAC,W,117,91,41,82,.500,14,33,.424,21,25,.840,17,53,28,12,10,15,22,,33,84,.393,10,28,.357,15,19,.789,13,36,27,8,3,14,19
7,7,2016-11-06,@,DAL,L,75,86,30,82,.366,6,29,.207,9,12,.750,9,51,14,11,2,27,26,,33,88,.375,9,38,.237,11,12,.917,10,46,14,12,2,15,20
8,8,2016-11-10,,NOP,L,106,112,40,91,.440,6,18,.333,20,25,.800,11,48,23,4,5,11,20,,39,89,.438,9,25,.360,25,27,.926,11,47,22,9,7,10,19
9,9,2016-11-12,,MEM,W,106,96,36,68,.529,7,18,.389,27,36,.750,5,35,20,9,5,12,20,,35,78,.449,6,30,.200,20,21,.952,3,32,20,8,4,13,26
10,10,2016-11-16,@,ATL,L,100,107,39,98,.398,8,32,.250,14,18,.778,15,47,25,9,2,14,25,,35,72,.486,10,32,.313,27,31,.871,3,39,29,6,8,16,17
