Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2016-10-26,@,MEM,L,98,102,36,86,.419,6,18,.333,20,29,.690,15,45,20,6,5,10,23,,36,80,.450,11,24,.458,19,27,.704,11,45,19,6,11,13,25
2,2,2016-10-29,@,SAC,L,103,106,37,70,.529,7,22,.318,22,31,.710,7,36,19,6,5,11,25,,39,85,.459,9,26,.346,19,25,.760,11,31,24,6,5,13,24
3,3,2016-11-01,,MEM,W,116,80,43,78,.551,12,20,.600,18,23,.783,10,50,29,10,5,21,22,,27,75,.360,4,24,.167,22,29,.759,8,32,10,17,4,20,22
4,4,2016-11-03,,DEN,L,99,102,35,88,.398,9,22,.409,20,25,.800,14,43,20,8,4,16,22,,39,81,.481,6,22,.273,18,25,.720,7,44,24,10,2,20,24
5,5,2016-11-05,@,OKC,L,92,112,33,84,.393,4,19,.211,22,29,.759,17,41,12,7,8,17,19,,45,86,.523,7,16,.438,15,24,.625,11,41,24,9,9,12,21
6,6,2016-11-08,@,BRK,L,110,119,39,92,.424,12,28,.429,20,28,.714,15,41,20,11,3,16,21,,42,76,.553,12,33,.364,23,26,.885,5,43,20,5,5,20,19
7,7,2016-11-09,@,ORL,W,123,107,45,87,.517,13,23,.565,20,26,.769,10,45,27,8,5,6,23,,38,85,.447,8,24,.333,23,30,.767,12,39,20,2,5,9,19
8,8,2016-11-12,,LAC,L,105,119,40,89,.449,8,22,.364,17,21,.810,15,39,26,11,3,13,31,,40,76,.526,11,24,.458,28,37,.757,9,42,25,7,4,14,19
9,9,2016-11-13,,LAL,W,125,99,42,80,.525,13,27,.481,28,42,.667,9,44,28,10,4,10,19,,33,71,.465,8,24,.333,25,30,.833,5,39,16,6,5,17,31
10,10,2016-11-15,,CHO,L,108,115,38,89,.427,15,35,.429,17,21,.810,14,43,25,4,5,18,19,,43,80,.538,11,24,.458,18,22,.818,4,37,25,10,6,13,17
11,11,2016-11-17,,PHI,W,110,86,43,84,.512,6,25,.240,18,20,.900,14,48,18,7,8,13,19,,31,83,.373,9,32,.281,15,19,.789,13,40,15,9,2,15,17
12,12,2016-11-19,@,MEM,L,71,93,25,64,.391,7,22,.318,14,22,.636,5,34,16,5,5,16,25,,29,76,.382,2,18,.111,33,38,.868,13,46,15,8,7,9,19
13,13,2016-11-21,,BOS,L,93,99,36,86,.419,4,24,.167,17,25,.680,16,51,23,5,4,15,19,,38,84,.452,12,38,.316,11,14,.786,6,39,20,5,4,11,21
14,14,2016-11-23,@,NOP,L,96,117,33,86,.384,3,17,.176,27,33,.818,8,41,23,12,3,17,19,,45,83,.542,9,24,.375,18,23,.783,4,45,27,10,6,17,21
15,15,2016-11-25,@,PHO,W,98,85,34,85,.400,7,22,.318,23,25,.920,11,39,16,15,8,17,27,,32,79,.405,6,26,.231,15,21,.714,12,48,17,11,6,25,26
16,16,2016-11-26,@,GSW,L,102,115,41,89,.461,10,35,.286,10,12,.833,8,32,22,8,3,13,15,,45,81,.556,11,22,.500,14,17,.824,12,45,25,9,8,18,14
17,17,2016-11-28,,UTA,L,103,112,36,81,.444,7,19,.368,24,25,.960,10,39,26,8,2,14,23,,40,79,.506,4,18,.222,28,34,.824,12,42,19,9,3,12,21
18,18,2016-11-30,,NYK,L,104,106,34,77,.442,4,19,.211,32,39,.821,11,40,17,9,5,15,17,,41,91,.451,13,32,.406,11,15,.733,12,39,24,8,3,13,26
19,19,2016-12-02,@,NYK,L,114,118,41,88,.466,10,28,.357,22,24,.917,13,43,25,6,6,14,25,,41,86,.477,12,31,.387,24,30,.800,11,43,26,9,6,15,18
20,20,2016-12-03,@,CHO,W,125,120,48,106,.453,10,27,.370,19,22,.864,14,51,32,10,10,10,19,,44,101,.436,14,36,.389,18,26,.692,13,50,30,6,8,14,16
21,21,2016-12-06,,SAS,L,91,105,36,82,.439,7,20,.350,12,18,.667,11,41,19,4,2,15,20,,39,74,.527,11,24,.458,16,19,.842,3,35,21,8,3,11,20
22,22,2016-12-08,@,TOR,L,110,124,45,88,.511,9,28,.321,11,15,.733,16,43,19,3,1,13,26,,43,87,.494,12,27,.444,26,33,.788,16,42,25,5,5,8,19
23,23,2016-12-09,,DET,L,90,117,37,78,.474,3,16,.188,13,20,.650,7,37,19,4,2,12,16,,42,84,.500,14,29,.483,19,23,.826,11,42,23,6,1,7,23
24,24,2016-12-11,,GSW,L,108,116,36,81,.444,9,24,.375,27,36,.750,16,51,17,3,2,14,21,,38,83,.458,13,32,.406,27,30,.900,6,37,30,9,4,8,24
25,25,2016-12-13,@,CHI,W,99,94,38,86,.442,6,21,.286,17,22,.773,14,48,24,3,8,14,14,,38,87,.437,4,15,.267,14,19,.737,13,42,20,7,6,9,16
26,26,2016-12-17,,HOU,L,109,111,41,92,.446,7,21,.333,20,27,.741,13,55,29,9,6,21,21,,39,96,.406,17,51,.333,16,20,.800,10,47,25,14,4,16,22
27,27,2016-12-19,,PHO,W,115,108,42,86,.488,7,19,.368,24,25,.960,11,41,26,8,7,19,25,,37,82,.451,9,21,.429,25,35,.714,8,34,16,11,5,17,23
28,28,2016-12-21,@,ATL,W,92,84,35,83,.422,9,29,.310,13,14,.929,15,52,21,6,6,17,11,,34,82,.415,7,26,.269,9,13,.692,8,35,19,9,8,10,15
29,29,2016-12-23,,SAC,L,105,109,36,79,.456,12,32,.375,21,26,.808,12,42,18,5,4,12,21,,42,80,.525,15,29,.517,10,14,.714,6,34,27,7,3,11,23
30,30,2016-12-25,@,OKC,L,100,112,39,83,.470,4,12,.333,18,23,.783,11,36,19,11,2,12,21,,42,82,.512,8,24,.333,20,24,.833,9,42,26,8,4,15,24
31,31,2016-12-26,,ATL,W,104,90,37,82,.451,15,31,.484,15,18,.833,11,40,26,11,3,14,19,,35,83,.422,8,32,.250,12,17,.706,17,46,20,8,7,19,19
32,32,2016-12-28,@,DEN,L,103,105,42,94,.447,7,25,.280,12,17,.706,16,43,29,8,3,8,15,,42,81,.519,10,28,.357,11,14,.786,8,38,29,6,4,15,17
33,33,2016-12-30,,MIL,W,116,99,43,77,.558,13,25,.520,17,21,.810,8,34,30,8,5,11,17,,40,74,.541,8,18,.444,11,17,.647,7,29,22,4,4,14,19
34,34,2017-01-01,,POR,L,89,95,35,87,.402,7,23,.304,12,18,.667,13,47,21,11,5,16,25,,36,73,.493,6,22,.273,17,28,.607,4,41,13,10,8,14,19
35,35,2017-01-03,@,PHI,L,91,93,33,82,.402,7,24,.292,18,20,.900,9,47,20,7,6,17,24,,33,85,.388,7,32,.219,20,25,.800,12,48,19,10,7,16,21
36,36,2017-01-06,@,WAS,L,105,112,42,88,.477,7,18,.389,14,17,.824,12,38,22,6,2,10,15,,46,79,.582,12,22,.545,8,9,.889,5,33,31,3,7,13,18
37,37,2017-01-07,,UTA,L,92,94,35,80,.438,7,20,.350,15,21,.714,14,48,23,3,3,15,21,,32,77,.416,8,23,.348,22,28,.786,10,39,23,12,6,8,19
38,38,2017-01-09,,DAL,W,101,92,40,71,.563,6,16,.375,15,21,.714,9,42,30,11,4,18,24,,36,78,.462,13,28,.464,7,9,.778,5,25,24,3,2,14,21
39,39,2017-01-11,,HOU,W,119,105,44,81,.543,8,23,.348,23,25,.920,9,49,31,8,9,17,19,,36,87,.414,15,42,.357,18,22,.818,7,32,23,7,4,15,23
40,40,2017-01-13,,OKC,W,96,86,39,86,.453,5,18,.278,13,14,.929,9,42,21,11,6,15,22,,33,85,.388,3,20,.150,17,21,.810,16,47,19,10,2,18,21
41,41,2017-01-15,@,DAL,L,87,98,35,80,.438,5,21,.238,12,18,.667,10,44,20,7,1,12,16,,36,77,.468,12,29,.414,14,19,.737,6,41,21,8,8,11,18
