Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2016-10-26,@,MIL,W,107,96,40,89,.449,7,23,.304,20,24,.833,11,51,27,5,10,10,22,,39,92,.424,3,16,.188,15,20,.750,10,46,23,4,5,8,22
2,2,2016-10-28,@,MIA,W,97,91,35,92,.380,7,22,.318,20,24,.833,13,49,20,10,9,8,20,,32,86,.372,14,34,.412,13,20,.650,11,52,19,2,4,19,23
3,3,2016-10-29,,BOS,L,98,104,32,79,.405,9,32,.281,25,33,.758,6,38,22,8,6,8,17,,39,81,.481,15,31,.484,11,17,.647,4,42,25,4,6,13,26
4,4,2016-11-02,,PHI,W,109,93,39,79,.494,13,34,.382,18,26,.692,9,44,25,8,3,15,17,,34,86,.395,12,38,.316,13,15,.867,8,37,23,8,2,17,24
5,5,2016-11-04,@,BRK,W,99,95,36,86,.419,10,30,.333,17,24,.708,7,49,24,7,3,16,18,,35,87,.402,9,36,.250,16,21,.762,7,46,20,12,4,15,22
6,6,2016-11-07,,IND,W,122,100,41,84,.488,12,32,.375,28,32,.875,3,43,30,12,4,11,15,,40,94,.426,9,33,.273,11,15,.733,12,52,23,8,4,18,25
7,7,2016-11-09,,UTA,W,104,98,38,82,.463,8,26,.308,20,29,.690,5,37,24,8,3,8,19,,38,82,.463,8,34,.235,14,18,.778,10,46,24,5,6,12,22
8,8,2016-11-11,,TOR,L,111,113,38,93,.409,17,41,.415,18,24,.750,18,57,22,1,4,11,16,,43,90,.478,6,22,.273,21,22,.955,8,45,18,8,5,5,21
9,9,2016-11-13,@,CLE,L,93,100,36,95,.379,11,29,.379,10,12,.833,10,45,23,7,3,5,19,,39,92,.424,14,38,.368,8,15,.533,12,53,25,3,8,9,13
10,10,2016-11-15,@,MIN,W,115,108,43,80,.538,11,24,.458,18,22,.818,4,37,25,10,6,13,17,,38,89,.427,15,35,.429,17,21,.810,14,43,25,4,5,18,19
11,11,2016-11-18,,ATL,W,100,96,37,90,.411,10,29,.345,16,24,.667,8,44,25,11,4,11,16,,39,84,.464,7,28,.250,11,17,.647,8,49,25,9,6,16,18
12,12,2016-11-19,@,NOP,L,116,121,40,97,.412,15,43,.349,21,28,.750,8,52,29,7,5,14,21,,43,98,.439,14,36,.389,21,25,.840,10,53,27,9,6,11,23
13,13,2016-11-21,,MEM,L,90,105,30,73,.411,9,31,.290,21,33,.636,8,39,20,6,9,10,13,,40,84,.476,12,26,.462,13,17,.765,6,40,24,7,8,10,24
14,14,2016-11-23,,SAS,L,114,119,45,89,.506,11,20,.550,13,18,.722,12,44,30,3,3,15,16,,44,86,.512,13,31,.419,18,20,.900,8,34,28,9,8,9,18
15,15,2016-11-25,@,NYK,L,111,113,43,93,.462,8,29,.276,17,27,.630,10,46,25,6,4,13,14,,45,97,.464,11,28,.393,12,13,.923,13,55,26,9,8,16,21
16,16,2016-11-26,,NYK,W,107,102,35,80,.438,8,22,.364,29,42,.690,10,52,16,3,9,10,14,,37,99,.374,12,32,.375,16,20,.800,11,47,26,9,6,8,27
17,17,2016-11-28,@,MEM,W,104,85,36,82,.439,9,26,.346,23,31,.742,9,47,24,3,4,13,14,,36,89,.404,7,29,.241,6,13,.462,8,42,21,10,4,12,25
18,18,2016-11-29,,DET,L,89,112,31,78,.397,9,27,.333,18,21,.857,5,40,21,7,5,13,16,,45,92,.489,12,28,.429,10,11,.909,9,44,21,7,4,11,19
19,19,2016-12-01,,DAL,W,97,87,35,74,.473,5,18,.278,22,31,.710,4,39,24,5,6,10,18,,32,86,.372,9,31,.290,14,18,.778,9,41,18,6,2,11,25
20,20,2016-12-03,,MIN,L,120,125,44,101,.436,14,36,.389,18,26,.692,13,50,30,6,8,14,16,,48,106,.453,10,27,.370,19,22,.864,14,51,32,10,10,10,19
21,21,2016-12-05,@,DAL,W,109,101,40,79,.506,3,18,.167,26,28,.929,9,53,21,2,5,12,19,,37,89,.416,13,36,.361,14,18,.778,9,35,23,4,2,7,19
22,22,2016-12-07,,DET,W,87,77,30,88,.341,6,21,.286,21,29,.724,5,51,13,7,2,5,11,,34,89,.382,4,27,.148,5,8,.625,7,57,21,3,8,12,18
23,23,2016-12-09,,ORL,W,109,88,41,85,.482,9,22,.409,18,23,.783,13,59,23,4,5,12,13,,34,91,.374,9,34,.265,11,14,.786,9,40,22,6,2,8,17
24,24,2016-12-10,@,CLE,L,105,116,39,86,.453,10,27,.370,17,24,.708,12,39,24,5,0,14,24,,42,73,.575,13,31,.419,19,28,.679,7,40,25,8,2,17,24
25,25,2016-12-12,@,IND,L,94,110,28,84,.333,10,26,.385,28,32,.875,9,46,16,8,4,13,15,,43,88,.489,17,36,.472,7,10,.700,5,42,24,4,11,11,21
26,26,2016-12-14,@,WAS,L,106,109,38,74,.514,14,33,.424,16,21,.762,5,33,25,7,8,18,18,,45,87,.517,5,18,.278,14,17,.824,12,41,27,15,3,14,18
27,27,2016-12-16,@,BOS,L,88,96,32,97,.330,8,30,.267,16,19,.842,16,53,21,10,4,12,21,,34,78,.436,9,28,.321,19,26,.731,5,46,26,7,8,13,15
28,28,2016-12-17,@,ATL,W,107,99,43,88,.489,12,27,.444,9,13,.692,7,43,26,8,3,12,17,,40,86,.465,10,26,.385,9,16,.563,9,47,26,4,2,12,18
29,29,2016-12-20,,LAL,W,117,113,43,94,.457,11,25,.440,20,24,.833,16,44,30,5,2,10,13,,44,90,.489,16,33,.485,9,11,.818,10,40,29,5,12,12,20
30,30,2016-12-23,,CHI,W,103,91,37,84,.440,5,18,.278,24,28,.857,12,48,25,6,13,10,8,,38,96,.396,7,22,.318,8,10,.800,17,52,20,5,6,9,20
31,31,2016-12-26,@,BRK,L,118,120,44,94,.468,8,26,.308,22,25,.880,12,44,23,11,3,11,24,,40,75,.533,15,31,.484,25,31,.806,4,39,26,4,8,15,21
32,32,2016-12-28,@,ORL,W,120,101,46,84,.548,10,24,.417,18,19,.947,10,46,25,7,3,13,13,,42,86,.488,9,34,.265,8,10,.800,9,33,25,7,7,13,15
33,33,2016-12-29,,MIA,W,91,82,36,93,.387,5,26,.192,14,18,.778,11,54,18,9,8,8,11,,33,82,.402,10,28,.357,6,13,.462,4,46,26,6,10,16,19
34,34,2016-12-31,,CLE,L,109,121,40,78,.513,9,24,.375,20,23,.870,10,39,24,3,7,11,19,,43,85,.506,14,31,.452,21,25,.840,8,35,17,6,1,6,17
35,35,2017-01-02,@,CHI,L,111,118,41,83,.494,9,19,.474,20,22,.909,7,34,24,7,3,14,19,,42,90,.467,7,23,.304,27,29,.931,15,45,23,10,9,10,17
36,36,2017-01-04,,OKC,W,123,112,37,80,.463,9,24,.375,40,49,.816,10,43,25,8,10,11,21,,42,96,.438,9,30,.300,19,23,.826,14,51,22,6,3,14,31
37,37,2017-01-05,@,DET,L,114,115,37,91,.407,10,26,.385,30,34,.882,8,49,20,4,5,5,23,,39,97,.402,10,28,.357,27,32,.844,16,56,24,2,6,7,23
38,38,2017-01-07,@,SAS,L,85,102,30,75,.400,4,21,.190,21,25,.840,8,48,18,5,4,15,14,,36,89,.404,13,34,.382,17,20,.850,9,43,29,9,8,7,21
39,39,2017-01-10,@,HOU,L,114,121,44,92,.478,19,43,.442,7,9,.778,5,43,30,3,4,11,21,,40,82,.488,17,39,.436,24,33,.727,6,44,25,8,5,10,17
40,40,2017-01-13,@,PHI,L,93,102,28,85,.329,6,23,.261,31,32,.969,16,41,11,12,2,19,19,,36,76,.474,14,38,.368,16,20,.800,10,38,26,12,9,20,27
41,41,2017-01-16,@,BOS,L,98,108,38,86,.442,8,25,.320,14,17,.824,10,42,25,4,4,11,15,,42,84,.500,15,39,.385,9,10,.900,8,44,29,6,3,12,11
42,42,2017-01-18,,POR,W,107,85,41,87,.471,11,26,.423,14,17,.824,8,51,28,11,7,12,13,,33,94,.351,8,31,.258,11,11,1.000,15,50,18,10,12,15,11
43,43,2017-01-20,,TOR,W,113,78,40,80,.500,12,25,.480,21,25,.840,11,51,24,9,4,14,13,,29,86,.337,7,30,.233,13,14,.929,8,33,10,7,5,12,20
44,44,2017-01-21,,BRK,W,112,105,39,82,.476,14,30,.467,20,22,.909,6,46,26,7,4,13,18,,38,88,.432,17,41,.415,12,15,.800,4,40,30,9,3,12,17
45,45,2017-01-23,,WAS,L,99,109,35,90,.389,8,32,.250,21,25,.840,12,43,24,7,5,8,19,,43,80,.538,10,25,.400,13,17,.765,5,47,22,5,3,14,23
46,46,2017-01-25,,GSW,L,103,113,38,92,.413,7,23,.304,20,21,.952,12,43,26,6,6,14,18,,39,82,.476,11,28,.393,24,27,.889,5,41,23,7,14,12,19
47,47,2017-01-27,@,NYK,L,107,110,40,90,.444,13,37,.351,14,15,.933,9,47,18,5,4,13,16,,46,96,.479,9,27,.333,9,13,.692,11,48,22,8,9,10,18
48,48,2017-01-28,,SAC,L,106,109,36,75,.480,12,37,.324,22,24,.917,7,34,24,4,7,11,25,,41,79,.519,11,27,.407,16,26,.615,8,38,27,6,5,9,23
49,49,2017-01-31,@,POR,L,98,115,33,83,.398,11,31,.355,21,25,.840,3,42,20,3,6,9,13,,42,93,.452,11,31,.355,20,23,.870,11,51,23,8,2,8,18
