Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2016-10-25,@,CLE,L,88,117,32,87,.368,9,27,.333,15,20,.750,13,42,17,6,6,18,22,,45,94,.479,13,35,.371,14,19,.737,11,51,31,12,5,14,22
2,2,2016-10-29,,MEM,W,111,104,40,76,.526,6,21,.286,25,39,.641,6,41,24,4,4,12,25,,37,86,.430,9,25,.360,21,26,.808,11,40,19,3,2,12,30
3,3,2016-11-01,@,DET,L,89,102,35,86,.407,7,22,.318,12,15,.800,8,43,18,6,9,11,20,,41,89,.461,8,13,.615,12,21,.571,10,48,19,7,5,10,16
4,4,2016-11-02,,HOU,L,99,118,37,85,.435,8,20,.400,17,25,.680,7,34,18,10,6,16,22,,42,89,.472,15,40,.375,19,27,.704,19,54,25,12,8,19,21
5,5,2016-11-04,@,CHI,W,117,104,46,89,.517,9,21,.429,16,21,.762,11,40,32,7,2,5,23,,37,84,.440,8,23,.348,22,27,.815,15,42,15,4,4,12,16
6,6,2016-11-06,,UTA,L,109,114,42,83,.506,8,20,.400,17,19,.895,10,39,18,8,5,12,26,,38,75,.507,8,25,.320,30,35,.857,7,34,21,6,4,10,19
7,7,2016-11-09,,BRK,W,110,96,44,92,.478,10,30,.333,12,17,.706,9,50,25,11,5,14,21,,33,79,.418,11,33,.333,19,27,.704,7,40,19,9,4,18,20
8,8,2016-11-11,@,BOS,L,87,115,33,94,.351,6,23,.261,15,17,.882,21,57,19,7,11,25,26,,35,90,.389,11,27,.407,34,43,.791,19,53,23,16,3,15,18
9,9,2016-11-12,@,TOR,L,107,118,44,97,.454,7,23,.304,12,16,.750,17,49,19,3,2,16,23,,39,83,.470,7,22,.318,33,38,.868,11,44,18,10,6,11,20
10,10,2016-11-14,,DAL,W,93,77,34,78,.436,9,25,.360,16,18,.889,14,51,18,5,5,17,16,,32,84,.381,5,27,.185,8,11,.727,11,40,15,8,7,11,16
11,11,2016-11-16,,DET,W,105,102,42,93,.452,9,25,.360,12,19,.632,19,52,24,8,9,9,11,,42,85,.494,8,23,.348,10,12,.833,8,40,19,6,1,10,14
12,12,2016-11-17,@,WAS,L,112,119,41,86,.477,12,29,.414,18,20,.900,10,36,23,9,1,13,20,,44,81,.543,15,25,.600,16,18,.889,7,37,26,7,2,15,21
13,13,2016-11-20,,ATL,W,104,94,42,88,.477,10,27,.370,10,14,.714,11,50,21,8,1,15,23,,34,85,.400,6,21,.286,20,29,.690,14,48,17,7,6,13,15
14,14,2016-11-22,,POR,W,107,103,45,96,.469,9,29,.310,8,8,1.000,10,43,26,8,5,13,23,,38,86,.442,6,22,.273,21,26,.808,11,44,18,5,5,16,13
15,15,2016-11-25,,CHO,W,113,111,45,97,.464,11,28,.393,12,13,.923,13,55,26,9,8,16,21,,43,93,.462,8,29,.276,17,27,.630,10,46,25,6,4,13,14
16,16,2016-11-26,@,CHO,L,102,107,37,99,.374,12,32,.375,16,20,.800,11,47,26,9,6,8,27,,35,80,.438,8,22,.364,29,42,.690,10,52,16,3,9,10,14
17,17,2016-11-28,,OKC,L,103,112,36,91,.396,6,19,.316,25,28,.893,12,40,20,9,11,5,16,,46,92,.500,8,22,.364,12,18,.667,17,53,25,4,7,14,22
18,18,2016-11-30,@,MIN,W,106,104,41,91,.451,13,32,.406,11,15,.733,12,39,24,8,3,13,26,,34,77,.442,4,19,.211,32,39,.821,11,40,17,9,5,15,17
19,19,2016-12-02,,MIN,W,118,114,41,86,.477,12,31,.387,24,30,.800,11,43,26,9,6,15,18,,41,88,.466,10,28,.357,22,24,.917,13,43,25,6,6,14,25
20,20,2016-12-04,,SAC,W,106,98,39,88,.443,11,29,.379,17,24,.708,14,58,20,5,10,18,25,,31,97,.320,9,28,.321,27,31,.871,18,51,18,13,5,11,17
21,21,2016-12-06,@,MIA,W,114,103,48,98,.490,7,25,.280,11,16,.688,18,53,22,6,6,10,18,,38,89,.427,11,25,.440,16,27,.593,16,46,21,8,4,10,16
22,22,2016-12-07,,CLE,L,94,126,35,87,.402,11,31,.355,13,15,.867,13,43,22,6,3,16,22,,39,80,.488,22,40,.550,26,31,.839,10,46,23,11,4,12,18
