Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2016-10-26,,SAC,L,94,113,36,77,.468,4,16,.250,18,27,.667,10,41,20,6,3,18,29,,44,86,.512,6,21,.286,19,26,.731,10,41,24,5,5,13,20
2,2,2016-10-28,@,OKC,L,110,113,42,94,.447,5,28,.179,21,32,.656,7,44,15,11,3,15,29,,40,96,.417,5,21,.238,28,38,.737,14,57,13,11,3,22,24
3,3,2016-10-30,,GSW,L,100,106,37,90,.411,8,23,.348,18,25,.720,11,50,19,10,6,11,26,,35,83,.422,8,29,.276,28,33,.848,7,43,27,6,5,15,23
4,4,2016-10-31,@,LAC,L,98,116,35,84,.417,5,15,.333,23,31,.742,10,44,19,11,0,20,33,,40,80,.500,6,16,.375,30,38,.789,5,44,21,8,4,16,23
5,5,2016-11-02,,POR,W,118,115,44,103,.427,5,16,.313,25,30,.833,14,59,15,10,5,12,20,,42,101,.416,12,33,.364,19,21,.905,10,53,25,8,8,14,23
6,6,2016-11-04,@,NOP,W,112,111,40,93,.430,8,24,.333,24,28,.857,12,59,18,7,2,15,27,,43,94,.457,10,30,.333,15,28,.536,6,43,28,7,13,8,21
7,7,2016-11-06,@,LAL,L,108,119,40,91,.440,6,20,.300,22,28,.786,11,40,20,8,2,17,30,,41,90,.456,10,23,.435,27,35,.771,15,53,22,8,5,19,22
8,8,2016-11-08,@,POR,L,121,124,43,86,.500,7,21,.333,28,33,.848,15,41,18,10,2,16,27,,45,81,.556,14,31,.452,20,28,.714,7,35,22,5,4,20,27
9,9,2016-11-09,,DET,W,107,100,38,84,.452,8,22,.364,23,30,.767,10,49,20,7,6,17,20,,32,89,.360,9,22,.409,27,32,.844,9,41,20,11,5,11,24
10,10,2016-11-12,,BRK,L,104,122,40,107,.374,8,33,.242,16,21,.762,17,55,23,9,3,12,20,,40,84,.476,16,37,.432,26,30,.867,6,55,22,6,10,17,19
11,11,2016-11-13,@,GSW,L,120,133,46,90,.511,8,24,.333,20,26,.769,8,38,27,10,3,13,29,,45,87,.517,16,33,.485,27,31,.871,8,43,32,8,7,16,20
12,12,2016-11-16,@,DEN,L,104,120,39,79,.494,8,20,.400,18,29,.621,7,35,14,8,4,16,29,,45,93,.484,8,17,.471,22,24,.917,14,49,23,8,4,14,24
13,13,2016-11-18,@,IND,W,116,96,46,97,.474,9,26,.346,15,18,.833,18,46,21,14,7,11,28,,36,76,.474,1,7,.143,23,29,.793,10,35,18,5,8,18,19
14,14,2016-11-19,@,PHI,L,105,120,39,92,.424,6,21,.286,21,34,.618,12,44,18,11,7,15,19,,45,86,.523,17,35,.486,13,20,.650,6,44,33,11,9,18,23
15,15,2016-11-21,@,WAS,L,101,106,39,91,.429,11,27,.407,12,15,.800,13,52,22,3,7,21,24,,37,91,.407,10,28,.357,22,34,.647,14,45,25,8,4,11,19
16,16,2016-11-23,@,ORL,W,92,87,33,73,.452,9,22,.409,17,22,.773,6,44,15,6,7,17,20,,33,91,.363,7,25,.280,14,23,.609,11,44,17,9,8,11,19
17,17,2016-11-25,,MIN,L,85,98,32,79,.405,6,26,.231,15,21,.714,12,48,17,11,6,25,26,,34,85,.400,7,22,.318,23,25,.920,11,39,16,15,8,17,27
